PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Linfield,K,GFU,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Jason Santoni,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Linfield,D,LIN,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,3.0,,Wyatt Smith,Complete,Connor McNabb,,,,Lucas Schwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Linfield,D,LIN,1,,1.0,2.0,2.0,7.0,-28.0,Pass,Complete,9.0,,Wyatt Smith,Complete,Devon Murray,,,,Justin Montijo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Linfield,D,LIN,1,,1.0,3.0,1.0,10.0,-37.0,Run,Rush,8.0,Connor McNabb,,,,,,,Chris McCoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Linfield,D,LIN,1,,1.0,4.0,2.0,2.0,-45.0,Pass,Complete,13.0,,Wyatt Smith,Complete,Connor McNabb,,,,Lucas Schwin,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Linfield,D,LIN,1,,1.0,5.0,1.0,10.0,42.0,Pass,Complete,15.0,,Wyatt Smith,Complete,Devon Murray,,,,Josh Poppleton,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Linfield,D,LIN,1,,1.0,6.0,1.0,10.0,27.0,Pass,Complete,27.0,,Wyatt Smith,Complete,Devon Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Linfield,K,LIN,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Starkel,,,Good,,,,,,,,,13:04,1684,6,0,-6,3,3,3,,,,,,,
9,Linfield,K,LIN,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Logan Carr,,,,,,,,15,16.0,Andrew Starkel,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,13:04,1684,7,0,-7,3,3,3,,,,,,,
10,Linfield,O,GFU,1,,1.0,1.0,0.0,10.0,-16.0,Pass,Incomplete,0.0,,Haiden Schaan,Incomplete,Adam Hawker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:58,1678,0,7,-7,3,3,3,,,,,,,
