PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rockford University,K,RU,1,,,,,,,KO Rec,Fair Catch,,,,,,,,,,,,,,,,,,,Gerardo Zamudio,57.0,8.0,Fair Catch,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Rockford University,O,GC,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,4.0,Daniel Carter,,,,,,,Andrew Heath,jaylen Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Rockford University,O,GC,1,,1.0,2.0,2.0,6.0,-29.0,Run,Rush,-2.0,Daniel Carter,,,,,,,Gar McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Rockford University,O,GC,1,,1.0,3.0,3.0,8.0,-27.0,Run,Rush,20.0,Daniel Carter,,,,,,,Jordan Johnson,Amari Jackson,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Rockford University,O,GC,1,,1.0,4.0,1.0,10.0,-47.0,Pass,Complete,10.0,,Gray. Woodhouse,Complete,Dustin Saia,,,,Jordan Johnson,Gar McGregor,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Rockford University,O,GC,1,,1.0,5.0,1.0,10.0,43.0,Run,Rush,5.0,Daniel Carter,,,,,,,Amari Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Rockford University,O,GC,1,,1.0,6.0,2.0,5.0,38.0,Run,Rush,-2.0,Daniel Carter,,,,,,,Andrew Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Rockford University,O,GC,1,,1.0,7.0,3.0,7.0,40.0,Pass,,0.0,,Gray. Woodhouse,,,,,,Miles Cornforth,Tyrell Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Rockford University,D,RU,1,,1.0,1.0,0.0,10.0,-35.0,Pass,Complete,50.0,,,Complete,,,,,Luke Stefan,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:08,1568,0,0,0,3,3,3,,,,,,,
10,Rockford University,D,RU,1,,1.0,2.0,1.0,10.0,15.0,Pass,Complete,2.0,,,Complete,,,,,Hugh Werner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:08,1568,0,0,0,3,3,3,,,,,,,
11,Rockford University,D,RU,1,,1.0,3.0,2.0,8.0,13.0,Run,Rush,5.0,,,,,,,,Will Reyes,Hugh Werner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:08,1568,0,0,0,3,3,3,,,,,,,
12,Rockford University,D,RU,1,,1.0,4.0,3.0,3.0,8.0,Pass,Complete,8.0,,,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:08,1568,0,0,0,3,3,3,,,,,,,
13,Rockford University,K,RU,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gerardo Zamudio,,,Good,,,,,,,,,09:33,1473,6,0,-6,3,3,3,,,,,,,
14,Rockford University,K,RU,1,,,,1.0,-35.0,-35.0,KO Rec,Fair Catch,,,,,,,,,,,,,,,,,,,Gerardo Zamudio,50.0,15.0,Fair Catch,,,,,,,,,,,,,,,,,,,09:33,1473,7,0,-7,3,3,3,,,,,,,
