PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Beloit,K,GRINNELL,1,,,,,,,KO,Return,,,,,,,,,Josh Jones,,,,,,,AJ Fitzpatrick,25,38.0,Nick Rhinehart,52.0,13.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Beloit,D,BELOIT,1,,1.0,1.0,0.0,10.0,-38.0,Pass,Incomplete,0.0,,Jacob Shafer,Incomplete,Isaac Wellman,,,,Jio Hong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Beloit,D,BELOIT,1,,1.0,2.0,2.0,10.0,-38.0,Run,Rush,2.0,Silas Say,,,,,,,Luke Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Beloit,D,BELOIT,1,,1.0,3.0,3.0,8.0,-40.0,Pass,Complete,1.0,,Jacob Shafer,Complete,Silas Say,,,,Adam Khater,Chaz Del mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Beloit,K,BELOIT,1,,,,4.0,9.0,-39.0,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Alonso Casillas,38.0,23.0,Fair Catch,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Beloit,O,GRINNELL,1,,1.0,1.0,0.0,10.0,-23.0,Run,Rush,4.0,Daniel Carter,,,,,,,Raydarriuz Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,0,0,3,3,3,,,,,,,
7,Beloit,O,GRINNELL,1,,1.0,2.0,2.0,6.0,-27.0,Run,Rush,10.0,Daniel Carter,,,,,,,Josh Shapiro,EK Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,0,0,3,3,3,,,,,,,
8,Beloit,O,GRINNELL,1,,1.0,3.0,1.0,10.0,-37.0,Pass,Complete,9.0,,Grayson Woodhouse,Complete,Nick Rhinehart,,,,Dae'Quan Ambrister,Dallas McKinney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,0,0,3,3,3,,,,,,,
9,Beloit,O,GRINNELL,1,,1.0,4.0,2.0,1.0,-46.0,Run,Rush,8.0,Daniel Carter,,,,,,,Christopher Croft Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,0,0,3,3,3,,,,,,,
10,Beloit,O,GRINNELL,1,,1.0,5.0,1.0,10.0,46.0,Run,Rush,32.0,Daniel Carter,,,,,,,Dallas McKinney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,0,0,3,3,3,,,,,,,
