PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Cornell College,K,CC,1,,,,,,,KO Rec,Return,,,,,,,,,Scott Nissen,Ben Cerrato,,,,,,,20,-43.0,,42.0,-23.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Cornell College,,CC,1,,,,1.0,10.0,-43.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,encroachment,GC,,,,,5.0
3,Cornell College,D,CC,1,,1.0,1.0,0.0,5.0,-48.0,Run,Rush,2.0,Peni Waqairatu,,,,,,,Josh Jones,Hugh Werner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Cornell College,D,CC,1,,1.0,2.0,2.0,3.0,-50.0,Run,Rush,3.0,Sam Yager,,,,,,,Adam Khater,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Cornell College,D,CC,1,,1.0,3.0,1.0,10.0,47.0,Run,Rush,47.0,Peni Waqairatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Cornell College,K,CC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam Mitchell,,,Good,,,,,,,,,13:40,1720,6,0,-6,3,3,3,,,,,,,
7,Cornell College,K,CC,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,Colden Clark,,,,,,,Luke Stefan,12,22.0,Adam Mitchell,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,13:40,1720,7,0,-7,3,3,3,,,,,,,
8,Cornell College,O,GC,1,,1.0,1.0,0.0,10.0,-22.0,Pass,Complete,14.0,,Moses LE,Complete,Nick Rhinehart,,,,Shakar Yearwood,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:30,1710,0,7,-7,3,3,3,,,,,,,
9,Cornell College,O,GC,1,,1.0,2.0,1.0,10.0,-36.0,Run,Rush,5.0,Daniel Quirk,,,,,,,Adam Mitchell,Land Lockington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,7,-7,3,3,3,,,,,,,
10,Cornell College,O,GC,1,,1.0,3.0,2.0,5.0,-41.0,Pass,Complete,9.0,,Moses RE,Complete,Dustin Saia,,,,Anthony Hoffman,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:30,1710,0,7,-7,3,3,3,,,,,,,
11,Cornell College,O,GC,1,,1.0,4.0,1.0,10.0,-50.0,Pass,Incomplete,0.0,,Moses LE,Incomplete,Daniel Quirk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,7,-7,3,3,3,,,,,,,
12,Cornell College,O,GC,1,,1.0,5.0,2.0,10.0,-50.0,Run,Rush,4.0,Daniel Quirk,,,,,,,Ed Del Castillo,Shakar Yearwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,7,-7,3,3,3,,,,,,,
13,Cornell College,O,GC,1,,1.0,6.0,3.0,6.0,46.0,Pass,Complete,8.0,,Moses LE,Complete,Nick Rhinehart,,,,Anthony Hoffman,Sam Adams,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:30,1710,0,7,-7,3,3,3,,,,,,,
14,Cornell College,O,GC,1,,1.0,7.0,1.0,10.0,38.0,Pass,Complete,4.0,,Moses RE,Complete,Dustin Saia,,,,Sam Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,7,-7,3,3,3,,,,,,,
15,Cornell College,O,GC,1,,1.0,8.0,2.0,14.0,42.0,Run,Rush,-4.0,Hayden Moses,,,,,,,Jonatha Buehler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,7,-7,3,3,3,,,,,,,
16,Cornell College,O,GC,1,,1.0,9.0,3.0,18.0,46.0,Pass,Complete,8.0,,Moses middle,Complete,Daniel Quirk,,,,Jonatha Buehler,Colden Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:30,1710,0,7,-7,3,3,3,,,,,,,
17,Cornell College,O,GC,1,,1.0,10.0,4.0,10.0,38.0,Pass,Complete,5.0,,Moses middle,Complete,Dustin Saia,,,,Jonatha Buehler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,13:30,1710,0,7,-7,3,3,3,,,,,,,
18,Cornell College,D,CC,1,,2.0,1.0,0.0,10.0,-33.0,Run,Rush,2.0,Sam Yager,,,,,,,Adam Khater,Josh Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
19,Cornell College,D,CC,1,,2.0,2.0,2.0,8.0,-35.0,Run,Rush,4.0,Sam Yager,,,,,,,Chaz Del Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
20,Cornell College,D,CC,1,,2.0,3.0,3.0,4.0,-39.0,Pass,Complete,6.0,,,Complete,Trey Birdsong,,,,Charlie Henehan,Blady Cavazos,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
21,Cornell College,D,CC,1,,2.0,4.0,1.0,10.0,-45.0,Pass,Complete,9.0,,,Complete,Marcellus Parks,,,,Blady Cavazos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
22,Cornell College,D,CC,1,,2.0,5.0,2.0,1.0,46.0,Run,Rush,14.0,Sam Yager,,,,,,,Blady Cavazos,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
23,Cornell College,D,CC,1,,2.0,6.0,1.0,10.0,32.0,Run,Rush,2.0,Tom Martushev,,,,,,,TJ Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
24,Cornell College,D,CC,1,,2.0,7.0,2.0,8.0,30.0,Pass,Incomplete,0.0,,,Incomplete,Mason Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
25,Cornell College,D,CC,1,,2.0,8.0,3.0,8.0,30.0,Run,Rush,3.0,Peni Waqairatu,,,,,,,Luke Porter,Luke Stefan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
26,Cornell College,D,CC,1,,2.0,9.0,4.0,5.0,27.0,Pass,Complete,8.0,,,Complete,Frede Tavernier,,,,TJ Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
27,Cornell College,D,CC,1,,2.0,10.0,1.0,10.0,19.0,Run,Rush,11.0,Sam Yager,,,,,,,TJ Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
28,Cornell College,D,CC,1,,2.0,11.0,1.0,8.0,8.0,Run,Rush,-2.0,Sam Yager,,,,,,,Will Reyes,Adam Khater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
29,Cornell College,D,CC,1,,2.0,12.0,2.0,10.0,10.0,Run,Rush,0.0,Peni Waqairatu,,,,,,,Blady Cavazos,Adam Khater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:21,1401,7,0,-7,3,3,3,,,,,,,
30,Cornell College,D,CC,1,,2.0,13.0,3.0,10.0,10.0,Pass,Complete,10.0,,,Complete,Tom Martushev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,08:21,1401,7,0,-7,3,3,3,,,,,,,
31,Cornell College,K,CC,1,,,,1.0,3.0,3.0,Extra Pt. Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam Mitchell,,,No Good,,,,,True,,,,01:43,1003,13,0,-13,3,3,3,personal foul,GC,,,,,2.0
32,Cornell College,K,CC,1,,,,1.0,1.0,1.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam Mitchell,,,Good,,,,,,,,,01:43,1003,13,0,-13,3,3,3,,,,,,,
33,Cornell College,K,CC,1,,,,1.0,-35.0,-35.0,KO Rec,Return,,,,,,,,,,,,,,,,Charlie Henehan,0,39.0,Adam Mitchell,26.0,39.0,Return,,,,,,,,,,,,,,,,,,,01:43,1003,14,0,-14,3,3,3,,,,,,,
34,Cornell College,O,GC,1,,2.0,1.0,0.0,10.0,-39.0,Pass,Incomplete,0.0,,Moses LE,Incomplete,Avery Hootstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:39,999,0,14,-14,3,3,3,,,,,,,
35,Cornell College,O,GC,1,,2.0,2.0,2.0,10.0,-39.0,Run,Rush,4.0,Daniel Carter,,,,,,,Ben Brassard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:39,999,0,14,-14,3,3,3,,,,,,,
36,Cornell College,O,GC,1,,2.0,3.0,3.0,6.0,-43.0,Pass,Sack,-5.0,,Hayden Moses,Sack,,,,,Kale Kuhiiki,Ben Brassard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,01:39,999,0,14,-14,3,3,3,,,,,,,
37,Cornell College,K,GC,1,,,,4.0,11.0,-38.0,Punt,Return,,,,,,,,,,,True,Trey recovered Birdsong,,GC,Clayton Burton,Trey Birdsong,0,36.0,,,,,,Nick Rhinehart,26.0,36.0,Return,,,,,,,,,,,,,,01:39,999,0,14,-14,3,3,3,,,,,,,
38,Cornell College,O,GC,2,,3.0,1.0,0.0,10.0,36.0,Run,Rush,10.0,Daniel Carter,,,,,,,Jonatha Buehler,Colden Clark,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,900,0,14,-14,3,3,3,,,,,,,
39,Cornell College,O,GC,2,,3.0,2.0,1.0,10.0,26.0,Run,Rush,4.0,Daniel Carter,,,,,,,Savian Perez,Kale Kuhiiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,14,-14,3,3,3,,,,,,,
40,Cornell College,O,GC,2,,3.0,3.0,2.0,6.0,22.0,Run,Rush,3.0,Daniel Carter,,,,,,,Kale Kuhiiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,14,-14,3,3,3,,,,,,,
41,Cornell College,O,GC,2,,3.0,4.0,3.0,3.0,19.0,Run,Rush,2.0,Daniel Carter,,,,,,,Jonatha Buehler,Ben Brassard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,14,-14,3,3,3,,,,,,,
42,Cornell College,O,GC,2,,3.0,5.0,4.0,1.0,17.0,Pass,Complete,17.0,,Moses middle,Complete,Nat Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,900,0,14,-14,3,3,3,,,,,,,
43,Cornell College,K,GC,2,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Rhinehart,,,Good,,,,,,,,,12:09,729,6,14,-8,3,3,3,,,,,,,
44,Cornell College,K,GC,2,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Garret Bean,,,,,,,Trey Birdsong,35,-47.0,Nick Rhinehart,47.0,18.0,Return,,,,,,,,,,,,,,,,,,,12:09,729,7,14,-7,3,3,3,,,,,,,
45,Cornell College,D,CC,2,,3.0,1.0,0.0,10.0,47.0,Run,Rush,-2.0,,,,,,,,Tom Henehan,Adam Khater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:56,716,14,7,-7,3,3,3,,,,,,,
46,Cornell College,D,CC,2,,3.0,2.0,2.0,12.0,49.0,Pass,Complete,7.0,,,Complete,Aaryn Hailpern,,,,Luke Stefan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:56,716,14,7,-7,3,3,3,,,,,,,
47,Cornell College,D,CC,2,,3.0,3.0,3.0,5.0,42.0,Run,Rush,10.0,Isaak Hahn,,,,,,,Hugh Werner,Tim Johnson,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:56,716,14,7,-7,3,3,3,,,,,,,
