PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Crown (MN),K,CRO,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,,,,,,,,Dominic Sandoval,0,37.0,Isaiah Anfield,28.0,37.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Crown (MN),O,HAM,1,,1.0,1.0,0.0,10.0,-37.0,Gold Zone,Run,Rush,8.0,Nikolas Rocafort,middle,,,,,,,,,Malek Folston,Gabe Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
3,Crown (MN),O,HAM,1,,1.0,2.0,2.0,2.0,-45.0,Go Zone,Pass,Complete,0.0,,,Alejandro Villanueva,short,left,Complete,Charlie Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:58,1798,0,0,0,3,3,3,Holding,HAM,Trey Oliver,,,,10.0
4,Crown (MN),O,HAM,1,,1.0,3.0,2.0,12.0,-35.0,Gold Zone,Run,Rush,7.0,Alejandro Villanueva,middle,,,,,,,,,Malek Folston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
5,Crown (MN),O,HAM,1,,1.0,4.0,3.0,5.0,-42.0,Gold Zone,Run,Rush,3.0,Alejandro Villanueva,middle,,,,,,,,,Malek Folston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:58,1798,0,0,0,3,3,3,,,,,,,
6,Crown (MN),K,HAM,1,,,,4.0,2.0,-45.0,Go Zone,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucius Negrillo,30.0,25.0,Fair Catch,,,,,,,,,,,,,,14:58,1798,0,0,0,3,3,3,,,,,,,
7,Crown (MN),D,CRO,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Pass,Sack,0.0,,,Elijah Odom,,,Sack,,,,,Chip Kindt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:33,1653,0,0,0,3,3,3,,,,,,,
8,Crown (MN),D,CRO,1,,1.0,2.0,2.0,10.0,-25.0,Coming Out,Pass,Incomplete,0.0,,,Elijah Odom,short,middle,Incomplete,Michael Downs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:33,1653,0,0,0,3,3,3,,,,,,,
9,Crown (MN),D,CRO,1,,1.0,3.0,3.0,10.0,-25.0,Coming Out,Run,Rush,16.0,Elijah Odom,middle,,,,,,,,,Caleb Lueders,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:33,1653,0,0,0,3,3,3,,,,,,,
10,Crown (MN),D,CRO,1,,1.0,4.0,1.0,10.0,-41.0,Gold Zone,Pass,Complete,1.0,,,Elijah Odom,short,left,Complete,Josh Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:33,1653,0,0,0,3,3,3,,,,,,,
