PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Kennesaw State,K,HAM,1,,,,,,,KO,Return,,,,,,,,,Ethan CADOGAN,,,,,,,Gabrie Benyard,25,31.0,Axel PEREZ,59.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Kennesaw State,D,KSUFB21,1,,1.0,1.0,0.0,10.0,31.0,Run,Rush,13.0,Xavie Shepherd,,,,,,,Caleb BROWN,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Kennesaw State,D,KSUFB21,1,,1.0,2.0,1.0,10.0,44.0,Run,Rush,3.0,Adeolu Adeleke,,,,,,,DeAndre FAULK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Kennesaw State,D,KSUFB21,1,,1.0,3.0,2.0,7.0,47.0,Run,Rush,5.0,Xavie Shepherd,,,,,,,KeShaun MOORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Kennesaw State,,KSUFB21,1,,,,3.0,2.0,48.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,offside,HAM,,,,,5.0
6,Kennesaw State,D,KSUFB21,1,,1.0,4.0,1.0,10.0,43.0,Run,Rush,3.0,Xavie Shepherd,,,,,,,Cameron WALKER,Ohmante JENKINS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Kennesaw State,D,KSUFB21,1,,1.0,5.0,2.0,7.0,40.0,Run,Rush,9.0,Nykeem Farrow,,,,,,,DeAndre FAULK,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Kennesaw State,D,KSUFB21,1,,1.0,6.0,1.0,10.0,31.0,Run,Rush,4.0,Adeolu Adeleke,,,,,,,Caleb BROWN,KeShaun MOORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Kennesaw State,D,KSUFB21,1,,1.0,7.0,2.0,6.0,27.0,Run,Rush,-1.0,Nykeem Farrow,,,,,,,DeAndre FAULK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Kennesaw State,D,KSUFB21,1,,1.0,8.0,3.0,7.0,28.0,Pass,Complete,8.0,,Xavie Shepherd,Complete,Nykeem Farrow,,,,DeAndre FAULK,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Kennesaw State,D,KSUFB21,1,,1.0,9.0,1.0,10.0,20.0,Run,Rush,-2.0,Xavie Shepherd,,,,,,,Ethan CADOGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Kennesaw State,D,KSUFB21,1,,1.0,10.0,2.0,12.0,22.0,Run,Rush,1.0,Kyle Glover,,,,,,,DeAndre FAULK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
13,Kennesaw State,D,KSUFB21,1,,1.0,11.0,3.0,11.0,21.0,Run,Rush,3.0,Kyle Glover,,,,,,,Rodrick DORSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,15:00,1800,0,0,0,3,3,3,,,,,,,
14,Kennesaw State,K,KSUFB21,1,,,,4.0,8.0,18.0,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nath Robertson,35.0,Good,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
15,Kennesaw State,K,KSUFB21,1,,,,1.0,35.0,35.0,KO Ret,Return,,,,,,,,,Chance Bates,,,,,,,Darran BUTTS,24,30.0,Nath Robertson,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,07:49,1369,3,0,-3,3,3,3,,,,,,,
16,Kennesaw State,,HAM,1,,,,1.0,10.0,-30.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:44,1364,0,3,-3,3,3,3,false start,HAM,,,,,5.0
17,Kennesaw State,O,HAM,1,,1.0,1.0,0.0,15.0,-25.0,Pass,Complete,5.0,,Jett DUFFEY,Complete,Jadakis BONDS,,,,Je'Cory Burks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:44,1364,0,3,-3,3,3,3,,,,,,,
18,Kennesaw State,O,HAM,1,,1.0,2.0,2.0,10.0,-30.0,Run,Rush,1.0,Elijah BURRIS,,,,,,,We Spottsville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:44,1364,0,3,-3,3,3,3,,,,,,,
19,Kennesaw State,O,HAM,1,,1.0,3.0,3.0,9.0,-31.0,Pass,Complete,6.0,,Jett DUFFEY,Complete,,,,,Evan Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,07:44,1364,0,3,-3,3,3,3,,,,,,,
20,Kennesaw State,K,HAM,1,,,,4.0,3.0,-37.0,Punt,Return,,,,,,,,,Caleb BROWN,,,,,,,Nykeem Farrow,4,23.0,,,,,,Axel PEREZ,44.0,19.0,Return,,,,,,,,,,,,,,07:44,1364,0,3,-3,3,3,3,,,,,,,
21,Kennesaw State,D,KSUFB21,1,,2.0,1.0,0.0,10.0,23.0,Run,Rush,9.0,Xavie Shepherd,,,,,,,DeAndre FAULK,Caleb BROWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:55,1255,3,0,-3,3,3,3,,,,,,,
22,Kennesaw State,D,KSUFB21,1,,2.0,2.0,2.0,1.0,32.0,Run,Rush,5.0,Jonatha Murphy,,,,,,,Ali SHOCKLEY,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:55,1255,3,0,-3,3,3,3,,,,,,,
23,Kennesaw State,D,KSUFB21,1,,2.0,3.0,1.0,10.0,37.0,Run,Rush,9.0,Xavie Shepherd,,,,,,,Ali SHOCKLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:55,1255,3,0,-3,3,3,3,,,,,,,
24,Kennesaw State,D,KSUFB21,1,,2.0,4.0,2.0,1.0,46.0,Run,Rush,39.0,Xavie Shepherd,,,,,,,Xavie Shepherd,,True,Xavie Shepherd,Mason KING,HAM,Ethan CADOGAN,Ethan CADOGAN,2,-10.0,,,,,,,,,,,,,,,,,,,,,,Fumble,05:55,1255,3,0,-3,3,3,3,,,,,,,
25,Kennesaw State,O,HAM,1,,2.0,1.0,0.0,10.0,-12.0,Run,Rush,7.0,Elijah BURRIS,,,,,,,Evan Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:12,1152,0,3,-3,3,3,3,,,,,,,
26,Kennesaw State,O,HAM,1,,2.0,2.0,2.0,3.0,-19.0,Pass,Incomplete,0.0,,Jett DUFFEY,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:12,1152,0,3,-3,3,3,3,,,,,,,
27,Kennesaw State,O,HAM,1,,2.0,3.0,3.0,3.0,-19.0,Pass,Complete,0.0,,Jett DUFFEY,Complete,,,,,Jav Singletary,Evan Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:12,1152,0,3,-3,3,3,3,,,,,,,
28,Kennesaw State,K,HAM,1,,,,4.0,3.0,-19.0,Punt,Return,,,,,,,,,B RICHARDS,,,,,,,Nykeem Farrow,14,49.0,,,,,,Axel PEREZ,46.0,35.0,Return,,,,,,,,,,,,,,04:12,1152,0,3,-3,3,3,3,,,,,,,
29,Kennesaw State,D,KSUFB21,1,,3.0,1.0,0.0,10.0,49.0,Run,Rush,1.0,Presto Daniels,,,,,,,DeAndre FAULK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:15,1095,3,0,-3,3,3,3,,,,,,,
30,Kennesaw State,D,KSUFB21,1,,3.0,2.0,2.0,9.0,50.0,Run,Rush,11.0,Xavie Shepherd,,,,,,,Ali SHOCKLEY,Mason KING,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:15,1095,3,0,-3,3,3,3,,,,,,,
31,Kennesaw State,D,KSUFB21,1,,3.0,3.0,1.0,10.0,39.0,Run,Rush,23.0,Xavie Shepherd,,,,,,,Ethan CADOGAN,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:15,1095,3,0,-3,3,3,3,,,,,,,
32,Kennesaw State,D,KSUFB21,1,,3.0,4.0,1.0,10.0,16.0,Run,Rush,7.0,Xavie Shepherd,,,,,,,Ali SHOCKLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:15,1095,3,0,-3,3,3,3,,,,,,,
33,Kennesaw State,D,KSUFB21,1,,3.0,5.0,2.0,3.0,9.0,Run,Rush,0.0,Kyle Glover,,,,,,,,,True,Kyle Glover,Mason KING,HAM,DeAndre FAULK,DeAndre FAULK,,0.0,,,,,,,,,,,,,,,,,,,,,,Fumble,03:15,1095,3,0,-3,3,3,3,,,,,,,
34,Kennesaw State,O,HAM,1,,3.0,1.0,0.0,10.0,-20.0,Run,Rush,0.0,Elijah BURRIS,,,,,,,Elijah BURRIS,,True,Elijah BURRIS,We Spottsville,KSUFB21,Kelcy Allen,Kelcy Allen,,21.0,,,,,,,,,,,,,,,,,,,,,,Fumble,01:08,968,0,3,-3,3,3,3,,,,,,,
35,Kennesaw State,D,KSUFB21,1,,4.0,1.0,0.0,10.0,25.0,Pass,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:57,957,3,0,-3,3,3,3,,,,,,,
