PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,St. John Fisher,K,FISHERFB,1,,,,,,,KO Rec,Return,,,,,,,,,K. Vachon,,,,,,,Armani Banton,14,20.0,J. Dotterweich,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,St. John Fisher,,HARTWICK,1,,,,1.0,10.0,-20.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,substitution infraction,HARTWICK,,,,,5.0
3,St. John Fisher,O,HARTWICK,1,,1.0,1.0,0.0,15.0,-15.0,Pass,Complete,4.0,,Jason Garcia,Complete,Matt Beam,,,,K. Vachon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,St. John Fisher,O,HARTWICK,1,,1.0,2.0,2.0,11.0,-19.0,Run,Rush,1.0,Davien Kuinlan,,,,,,,V. DiMonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,St. John Fisher,O,HARTWICK,1,,1.0,3.0,3.0,10.0,-20.0,Pass,Incomplete,0.0,,Jason Garcia,Incomplete,J. Mansfield-Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,St. John Fisher,K,HARTWICK,1,,,,4.0,10.0,-20.0,Punt,Return,,,,,,,,,Bryan Grimes,,,,,,,T. Sizer,14,-42.0,,,,,,Nick Andrade,36.0,44.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,St. John Fisher,D,FISHERFB,1,,1.0,1.0,0.0,10.0,42.0,Pass,Complete,5.0,,M. Krafty,Complete,P. Galer,,,,Tyler Norman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:13,1693,0,0,0,3,3,3,,,,,,,
8,St. John Fisher,D,FISHERFB,1,,1.0,2.0,2.0,5.0,37.0,Pass,Complete,5.0,,M. Krafty,Complete,D. Pross,,,,Jules Pierre,Tyler Norman,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:13,1693,0,0,0,3,3,3,,,,,,,
9,St. John Fisher,D,FISHERFB,1,,1.0,3.0,1.0,10.0,32.0,Pass,Incomplete,0.0,,M. Krafty,Incomplete,T. Sizer,,,,Nelon Priest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:13,1693,0,0,0,3,3,3,,,,,,,
10,St. John Fisher,D,FISHERFB,1,,1.0,4.0,2.0,10.0,32.0,Pass,Complete,5.0,,M. Krafty,Complete,J. Letta,,,,Owen Lawler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:13,1693,0,0,0,3,3,3,,,,,,,
