PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Mount Union,K,MTU,1,,,,,,,KO Ret,Return,,,,,,,,,Ian Sexton,,,,,,,Brandon Reed,27,29.0,Nick Deack,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Mount Union,O,HEI,1,,1.0,1.0,0.0,10.0,-29.0,Run,Rush,2.0,Montavious Yearby,,,,,,,Carson Kovath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Mount Union,O,HEI,1,,1.0,2.0,2.0,8.0,-31.0,Run,Rush,2.0,Montavious Yearby,,,,,,,Mason McMillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
4,Mount Union,O,HEI,1,,1.0,3.0,3.0,6.0,-33.0,Pass,Complete,14.0,,Drew Sims,Complete,Brandon Reed,,,,Malik Britt,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
5,Mount Union,O,HEI,1,,1.0,4.0,1.0,10.0,-47.0,Pass,Incomplete,0.0,,Drew Sims,Incomplete,Brandon Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
6,Mount Union,O,HEI,1,,1.0,5.0,2.0,10.0,-47.0,Run,Rush,0.0,Montavious Yearby,,,,,,,Carson Kovath,Kordell Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
7,Mount Union,O,HEI,1,,1.0,6.0,3.0,10.0,-47.0,Pass,Sack,-10.0,,Drew Sims,Sack,,,,,Rossy Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:55,1795,0,0,0,3,3,3,,,,,,,
8,Mount Union,K,HEI,1,,,,4.0,20.0,-37.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Parker Smith,51.0,12.0,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
9,Mount Union,D,MTU,1,,1.0,1.0,0.0,10.0,-12.0,Run,Rush,4.0,Deandre Parker,,,,,,,Tyler Turek,Isaiah Kammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:38,1598,0,0,0,3,3,3,,,,,,,
10,Mount Union,D,MTU,1,,1.0,2.0,2.0,6.0,-16.0,Run,Rush,3.0,Braxton Plunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:38,1598,0,0,0,3,3,3,,,,,,,
