PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Howard Payne,K,HPU,1,,,,,,,KO Ret,Return,,,,,,,,,Casey Dufner,Stephen Willis,,,,,,Tajae White,11,21.0,Blake Phipps,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,holding,HENDRIX,Nathan Hahn,,,,9.0
2,Howard Payne,O,HENDRIX,1,,1.0,1.0,0.0,10.0,-12.0,Run,Rush,0.0,Caleb Williams,,,,,,,Jame Jakubowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Howard Payne,O,HENDRIX,1,,1.0,2.0,2.0,10.0,-12.0,Run,Rush,3.0,Caleb Williams,,,,,,,David Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Howard Payne,O,HENDRIX,1,,1.0,3.0,3.0,7.0,-15.0,Run,Rush,6.0,Parker Wells,,,,,,,Peyton Lowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Howard Payne,O,HENDRIX,1,,1.0,4.0,4.0,1.0,-21.0,Pass,Complete,1.0,,Parker Wells,Complete,Jaxon Cobern,,,,David Bush,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Howard Payne,O,HENDRIX,1,,1.0,5.0,1.0,10.0,-22.0,Pass,Complete,14.0,,Parker Wells,Complete,Christian Gadison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Howard Payne,O,HENDRIX,1,,1.0,6.0,1.0,10.0,-36.0,Run,Rush,-1.0,Parker Wells,,,,,,,Brayden Rhea,David Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Howard Payne,O,HENDRIX,1,,1.0,7.0,2.0,11.0,-35.0,Run,Rush,5.0,Jaxon Cobern,,,,,,,Jame Jakubowski,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,personal foul,HPU,Kyle Bell,,,,15.0
9,Howard Payne,O,HENDRIX,1,,1.0,8.0,1.0,10.0,45.0,Run,Rush,2.0,Caleb Williams,,,,,,,Kyle Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Howard Payne,O,HENDRIX,1,,1.0,9.0,2.0,8.0,43.0,Pass,Incomplete,0.0,,Parker Wells,Incomplete,Tajae White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
