PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Sewanee,K,HENDRIX,1,,,,,,,KO,Return,,,,,,,,,Dylan Chappell,Nathan Hahn,,,,,,Cyrus McCullough,16,22.0,Bennett Ellis,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Sewanee,D,SEWANEE,1,,1.0,1.0,0.0,10.0,-22.0,Run,Rush,1.0,George Morrice,,,,,,,Graham DeForest,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,personal foul,HENDRIX,Graham DeForest,,,,15.0
3,Sewanee,D,SEWANEE,1,,1.0,2.0,1.0,10.0,-38.0,Run,Rush,2.0,George Morrice,,,,,,,Joshua Cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Sewanee,D,SEWANEE,1,,1.0,3.0,2.0,8.0,-40.0,Pass,Incomplete,0.0,,Jeremiah Young,Incomplete,Cyrus McCullough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Sewanee,D,SEWANEE,1,,1.0,4.0,3.0,8.0,-40.0,Pass,Incomplete,0.0,,Jeremiah Young,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Sewanee,,SEWANEE,1,,,,4.0,8.0,-40.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,IS,SEWANEE,,,,,5.0
7,Sewanee,K,SEWANEE,1,,,,4.0,13.0,-35.0,Punt Ret,Return,,,,,,,,,Parker Ray,,,,,,,Tajae White,12,41.0,,,,,,Jack Satterfield,36.0,29.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,IB,HENDRIX,Connor Samples,,,,10.0
8,Sewanee,O,HENDRIX,1,,1.0,1.0,0.0,10.0,-31.0,Pass,Incomplete,0.0,,Hunter Holden,Incomplete,Chris Childress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:48,1728,0,0,0,3,3,3,,,,,,,
9,Sewanee,O,HENDRIX,1,,1.0,2.0,2.0,10.0,-31.0,Run,Rush,5.0,Caleb Williams,,,,,,,Henry Proctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:48,1728,0,0,0,3,3,3,,,,,,,
10,Sewanee,O,HENDRIX,1,,1.0,3.0,3.0,5.0,-36.0,Run,Rush,0.0,Hunter Holden,,,,,,,Keegan Glaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:48,1728,0,0,0,3,3,3,,,,,,,
11,Sewanee,K,HENDRIX,1,,,,4.0,5.0,-36.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Chris Childress,48.0,16.0,,,,,,,,,,,,,,,13:48,1728,0,0,0,3,3,3,,,,,,,
12,Sewanee,D,SEWANEE,1,,2.0,1.0,0.0,10.0,-16.0,Run,Rush,8.0,Hunter Jones,,,,,,,Parker Turley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:57,1617,0,0,0,3,3,3,,,,,,,
13,Sewanee,D,SEWANEE,1,,2.0,2.0,2.0,2.0,-24.0,Pass,Complete,4.0,,Jeremiah Young,Complete,Hunter Jones,,,,Ethan Armour,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:57,1617,0,0,0,3,3,3,,,,,,,
14,Sewanee,D,SEWANEE,1,,2.0,3.0,1.0,10.0,-28.0,Pass,Incomplete,0.0,,Jeremiah Young,Incomplete,Dagem Samuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:57,1617,0,0,0,3,3,3,,,,,,,
15,Sewanee,D,SEWANEE,1,,2.0,4.0,2.0,10.0,-28.0,Pass,Complete,7.0,,Jeremiah Young,Complete,Hunter Jones,,,,Dalton Lindelof,Hunter Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:57,1617,0,0,0,3,3,3,,,,,,,
16,Sewanee,D,SEWANEE,1,,2.0,5.0,3.0,3.0,-35.0,Run,Rush,2.0,Michael McGhee,,,,,,,Mitchell Johnson,Tanner Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:57,1617,0,0,0,3,3,3,,,,,,,
17,Sewanee,D,SEWANEE,1,,2.0,6.0,4.0,1.0,-37.0,Run,Rush,4.0,Michael McGhee,,,,,,,Tanner Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:57,1617,0,0,0,3,3,3,,,,,,,
