PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rhodes,K,HENDRIX,1,,,,,,,KO,Return,,,,,,,,,Seth Hakanson,,,,,,,Grant Jenson,8,33.0,Bennett Ellis,40.0,25.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Rhodes,D,RHODES,1,,1.0,1.0,0.0,10.0,-33.0,Run,Rush,0.0,James Moskosky,,,,,,,Mitchell Johnson,Joshua Cole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Rhodes,D,RHODES,1,,1.0,2.0,2.0,10.0,-33.0,Pass,Incomplete,0.0,,Luke Macias,Incomplete,Umikoa Kealoha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,15:00,1800,0,0,0,3,3,3,pass interference,HENDRIX,Matthew Scirto,,,,15.0
4,Rhodes,D,RHODES,1,,1.0,3.0,1.0,10.0,-48.0,Run,Rush,3.0,James Moskosky,,,,,,,Mitchell Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Rhodes,D,RHODES,1,,1.0,4.0,2.0,7.0,49.0,Run,Rush,5.0,James Moskosky,,,,,,,Eli Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Rhodes,D,RHODES,1,,1.0,5.0,3.0,2.0,44.0,Run,Rush,2.0,James Moskosky,,,,,,,Drake Bacchus,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Rhodes,D,RHODES,1,,1.0,6.0,1.0,10.0,42.0,Pass,Complete,38.0,,Luke Macias,Complete,Umikoa Kealoha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Rhodes,D,RHODES,1,,1.0,7.0,1.0,4.0,4.0,Pass,Incomplete,0.0,,Luke Macias,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,offside,HENDRIX,Joshua Cole,,,,2.0
9,Rhodes,D,RHODES,1,,1.0,8.0,1.0,2.0,2.0,Run,Rush,2.0,James Moskosky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Rhodes,K,RHODES,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wiley Henshaw,,,Good,,,,,,,,,11:42,1602,6,0,-6,3,3,3,,,,,,,
11,Rhodes,K,RHODES,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,Luke Macias,,,,,,,Tajae White,28,40.0,Wiley Henshaw,53.0,12.0,Return,,,,,,,,,,,,,,,,,,,11:42,1602,7,0,-7,3,3,3,,,,,,,
12,Rhodes,O,HENDRIX,1,,1.0,1.0,0.0,10.0,-40.0,Run,Rush,2.0,Quentin Tolbert,,,,,,,Minh Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:35,1595,0,7,-7,3,3,3,,,,,,,
13,Rhodes,O,HENDRIX,1,,1.0,2.0,2.0,8.0,-42.0,Pass,Complete,3.0,,Hunter Holden,Complete,Colton Phillips,,,,Joe Conroy,Kobe Bins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:35,1595,0,7,-7,3,3,3,,,,,,,
14,Rhodes,O,HENDRIX,1,,1.0,3.0,3.0,11.0,-39.0,Pass,Complete,12.0,,Hunter Holden,Complete,Christian Gadison,,,,Alex McRae,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:35,1595,0,7,-7,3,3,3,,,,,,,
15,Rhodes,O,HENDRIX,1,,1.0,4.0,1.0,10.0,49.0,Pass,Incomplete,0.0,,Hunter Holden,Incomplete,Christian Gadison,,,,Nathaniel Pride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:35,1595,0,7,-7,3,3,3,,,,,,,
16,Rhodes,O,HENDRIX,1,,1.0,5.0,2.0,10.0,49.0,Pass,Complete,10.0,,Hunter Holden,Complete,Colton Phillips,,,,Conner Mitchell,Alex McRae,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:35,1595,0,7,-7,3,3,3,,,,,,,
17,Rhodes,O,HENDRIX,1,,1.0,6.0,1.0,10.0,39.0,Pass,Complete,4.0,,Hunter Holden,Complete,Chris Childress,,,,Evan Byrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:35,1595,0,7,-7,3,3,3,,,,,,,
18,Rhodes,O,HENDRIX,1,,1.0,7.0,2.0,6.0,35.0,Run,Rush,9.0,Quentin Tolbert,,,,,,,,,True,Quentin Tolbert,Hart Penfield,RHODES,Hart Penfield,,,26.0,,,,,,,,,,,,,,,,,,,,,,Fumble,11:35,1595,0,7,-7,3,3,3,,,,,,,
19,Rhodes,D,RHODES,1,,2.0,1.0,0.0,10.0,-26.0,Pass,Complete,0.0,,Luke Macias,Complete,JaVon Cooper,,,,Mitchell Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:37,1417,7,0,-7,3,3,3,,,,,,,
20,Rhodes,D,RHODES,1,,2.0,2.0,2.0,10.0,-26.0,Run,Rush,7.0,James Moskosky,,,,,,,Graham DeForest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:37,1417,7,0,-7,3,3,3,,,,,,,
21,Rhodes,D,RHODES,1,,2.0,3.0,3.0,3.0,-33.0,Pass,Complete,7.0,,Luke Macias,Complete,James Moskosky,,,,Parker Turley,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:37,1417,7,0,-7,3,3,3,,,,,,,
22,Rhodes,D,RHODES,1,,2.0,4.0,1.0,10.0,-40.0,Pass,Incomplete,0.0,,Luke Macias,Incomplete,Charlie Mackey,,,,Ronnie McShan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:37,1417,7,0,-7,3,3,3,,,,,,,
23,Rhodes,D,RHODES,1,,2.0,5.0,2.0,10.0,-40.0,Run,Rush,5.0,James Moskosky,,,,,,,Tanner Barrett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:37,1417,7,0,-7,3,3,3,,,,,,,
24,Rhodes,D,RHODES,1,,2.0,6.0,3.0,5.0,-45.0,Pass,Incomplete,0.0,,Luke Macias,Incomplete,Umikoa Kealoha,,,,Timothy Curran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:37,1417,7,0,-7,3,3,3,,,,,,,
