PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Austin College,K,AC,1,,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,,,,John Aldridge,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Austin College,O,HENDRIX,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,2.0,Jacob Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Austin College,O,HENDRIX,1,,1.0,2.0,2.0,8.0,-27.0,Gold Zone,Pass,Complete,10.0,,,Jacob Wood,,,Complete,Mason Hays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Austin College,O,HENDRIX,1,,1.0,3.0,1.0,10.0,-37.0,Gold Zone,Run,Rush,0.0,Jaxon Cobern,,,,,,,,,,Colton Gerken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Austin College,O,HENDRIX,1,,1.0,4.0,2.0,10.0,-37.0,Gold Zone,Pass,Complete,12.0,,,Wood slant,,,Complete,C. Gadison,,,,Eliel Sandoval,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Austin College,O,HENDRIX,1,,1.0,5.0,1.0,10.0,-49.0,Go Zone,Run,Rush,2.0,Jaxon Cobern,right,,,,,,,,,Eliel Sandoval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Austin College,O,HENDRIX,1,,1.0,6.0,2.0,8.0,49.0,Go Zone,Pass,Complete,5.0,,,Wood slant,,,Complete,Tajae White,,,,Eliel Sandoval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Austin College,O,HENDRIX,1,,1.0,7.0,3.0,3.0,44.0,Go Zone,Run,Rush,4.0,Jaxon Cobern,right,,,,,,,,,J. Carrington,Colton Gerken,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Austin College,O,HENDRIX,1,,1.0,8.0,1.0,10.0,40.0,Go Zone,Pass,Complete,18.0,,,Wood LS,,,Complete,Tajae White,,,,Richard Johnson,Eliel Sandoval,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Austin College,O,HENDRIX,1,,1.0,9.0,1.0,10.0,22.0,Take A Shot,Run,Rush,2.0,Jaxon Cobern,left,,,,,,,,,Texas Gordon,C. Olmstead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Austin College,O,HENDRIX,1,,1.0,10.0,2.0,8.0,20.0,Red Zone High,Pass,Complete,7.0,,,Wood sideline,,,Complete,C. Gadison,,,,Texas Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Austin College,O,HENDRIX,1,,1.0,11.0,3.0,1.0,13.0,Red Zone,Run,Rush,2.0,Quentin Tolbert,right,,,,,,,,,Caleb Williams,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
13,Austin College,O,HENDRIX,1,,1.0,12.0,1.0,10.0,11.0,Red Zone,Run,Rush,4.0,Jaxon Cobern,middle,,,,,,,,,Hunter Fulton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
14,Austin College,O,HENDRIX,1,,1.0,13.0,2.0,6.0,7.0,Red Zone,Run,Rush,-1.0,Jaxon Cobern,left,,,,,,,,,Colton Gerken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
15,Austin College,O,HENDRIX,1,,1.0,14.0,3.0,7.0,8.0,Red Zone,Pass,Complete,3.0,,,Wood slant,,,Complete,Jacob Mathis,,,,J. Pleasant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
16,Austin College,O,HENDRIX,1,,1.0,15.0,4.0,4.0,5.0,Red Zone Low,Pass,Incomplete,0.0,,,Jacob Wood,,,Incomplete,the AC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,offside defense,AC,Caleb Williams,,,,3.0
17,Austin College,O,HENDRIX,1,,1.0,16.0,4.0,1.0,2.0,Red Zone Low,Run,Rush,-1.0,Bennett Ellis,middle,,,,,,,,,Eliel Sandoval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,15:00,1800,0,0,0,3,3,3,,,,,,,
18,Austin College,D,AC,1,,1.0,1.0,0.0,10.0,-3.0,Backed Up,Run,Rush,3.0,Kennon Magers,,,,,,,,,,Drake Baachus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:40,1360,0,0,0,3,3,3,,,,,,,
19,Austin College,D,AC,1,,1.0,2.0,2.0,7.0,-6.0,Backed Up,Run,Rush,6.0,Tyler James,left,,,,,,,,,Nathan Hahn,Mitch Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:40,1360,0,0,0,3,3,3,,,,,,,
20,Austin College,D,AC,1,,1.0,3.0,3.0,1.0,-12.0,Coming Out,Run,Rush,2.0,Kennon Magers,middle,,,,,,,,,Mitch Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:40,1360,0,0,0,3,3,3,,,,,,,
21,Austin College,D,AC,1,,1.0,4.0,1.0,10.0,-14.0,Coming Out,Run,Rush,2.0,Kennon Magers,left,,,,,,,,,Mitch Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:40,1360,0,0,0,3,3,3,,,,,,,
22,Austin College,,AC,1,,,,2.0,8.0,-16.0,Coming Out,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:40,1360,0,0,0,3,3,3,false start,AC,,,,,5.0
23,Austin College,D,AC,1,,1.0,5.0,2.0,13.0,-11.0,Coming Out,Run,Rush,30.0,Tiger Dietz,right,,,,,,,,,Riley McMurren,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:40,1360,0,0,0,3,3,3,,,,,,,
24,Austin College,D,AC,1,,1.0,6.0,1.0,10.0,-41.0,Gold Zone,Pass,Incomplete,0.0,,,Tyler James,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:40,1360,0,0,0,3,3,3,,,,,,,
25,Austin College,D,AC,1,,1.0,7.0,2.0,10.0,-41.0,Gold Zone,Run,Rush,5.0,Dauvo McDonald,right,,,,,,,,,Mitch Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:40,1360,0,0,0,3,3,3,,,,,,,
26,Austin College,D,AC,1,,1.0,8.0,3.0,5.0,-46.0,Go Zone,Run,Rush,2.0,Tyler James,right,,,,,,,,,Mitch Johnson,Drake Baachus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,07:40,1360,0,0,0,3,3,3,,,,,,,
27,Austin College,K,AC,1,,,,4.0,3.0,-48.0,Go Zone,Punt Rec,Return,,,,,,,,,,,,Richard Johnson,,,,,,,Tajae White,26,40.0,,,,,,Tyler James,38.0,14.0,Return,,,,,,,,,,,,,,07:40,1360,0,0,0,3,3,3,,,,,,,
28,Austin College,O,HENDRIX,1,,2.0,1.0,0.0,10.0,-40.0,Gold Zone,Pass,Complete,7.0,,,Wood sideline,,,Complete,Tajae White,,,,Texas Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:58,1018,0,0,0,3,3,3,,,,,,,
