PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Willamette,K,WIL,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Judah Ali'ifua,,,,,,,Patrick Waggoner,9,25.0,Nick Beswick-Seidl,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Willamette,,HIL,1,,,,1.0,10.0,-25.0,Coming Out,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,False Start,HIL,Ja'Mes Alexander,,,,5.0
3,Willamette,O,HIL,1,,1.0,1.0,0.0,15.0,-20.0,Coming Out,Pass,Incomplete,0.0,,,Jeremiah Caviness,,,Incomplete,Joseph Stover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
4,Willamette,O,HIL,1,,1.0,2.0,2.0,15.0,-20.0,Coming Out,Run,Rush,3.0,Jalen Henlon,left,,,,,,,,,Cayden Stankavich,Christopher Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
5,Willamette,O,HIL,1,,1.0,3.0,3.0,12.0,-23.0,Coming Out,Pass,Complete,6.0,,,Jeremiah Caviness,short,right,Complete,Kevin Lewis,,,,Keaton Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:56,1796,0,0,0,3,3,3,,,,,,,
6,Willamette,K,HIL,1,,,,4.0,6.0,-29.0,Gold Zone,Punt,Return,,,,,,,,,,,,Cameron Riddick-Brown,,,,,,,,30,-32.0,,,,,,Scottie Essig,33.0,38.0,Return,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
7,Willamette,D,WIL,1,,1.0,1.0,0.0,10.0,32.0,Take A Shot,Run,Rush,7.0,Joseph Castillo,middle,,,,,,,,,Thomas Howard Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:19,1699,0,0,0,3,3,3,,,,,,,
8,Willamette,D,WIL,1,,1.0,2.0,2.0,3.0,25.0,Take A Shot,Run,Rush,5.0,Joseph Castillo,middle,,,,,,,,,Emmanuel Land IV,Devotie Pompey,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:19,1699,0,0,0,3,3,3,,,,,,,
9,Willamette,D,WIL,1,,1.0,3.0,1.0,10.0,15.0,Red Zone High,Pass,Incomplete,0.0,,,Aidan Kuykendall,short,left,Incomplete,Justin Genovia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:19,1699,0,0,0,3,3,3,,,,,,,
10,Willamette,D,WIL,1,,1.0,4.0,2.0,10.0,15.0,Red Zone High,Run,Rush,7.0,Joseph Castillo,middle,,,,,,,,,Taivaughn Roach,Kooper Aiken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:19,1699,0,0,0,3,3,3,,,,,,,
11,Willamette,D,WIL,1,,1.0,5.0,3.0,3.0,8.0,Red Zone,Run,Rush,8.0,Aidan Kuykendall,middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,13:19,1699,0,0,0,3,3,3,,,,,,,
12,Willamette,K,WIL,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,Seth H: Beach,,,,,,,,,,,,,,,,,,,,Camdin Dirnberger,,,Good,,,,,,,,,11:10,1570,6,0,-6,3,3,3,,,,,,,
13,Willamette,K,WIL,1,,,,1.0,10.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,Hogan Smith,,,,,,,Andre Augustiniak,15,26.0,Nick Beswick-Seidl,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,11:10,1570,7,0,-7,3,3,3,,,,,,,
14,Willamette,O,HIL,1,,2.0,1.0,0.0,10.0,-26.0,Gold Zone,Pass,Incomplete,0.0,,,Jeremiah Caviness,,,Incomplete,Andre Augustiniak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,7,-7,3,3,3,,,,,,,
15,Willamette,O,HIL,1,,2.0,2.0,2.0,10.0,-26.0,Gold Zone,Run,Rush,4.0,Jeremiah Caviness,middle,,,,,,,,,Christopher Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,7,-7,3,3,3,,,,,,,
16,Willamette,O,HIL,1,,2.0,3.0,3.0,6.0,-30.0,Gold Zone,Pass,Incomplete,0.0,,,Jeremiah Caviness,short,middle,Incomplete,Joseph Stover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,11:05,1565,0,7,-7,3,3,3,Holding,WIL,Albert Ramon,,,,10.0
17,Willamette,O,HIL,1,,2.0,4.0,1.0,10.0,-40.0,Gold Zone,Run,Rush,1.0,Jalen Henlon,middle,,,,,,,,,Cayden Stankavich,Christopher Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,7,-7,3,3,3,,,,,,,
18,Willamette,O,HIL,1,,2.0,5.0,2.0,9.0,-41.0,Gold Zone,Pass,Complete,1.0,,,Jeremiah Caviness,short,left,Complete,Anthony Homa,,,,John Kenny,Landon Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,0,7,-7,3,3,3,,,,,,,
19,Willamette,O,HIL,1,,2.0,6.0,3.0,8.0,-42.0,Gold Zone,Pass,Complete,14.0,,,Jeremiah Caviness,deep,middle,Complete,Anthony Homa,,,,Hogan Smith,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:05,1565,0,7,-7,3,3,3,,,,,,,
20,Willamette,O,HIL,1,,2.0,7.0,1.0,10.0,44.0,Go Zone,Run,Rush,26.0,Jonathan McCabe,middle,,,,,,,,,Dominic Corado,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:05,1565,0,7,-7,3,3,3,,,,,,,
21,Willamette,O,HIL,1,,2.0,8.0,1.0,10.0,18.0,Red Zone High,Pass,Complete,18.0,,,Andre Augustiniak,deep,right,Complete,Joseph Stover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:05,1565,0,7,-7,3,3,3,,,,,,,
22,Willamette,K,HIL,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,Scottie H: Essig,,,,,,,,,,,,,,,,,,,,Eric Cline,,,Good,,,,,,,,,07:39,1359,6,7,-1,3,3,3,,,,,,,
23,Willamette,K,HIL,1,,,,1.0,10.0,-35.0,Gold Zone,KO,,,,,,,,,,,,,,,,,,,,,,,Eric Cline,29.0,36.0,,True,,,,,,,,,,,,,,,,,,07:39,1359,7,7,0,3,3,3,,,,,,,
24,Willamette,O,HIL,1,,3.0,1.0,0.0,10.0,36.0,Go Zone,Run,Rush,12.0,Jalen Henlon,middle,,,,,,,,,AJ Conrad,Christian Tovar,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:37,1357,7,7,0,3,3,3,,,,,,,
25,Willamette,O,HIL,1,,3.0,2.0,1.0,10.0,24.0,Take A Shot,Run,Rush,2.0,Jalen Henlon,middle,,,,,,,,,Keaton Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:37,1357,7,7,0,3,3,3,,,,,,,
26,Willamette,O,HIL,1,,3.0,3.0,2.0,8.0,22.0,Take A Shot,Pass,Incomplete,0.0,,,Jeremiah Caviness,short,left,Incomplete,Jonathan McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:37,1357,7,7,0,3,3,3,,,,,,,
27,Willamette,O,HIL,1,,3.0,4.0,3.0,8.0,22.0,Take A Shot,Pass,Complete,22.0,,,Jeremiah Caviness,,,Complete,Nicholas Rinker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,07:37,1357,7,7,0,3,3,3,,,,,,,
28,Willamette,K,HIL,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,Scottie H: Essig,,,,,,,,,,,,,,,,,,,,Eric Cline,,,Good,,,,,,,,,06:18,1278,13,7,6,3,3,3,,,,,,,
29,Willamette,K,HIL,1,,,,1.0,10.0,-35.0,Gold Zone,KO,Return,,,,,,,,,,,,Thomas Howard Jr.,,,,,,,Jakob Garcia,0,36.0,Eric Cline,29.0,36.0,Return,,,,,,,,,,,,,,,,,,,06:18,1278,14,7,7,3,3,3,,,,,,,
30,Willamette,D,WIL,1,,2.0,1.0,0.0,10.0,-36.0,Gold Zone,Run,Rush,2.0,Steven Wright,middle,,,,,,,,,Ben Kirkland,Emmanuel Land IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:10,1270,7,14,7,3,3,3,,,,,,,
31,Willamette,D,WIL,1,,2.0,2.0,2.0,8.0,-38.0,Gold Zone,Run,Rush,13.0,Steven Wright,middle,,,,,,,,,Taivaughn Roach,Lamar Hampton,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:10,1270,7,14,7,3,3,3,,,,,,,
32,Willamette,D,WIL,1,,2.0,3.0,1.0,10.0,49.0,Go Zone,Run,Rush,-2.0,Steven Wright,middle,,,,,,,,,Darnell Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:10,1270,7,14,7,3,3,3,,,,,,,
33,Willamette,D,WIL,1,,2.0,4.0,2.0,12.0,-49.0,Go Zone,Pass,Complete,13.0,,,Aidan Kuykendall,deep,left,Complete,Justin Genovia,,,,Emmanuel Land IV,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:10,1270,7,14,7,3,3,3,Holding,WIL,Dom Torres,,,,10.0
34,Willamette,D,WIL,1,,2.0,5.0,2.0,12.0,48.0,Go Zone,Run,Rush,8.0,Steven Wright,middle,,,,,,,,,Devotie Pompey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:10,1270,7,14,7,3,3,3,,,,,,,
35,Willamette,D,WIL,1,,2.0,6.0,3.0,1.0,40.0,Go Zone,Pass,Incomplete,0.0,,,Aidan Kuykendall,short,left,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,06:10,1270,7,14,7,3,3,3,Offside,HIL,Darnell Jackson,,,,5.0
36,Willamette,D,WIL,1,,2.0,7.0,1.0,10.0,35.0,Take A Shot,Pass,Incomplete,0.0,,,Aidan Kuykendall,short,right,Incomplete,Justin Genovia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:10,1270,7,14,7,3,3,3,,,,,,,
37,Willamette,D,WIL,1,,2.0,8.0,2.0,10.0,35.0,Take A Shot,Run,Rush,1.0,Steven Wright,middle,,,,,,,,,Nicholas Maines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:10,1270,7,14,7,3,3,3,,,,,,,
38,Willamette,D,WIL,1,,2.0,9.0,3.0,9.0,34.0,Take A Shot,Pass,Complete,34.0,,,Aidan Kuykendall,,,Complete,Justin Genovia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,06:10,1270,7,14,7,3,3,3,,,,,,,
39,Willamette,K,WIL,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,Seth H: Beach,,,,,,,,,,,,,,,,,,,,Camdin Dirnberger,,,Good,,,,,,,,,03:16,1096,13,14,1,3,3,3,,,,,,,
40,Willamette,K,WIL,1,,,,1.0,10.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,Nick Beswick-Seidl,,,,,,,Joseph Stover,31,45.0,Nick Beswick-Seidl,51.0,14.0,Return,,,,,,,,,,,,,,,,,,,03:16,1096,14,14,0,3,3,3,,,,,,,
