PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wooster,K,Hir,1,,,,,,,,KO,Touchback,,,,,,,,,,,,,,,,,,,,,,Chris Miller,65.0,,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wooster,D,Woo,1,,1.0,1.0,0.0,10.0,,,Run,Rush,2.0,Andrew Yanssens,middle,,,,,,,,,Gregory Wilson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Wooster,D,Woo,1,,1.0,2.0,2.0,8.0,,,Pass,Incomplete,0.0,,,Mateo Renteria,short,left,Incomplete,Brazos Gadler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Wooster,D,Woo,1,,1.0,3.0,3.0,8.0,,,Pass,Complete,23.0,,,Mateo Renteria,deep,middle,Complete,Cole Hissong,,,,Joseph Hall,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Wooster,D,Woo,1,,1.0,4.0,1.0,10.0,,,Pass,Complete,12.0,,,Mateo Renteria,deep,right,Complete,Brazos Gadler,,,,Malakai Nation,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Wooster,D,Woo,1,,1.0,5.0,1.0,10.0,,,Pass,Incomplete,0.0,,,Mateo Renteria,short,left,Incomplete,Andrew Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Wooster,D,Woo,1,,1.0,6.0,2.0,10.0,,,Run,Rush,1.0,Andrew Yanssens,middle,,,,,,,,,Jalen Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Wooster,D,Woo,1,,1.0,7.0,3.0,9.0,,,Pass,Complete,11.0,,,Mateo Renteria,deep,right,Complete,Andrew Yanssens,,,,Joseph Hall,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Wooster,D,Woo,1,,1.0,8.0,1.0,10.0,,,Pass,Incomplete,0.0,,,Mateo Renteria,short,middle,Incomplete,Brazos Gadler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,15:00,1800,0,0,0,3,3,3,,,,,,,15.0
10,Wooster,D,Woo,1,,1.0,9.0,1.0,10.0,,,Run,Rush,3.0,Andrew Yanssens,left,,,,,,,,,Terry Allison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
