PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Greensboro,K,GC,1,,,,,,,KO Ret,Return,,,,,,,,,D. Wallace,,,,,,,Taylor Gay,18,39.0,B. Mangungu,44.0,21.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Greensboro,O,HC,1,,1.0,1.0,0.0,10.0,-39.0,Run,Rush,5.0,K. McReynolds,,,,,,,M. Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Greensboro,O,HC,1,,1.0,2.0,2.0,5.0,-44.0,Run,Rush,3.0,K. McReynolds,,,,,,,M. Steele,A. Longworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Greensboro,O,HC,1,,1.0,3.0,3.0,2.0,-47.0,Run,Rush,14.0,K. McReynolds,,,,,,,C. Gwatkin,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Greensboro,O,HC,1,,1.0,4.0,1.0,10.0,39.0,Run,Rush,13.0,K. McReynolds,,,,,,,K. Baines,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Greensboro,O,HC,1,,1.0,5.0,1.0,10.0,26.0,Run,Rush,4.0,K. McReynolds,,,,,,,A. Longworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Greensboro,O,HC,1,,1.0,6.0,2.0,6.0,22.0,Pass,Complete,12.0,,Landon Cotney,Complete,Turner Wolfe,,,,D. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Greensboro,O,HC,1,,1.0,7.0,1.0,10.0,10.0,Run,Rush,8.0,K. McReynolds,,,,,,,D. Wallace,M. Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Greensboro,O,HC,1,,1.0,8.0,2.0,2.0,2.0,Run,Rush,2.0,K. McReynolds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Greensboro,K,HC,1,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will Edwards,,,Good,,,,,,,,,11:06,1566,6,0,6,3,3,3,,,,,,,
