PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,North Central,K,NCC,1,,,,,,,KO Ret,Return,,,,,,,,,Y. Rojas,,,,,,,Seth Albin,33,40.0,T Rains,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,North Central,O,IWU,1,,1.0,1.0,0.0,10.0,-40.0,Pass,Complete,6.0,,Sage Shindler,Complete,Hamid Bullie,,,,J. Beesley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,North Central,O,IWU,1,,1.0,2.0,2.0,4.0,-46.0,Run,Rush,8.0,Hamid Bullie,,,,,,,S. Taviani,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,North Central,O,IWU,1,,1.0,3.0,1.0,10.0,46.0,Run,Rush,3.0,Hamid Bullie,,,,,,,T. Rich,J. Beesley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,North Central,O,IWU,1,,1.0,4.0,2.0,7.0,43.0,Run,Rush,3.0,Seth Albin,,,,,,,S. Taviani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,North Central,O,IWU,1,,1.0,5.0,3.0,4.0,40.0,Pass,Incomplete,0.0,,Sage Shindler,Incomplete,Zack Tencza,,,,B. Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
7,North Central,K,IWU,1,,,,4.0,4.0,40.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,J Rukujzo,40.0,0.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,North Central,D,NCC,1,,1.0,1.0,0.0,10.0,-20.0,Run,Rush,2.0,E Greenfield,,,,,,,Nick Deaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:47,1667,0,0,0,3,3,3,,,,,,,
9,North Central,D,NCC,1,,1.0,2.0,2.0,8.0,-22.0,Pass,Complete,5.0,,L Lehnen,Complete,A Kamienski,,,,Tyler Maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:47,1667,0,0,0,3,3,3,,,,,,,
10,North Central,D,NCC,1,,1.0,3.0,3.0,3.0,-27.0,Pass,Incomplete,0.0,,L Lehnen,Incomplete,A Kamienski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:47,1667,0,0,0,3,3,3,,,,,,,
11,North Central,K,NCC,1,,,,4.0,3.0,-27.0,Punt Ret,Return,,,,,,,,,,,True,,,NCC,A Cusumano,Mark Matos,0,41.0,,,,,,T Rains,32.0,41.0,Return,,,,,,,,,,,,,,12:47,1667,0,0,0,3,3,3,,,,,,,
12,North Central,D,NCC,1,,2.0,1.0,0.0,10.0,44.0,Run,Rush,12.0,L Lehnen,,,,,,,M. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:14,1574,0,0,0,3,3,3,,,,,,,
13,North Central,D,NCC,1,,2.0,2.0,1.0,10.0,32.0,Pass,Complete,19.0,,L Lehnen,Complete,A Kamienski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:14,1574,0,0,0,3,3,3,,,,,,,
14,North Central,D,NCC,1,,2.0,3.0,1.0,10.0,13.0,Pass,Complete,13.0,,L Lehnen,Complete,A Kamienski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:14,1574,0,0,0,3,3,3,,,,,,,
15,North Central,K,NCC,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T Rains,,,Good,,,,,,,,,10:31,1531,6,0,-6,3,3,3,,,,,,,
16,North Central,K,NCC,1,,,,1.0,-35.0,-35.0,KO Ret,,,,,,,,,,,,,,,,,,,,T Rains,65.0,0.0,,,,,,,,,,,,,,,,,,,,10:31,1531,7,0,-7,3,3,3,,,,,,,
17,North Central,O,IWU,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Complete,13.0,,Sage Shindler,Complete,C Hamilton,,,,D. Cremeens,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:31,1531,0,7,-7,3,3,3,,,,,,,
18,North Central,O,IWU,1,,2.0,2.0,1.0,10.0,-38.0,Run,Rush,8.0,Hamid Bullie,,,,,,,D. Cremeens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:31,1531,0,7,-7,3,3,3,,,,,,,
19,North Central,O,IWU,1,,2.0,3.0,2.0,2.0,-46.0,Pass,Complete,8.0,,Sage Shindler,Complete,C Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:31,1531,0,7,-7,3,3,3,,,,,,,
20,North Central,O,IWU,1,,2.0,4.0,1.0,10.0,46.0,Run,Rush,4.0,Sage Shindler,,,,,,,B. Greifelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:31,1531,0,7,-7,3,3,3,,,,,,,
21,North Central,O,IWU,1,,2.0,5.0,2.0,6.0,42.0,Pass,Complete,13.0,,Sage Shindler,Complete,Wesley Watson,,,,S. Taviani,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:31,1531,0,7,-7,3,3,3,,,,,,,
22,North Central,O,IWU,1,,2.0,6.0,1.0,10.0,29.0,Pass,Complete,0.0,,Sage Shindler,Complete,Wesley Watson,,,,S. Taviani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:31,1531,0,7,-7,3,3,3,,,,,,,
23,North Central,O,IWU,1,,2.0,7.0,2.0,10.0,29.0,Pass,Incomplete,0.0,,Sage Shindler,Incomplete,C Hamilton,,,,J. Beesley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:31,1531,0,7,-7,3,3,3,,,,,,,
24,North Central,O,IWU,1,,2.0,8.0,3.0,10.0,29.0,Pass,Sack,-9.0,,Sage Shindler,Sack,,,,,D. Gilroy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:31,1531,0,7,-7,3,3,3,,,,,,,
25,North Central,K,IWU,1,,,,4.0,19.0,38.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,J Rukujzo,35.0,3.0,,,,,,,,,,,,,,,10:31,1531,0,7,-7,3,3,3,,,,,,,
