PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Lakeland,K,IC,1,,,,,,,KO,Return,,,,,,,,,Charlie Patterson,,,,,,,Mason Prunick,13,25.0,Konner Schuckman,53.0,12.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Lakeland,D,LAK,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,12.0,,Charl'Tez Nunnery,Complete,Larry Rivers,,,,Trent Durell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
3,Lakeland,D,LAK,1,,1.0,2.0,1.0,10.0,-37.0,Pass,Incomplete,0.0,,Charl'Tez Nunnery,Incomplete,Caleb Treadwell,Mitch Lillpop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
4,Lakeland,D,LAK,1,,1.0,3.0,2.0,10.0,-37.0,Run,Rush,6.0,Charl'Tez Nunnery,,,,,,,Matthew Guffey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
5,Lakeland,D,LAK,1,,1.0,4.0,3.0,4.0,-43.0,Run,Rush,25.0,Larry Rivers,,,,,,,Brayton Moss,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
6,Lakeland,,LAK,1,,,,1.0,10.0,32.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,False Start,LAK,Zachary Cotton,,,,5.0
7,Lakeland,D,LAK,1,,1.0,5.0,1.0,15.0,37.0,Pass,Incomplete,0.0,,Charl'Tez Nunnery,Incomplete,Kolby Cohen,Eugene Williba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
8,Lakeland,,LAK,1,,,,2.0,15.0,37.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
9,Lakeland,D,LAK,1,,1.0,6.0,2.0,15.0,37.0,Pass,Incomplete,0.0,,Charl'Tez Nunnery,Incomplete,Mason Prunick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,1712,0,0,0,3,3,3,,,,,,,
10,Lakeland,D,LAK,1,,1.0,7.0,3.0,15.0,37.0,Pass,Incomplete,0.0,,Charl'Tez Nunnery,Incomplete,Larry Rivers,,,Jaylin Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:32,1712,0,0,0,3,3,3,,,,,,,
11,Lakeland,K,LAK,1,,,,4.0,15.0,37.0,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Andrew Colley,22.0,15.0,Out of bounds,,,,,,,,,,,,,,13:32,1712,0,0,0,3,3,3,,,,,,,
12,Lakeland,O,IC,1,,1.0,1.0,0.0,10.0,-15.0,Run,Rush,4.0,Trevor Smalls,,,,,,,Dajarrie Tomlinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:15,1695,0,0,0,3,3,3,,,,,,,
13,Lakeland,O,IC,1,,1.0,2.0,2.0,6.0,-19.0,Pass,Complete,4.0,,Destin Chance,Complete,Grant Stegman,,,,Rayshion Brumfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:15,1695,0,0,0,3,3,3,,,,,,,
14,Lakeland,O,IC,1,,1.0,3.0,3.0,2.0,-23.0,Run,Rush,20.0,Destin Chance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:15,1695,0,0,0,3,3,3,,,,,,,
