PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wheaton (IL),K,WHE,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Max Smith,Clay Campbell,,,,,,Myles Kee,15,23.0,Caleb Mary,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wheaton (IL),O,IWU,1,,1.0,1.0,0.0,10.0,-23.0,Coming Out,Pass,Incomplete,0.0,,,Ryan Saxe,short,right,Incomplete,Melchizedek Woodson,Virgil Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Wheaton (IL),O,IWU,1,,1.0,2.0,2.0,10.0,-23.0,Coming Out,Pass,Complete,2.0,,,Ryan Saxe,short,middle,Complete,Melchizedek Woodson,,,,Stephen Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Wheaton (IL),O,IWU,1,,1.0,3.0,3.0,8.0,-25.0,Coming Out,Pass,Incomplete,0.0,,,Ryan Saxe,short,right,Incomplete,Kevin Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Wheaton (IL),K,IWU,1,,,,4.0,8.0,-25.0,Coming Out,Punt,Return,,,,,,,,,,,,Paul Zunkel,,,,,,,McNeill Stout,12,48.0,,,,,,Jonathan Rukujzo,39.0,36.0,Return,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Wheaton (IL),D,WHE,1,,1.0,1.0,0.0,10.0,-48.0,Go Zone,Pass,Complete,1.0,,,Will Bowers,short,right,Complete,Tyler Gautier,,,,Melchizedek Woodson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:51,1731,0,0,0,3,3,3,,,,,,,
7,Wheaton (IL),D,WHE,1,,1.0,2.0,2.0,9.0,-49.0,Go Zone,Run,Rush,51.0,Will Bowers,middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,13:51,1731,0,0,0,3,3,3,,,,,,,
8,Wheaton (IL),K,WHE,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,Evan H: Spisz,,,,,,,,,,,,,,,,,,,,Caleb Mary,,,Good,,,,,,,,,13:13,1693,6,0,-6,3,3,3,,,,,,,
9,Wheaton (IL),K,WHE,1,,,,1.0,10.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,Jalen Shaffer,,,,,,,Seth Albin,11,17.0,Caleb Mary,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,13:13,1693,7,0,-7,3,3,3,,,,,,,
10,Wheaton (IL),O,IWU,1,,2.0,1.0,0.0,10.0,-17.0,Coming Out,Run,Rush,-1.0,Ryan Saxe,right,,,,,,,,,Jalen Shaffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:07,1687,0,7,-7,3,3,3,,,,,,,
11,Wheaton (IL),O,IWU,1,,2.0,2.0,2.0,11.0,-16.0,Coming Out,Pass,Sack,-10.0,,,Ryan Saxe,,,Sack,,,,,Virgil Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:07,1687,0,7,-7,3,3,3,,,,,,,
12,Wheaton (IL),O,IWU,1,,2.0,3.0,3.0,21.0,-6.0,Backed Up,Pass,Complete,1.0,,,Ryan Saxe,short,left,Complete,Seth Albin,,,,Clayton Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:07,1687,0,7,-7,3,3,3,,,,,,,
13,Wheaton (IL),K,IWU,1,,,,4.0,22.0,-5.0,Backed Up,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Rukujzo,34.0,-39.0,Fair Catch,,,,,,,,,,,,,,13:07,1687,0,7,-7,3,3,3,,,,,,,
14,Wheaton (IL),D,WHE,1,,2.0,1.0,0.0,10.0,39.0,Go Zone,Run,Rush,7.0,Giovanni Weeks,middle,,,,,,,,,Frank Roti,Joshua Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,7,0,-7,3,3,3,,,,,,,
15,Wheaton (IL),D,WHE,1,,2.0,2.0,2.0,3.0,32.0,Take A Shot,Pass,Complete,9.0,,,Will Bowers,short,right,Complete,Matthew Tucker,,,,Jimmy Capecci,Sam Schott,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:05,1565,7,0,-7,3,3,3,,,,,,,
16,Wheaton (IL),D,WHE,1,,2.0,3.0,1.0,10.0,23.0,Take A Shot,Run,Rush,8.0,Giovanni Weeks,middle,,,,,,,,,Anthony Wachal Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,7,0,-7,3,3,3,,,,,,,
17,Wheaton (IL),,WHE,1,,,,2.0,2.0,15.0,Red Zone High,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,7,0,-7,3,3,3,Offside,IWU,Zach McNees,,,,5.0
18,Wheaton (IL),D,WHE,1,,2.0,4.0,1.0,10.0,10.0,Red Zone,Pass,Incomplete,0.0,,,Will Bowers,short,left,Incomplete,Matthew Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,7,0,-7,3,3,3,,,,,,,
19,Wheaton (IL),D,WHE,1,,2.0,5.0,2.0,10.0,10.0,Red Zone,Run,Rush,7.0,Giovanni Weeks,middle,,,,,,,,,Artist Benjamin,Joshua Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:05,1565,7,0,-7,3,3,3,,,,,,,
20,Wheaton (IL),D,WHE,1,,2.0,6.0,3.0,3.0,3.0,Red Zone Low,Pass,Complete,3.0,,,Will Bowers,short,right,Complete,Ben Juska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:05,1565,7,0,-7,3,3,3,,,,,,,
21,Wheaton (IL),K,WHE,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,Evan H: Spisz,,,,,,,,,,,,,,,,,,,,Caleb Mary,,,Good,,,,,,,,,08:45,1425,13,0,-13,3,3,3,,,,,,,
22,Wheaton (IL),K,WHE,1,,,,1.0,10.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,Jalen Shaffer,,,,,,,Myles Kee,13,23.0,Caleb Mary,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,08:45,1425,14,0,-14,3,3,3,,,,,,,
23,Wheaton (IL),O,IWU,1,,3.0,1.0,0.0,10.0,-23.0,Coming Out,Pass,Sack,-4.0,,,Ryan Saxe,,,Sack,,,,,Jaden Ferlita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:40,1420,0,14,-14,3,3,3,,,,,,,
24,Wheaton (IL),O,IWU,1,,3.0,2.0,2.0,14.0,-19.0,Coming Out,Pass,Complete,31.0,,,Ryan Saxe,deep,middle,Complete,Myles Kee,,,,Max Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:40,1420,0,14,-14,3,3,3,,,,,,,
25,Wheaton (IL),O,IWU,1,,3.0,3.0,1.0,10.0,50.0,Go Zone,Run,Rush,-1.0,Seth Albin,middle,,,,,,,,,Jaden Ferlita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:40,1420,0,14,-14,3,3,3,,,,,,,
26,Wheaton (IL),O,IWU,1,,3.0,4.0,2.0,11.0,-49.0,Go Zone,Pass,Incomplete,0.0,,,Ryan Saxe,short,right,Incomplete,Myles Kee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:40,1420,0,14,-14,3,3,3,,,,,,,
27,Wheaton (IL),O,IWU,1,,3.0,5.0,3.0,11.0,-49.0,Go Zone,Pass,Incomplete,0.0,,,Ryan Saxe,short,middle,Incomplete,Kevin Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:40,1420,0,14,-14,3,3,3,,,,,,,
28,Wheaton (IL),K,IWU,1,,,,4.0,11.0,-49.0,Go Zone,Punt,Return,,,,,,,,,,,,Conor Murphy,,,,,,,McNeill Stout,3,25.0,,,,,,Jonathan Rukujzo,29.0,22.0,Return,,,,,,,,,,,,,,08:40,1420,0,14,-14,3,3,3,,,,,,,9.0
