PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rochester,K,ROC,1,,,,,,,KO Rec,Return,,,,,,,,,Joe Butler,Shane Bombace,,,,,,J. Leonard-Osbourne,22,29.0,Shane Bombace,58.0,7.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Rochester,O,ITHACA,1,,1.0,1.0,0.0,10.0,-29.0,Pass,Complete,31.0,,A.J. Wingfield,Complete,Jacob Cooney,,,,Damon Yargeau,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Rochester,O,ITHACA,1,,1.0,2.0,1.0,10.0,40.0,Pass,Complete,5.0,,A.J. Wingfield,Complete,Dan Mason,,,,Braydon Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Rochester,O,ITHACA,1,,1.0,3.0,2.0,5.0,35.0,Run,Rush,0.0,Jalen Hines,,,,,,,Braydon Bush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Rochester,,ITHACA,1,,,,3.0,5.0,35.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ithaca College,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Rochester,O,ITHACA,1,,1.0,4.0,3.0,5.0,35.0,Run,Rush,7.0,Jalen Hines,,,,,,,Caden Cole,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:31,1711,0,0,0,2,2,3,,,,,,,
7,Rochester,O,ITHACA,1,,1.0,5.0,1.0,10.0,28.0,Pass,Complete,4.0,,A.J. Wingfield,Complete,Michael Anderson,,,,N. Petruzziello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:31,1711,0,0,0,2,2,3,,,,,,,
8,Rochester,O,ITHACA,1,,1.0,6.0,2.0,6.0,24.0,Run,Rush,7.0,A.J. Wingfield,,,,,,,Braydon Bush,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:31,1711,0,0,0,2,2,3,,,,,,,
9,Rochester,O,ITHACA,1,,1.0,7.0,1.0,10.0,17.0,Run,Rush,5.0,Jalen Hines,,,,,,,Braydon Bush,B. Beckwith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:31,1711,0,0,0,2,2,3,,,,,,,
10,Rochester,O,ITHACA,1,,1.0,8.0,2.0,5.0,12.0,Run,Rush,6.0,Jalen Hines,,,,,,,Adam Huewe,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:31,1711,0,0,0,2,2,3,,,,,,,
