PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Bridgewater State,K,BSU,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,,,,,,,,A. D'Addetta,96,0.0,Shane Drake,66.0,4.0,Return,,,,,,,,,,,,,,True,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Bridgewater State,K,ITHACA,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N. Bahamonde,,,Good,,,,,,,,,14:45,1785,6,0,6,3,3,3,,,,,,,
3,Bridgewater State,K,ITHACA,1,,,,1.0,-35.0,-35.0,Gold Zone,KO,Return,,,,,,,,,,,,S. Tourangeau,R. Salisbury,,,,,,Gilzene-Tucker ,15,25.0,N. Bahamonde,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,14:45,1785,7,0,7,3,3,3,,,,,,,
4,Bridgewater State,D,BSU,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Pass,Complete,4.0,,,James Cahoon,,,Complete,Kyle Torres,,,,D. Slywka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40,1780,0,7,7,3,3,3,,,,,,,
5,Bridgewater State,D,BSU,1,,1.0,2.0,2.0,6.0,-29.0,Gold Zone,Run,Rush,6.0,M. Carpenter,,,,,,,,,,M. Roumes,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:40,1780,0,7,7,3,3,3,,,,,,,
6,Bridgewater State,D,BSU,1,,1.0,3.0,1.0,10.0,-35.0,Gold Zone,Run,Rush,8.0,Adam Couch,,,,,,,,,,A. Robinson,M. DeSimpliciis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40,1780,0,7,7,3,3,3,,,,,,,
7,Bridgewater State,D,BSU,1,,1.0,4.0,2.0,2.0,-43.0,Gold Zone,Run,Rush,3.0,James Cahoon,,,,,,,,,,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:40,1780,0,7,7,3,3,3,,,,,,,
8,Bridgewater State,D,BSU,1,,1.0,5.0,1.0,10.0,-46.0,Go Zone,Run,Rush,4.0,Adam Couch,,,,,,,,,,M. Blanchard,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40,1780,0,7,7,3,3,3,,,,,,,
9,Bridgewater State,D,BSU,1,,1.0,6.0,2.0,6.0,-50.0,Go Zone,Run,Rush,0.0,Adam Couch,,,,,,,,,,D. Brunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40,1780,0,7,7,3,3,3,,,,,,,
10,Bridgewater State,,BSU,1,,,,3.0,6.0,-50.0,Go Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40,1780,0,7,7,3,3,3,false start,BSU,,,,,5.0
11,Bridgewater State,D,BSU,1,,1.0,7.0,3.0,11.0,-45.0,Go Zone,Run,Rush,0.0,Adam Couch,,,,,,,,,,J. Sosa,M. Haynes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:40,1780,0,7,7,3,3,3,,,,,,,
12,Bridgewater State,K,BSU,1,,,,4.0,11.0,-45.0,Go Zone,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shane Drake,49.0,6.0,,,,,,,,,,,,,,,14:40,1780,0,7,7,3,3,3,,,,,,,
13,Bridgewater State,O,ITHACA,1,,1.0,1.0,0.0,10.0,-6.0,Backed Up,Run,Rush,7.0,J. Williams,,,,,,,,,,Brendan Albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:06,1566,7,0,7,3,3,3,,,,,,,
14,Bridgewater State,O,ITHACA,1,,1.0,2.0,2.0,3.0,-13.0,Coming Out,Run,Rush,6.0,J. Williams,,,,,,,,,,Brendan Albert,Dan Cataldo,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:06,1566,7,0,7,3,3,3,,,,,,,
15,Bridgewater State,O,ITHACA,1,,1.0,3.0,1.0,10.0,-19.0,Coming Out,Run,Rush,3.0,J. Williams,,,,,,,,,,Steven Silvia,Ben McMahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:06,1566,7,0,7,3,3,3,,,,,,,
16,Bridgewater State,O,ITHACA,1,,1.0,4.0,2.0,7.0,-22.0,Coming Out,Pass,Complete,6.0,,,A. Wingfield,,,Complete,M. Anderson,,,,Ben McMahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:06,1566,7,0,7,3,3,3,,,,,,,
17,Bridgewater State,O,ITHACA,1,,1.0,5.0,3.0,1.0,-28.0,Gold Zone,Run,Rush,5.0,J. Williams,,,,,,,,,,Zachary Souza,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:06,1566,7,0,7,3,3,3,,,,,,,
18,Bridgewater State,O,ITHACA,1,,1.0,6.0,1.0,10.0,-33.0,Gold Zone,Pass,Complete,8.0,,,A. Wingfield,,,Complete,M. Anderson,,,,Brendan Albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:06,1566,7,0,7,3,3,3,,,,,,,
19,Bridgewater State,O,ITHACA,1,,1.0,7.0,2.0,2.0,-41.0,Gold Zone,Pass,Complete,5.0,,,A. Wingfield,,,Complete,M. Anderson,,,,Steven Silvia,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:06,1566,7,0,7,3,3,3,,,,,,,
20,Bridgewater State,O,ITHACA,1,,1.0,8.0,1.0,10.0,-46.0,Go Zone,Pass,Complete,8.0,,,A. Wingfield,,,Complete,J. Deumaga,,,,Steven Silvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:06,1566,7,0,7,3,3,3,,,,,,,
