PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Delaware Valley,K,KEAN,1,,,,,,,KO,Return,,,,,,,,,O. Valeriano,,,,,,,Team ,18,33.0,G. Chrissafis,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Delaware Valley,D,DELVAL,1,,1.0,1.0,0.0,10.0,-33.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Delaware Valley,D,DELVAL,1,,1.0,2.0,2.0,10.0,-33.0,Pass,Complete,7.0,,,Complete,,,,,R. Gorny,A. Cottrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Delaware Valley,D,DELVAL,1,,1.0,3.0,3.0,3.0,-40.0,Run,Rush,9.0,,,,,,,,J. Ndiaye,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Delaware Valley,D,DELVAL,1,,1.0,4.0,1.0,10.0,-49.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Delaware Valley,D,DELVAL,1,,1.0,5.0,2.0,10.0,-49.0,Pass,Incomplete,0.0,,,Incomplete,,,,,T. Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Delaware Valley,D,DELVAL,1,,1.0,6.0,3.0,10.0,-49.0,Pass,Interception,0.0,,,Interception,,,A. Bassani,,,,,,,,,A. Bassani,17,41.0,,,,,,,,,,,,,,,,,,,,,,Interception,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Delaware Valley,O,KEAN,1,,1.0,1.0,0.0,10.0,42.0,Run,Rush,-1.0,D. Dore,,,,,,,A. Nobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
9,Delaware Valley,O,KEAN,1,,1.0,2.0,2.0,11.0,43.0,Run,Rush,3.0,D. Jamison,,,,,,,Dontae Mason,Trent Fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:17,1697,0,0,0,3,3,3,,,,,,,
10,Delaware Valley,O,KEAN,1,,1.0,3.0,3.0,8.0,40.0,Pass,Incomplete,0.0,,A. Scott,Incomplete,M. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:17,1697,0,0,0,3,3,3,,,,,,,
