PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Bluffton,K,BLF,1,,,,,,,,KO Rec,Return,,,,,,,,,Zach Rhynes,,,,,,,Zach Kim,23,28.0,Jake Baumgartner,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Bluffton,O,KEN,1,,1.0,1.0,0.0,10.0,-28.0,Gold Zone,Run,Rush,3.0,Drake Lewis,,,,,,,Tyler Davis,Dishon McGee Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,Bluffton,O,KEN,1,,1.0,2.0,2.0,7.0,-31.0,Gold Zone,Run,Rush,9.0,Drake Lewis,,,,,,,Keith Holmes Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Bluffton,,KEN,1,,,,1.0,10.0,-40.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,False Start,KEN,Max Bryer,,,,5.0
5,Bluffton,O,KEN,1,,1.0,3.0,1.0,15.0,-35.0,Gold Zone,Run,Rush,-2.0,Drake Lewis,,,,,,,Wesley Melanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Bluffton,O,KEN,1,,1.0,4.0,2.0,17.0,-33.0,Gold Zone,Pass,Complete,11.0,,Ryan O'Leary,Complete,,,,,Davon Hedwood,Louden Saulbeamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
7,Bluffton,O,KEN,1,,1.0,5.0,3.0,6.0,-44.0,Gold Zone,Pass,Incomplete,0.0,,Ryan O'Leary,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:52,1792,0,0,0,3,3,3,,,,,,,
8,Bluffton,K,KEN,1,,,,4.0,6.0,-44.0,Gold Zone,Punt,Return,,,,,,,,,Mychael Leno,,,,,,,Andre Price Jr.,,12.0,,,,,,Rocco Danese,43.0,13.0,Return,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
9,Bluffton,D,BLF,1,,1.0,1.0,0.0,10.0,-12.0,Coming Out,Run,Rush,3.0,Maalik Tucker,,,,,,,Isaiah Mann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:32,1652,0,0,0,3,3,3,,,,,,,
10,Bluffton,D,BLF,1,,1.0,2.0,2.0,7.0,-15.0,Coming Out,Pass,Complete,6.0,,Blake Rine,Complete,,,,,Michael Bongiorno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:32,1652,0,0,0,3,3,3,,,,,,,
11,Bluffton,D,BLF,1,,1.0,3.0,3.0,1.0,-21.0,Coming Out,Pass,Complete,3.0,,Blake Rine,Complete,,,,,Jaylen Cardoso,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:32,1652,0,0,0,3,3,3,,,,,,,
12,Bluffton,D,BLF,1,,1.0,4.0,1.0,10.0,-24.0,Coming Out,Run,Rush,3.0,Maalik Tucker,,,,,,,Michael Bongiorno,Darryl Shands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:32,1652,0,0,0,3,3,3,,,,,,,
13,Bluffton,D,BLF,1,,1.0,5.0,2.0,7.0,-27.0,Gold Zone,Pass,Complete,12.0,,Blake Rine,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:32,1652,0,0,0,3,3,3,,,,,,,
14,Bluffton,D,BLF,1,,1.0,6.0,1.0,10.0,-39.0,Gold Zone,Run,Rush,8.0,Maalik Tucker,,,,,,,Daniel Guzevich,Darryl Shands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:32,1652,0,0,0,3,3,3,,,,,,,
15,Bluffton,D,BLF,1,,1.0,7.0,2.0,2.0,-47.0,Go Zone,Run,Rush,15.0,Kainan Stoner,,,,,,,Mychael Leno,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:32,1652,0,0,0,3,3,3,,,,,,,
16,Bluffton,D,BLF,1,,1.0,8.0,1.0,10.0,38.0,Go Zone,Pass,Incomplete,0.0,,Blake Rine,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:32,1652,0,0,0,3,3,3,,,,,,,
17,Bluffton,D,BLF,1,,1.0,9.0,2.0,10.0,38.0,Go Zone,Run,Rush,2.0,Kainan Stoner,,,,,,,Cole Garrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:32,1652,0,0,0,3,3,3,,,,,,,
18,Bluffton,D,BLF,1,,1.0,10.0,3.0,8.0,36.0,Go Zone,Pass,Complete,2.0,,Blake Rine,Complete,,,,,Jaylen Cardoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:32,1652,0,0,0,3,3,3,,,,,,,
19,Bluffton,K,BLF,1,,,,4.0,10.0,38.0,Go Zone,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Jake Baumgartner,26.0,12.0,,,,,,,,,,,,,,,12:32,1652,0,0,0,3,3,3,,,,,,,
20,Bluffton,O,KEN,1,,2.0,1.0,0.0,10.0,-12.0,Coming Out,Run,Rush,9.0,Jack Provenza,,,,,,,Andrew Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:47,1427,0,0,0,3,3,3,,,,,,,
21,Bluffton,O,KEN,1,,2.0,2.0,2.0,1.0,-21.0,Coming Out,Run,Rush,5.0,Jack Provenza,,,,,,,Dishon McGee Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:47,1427,0,0,0,3,3,3,,,,,,,
22,Bluffton,O,KEN,1,,2.0,3.0,1.0,10.0,-26.0,Gold Zone,Pass,Incomplete,0.0,,Ryan O'Leary,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:47,1427,0,0,0,3,3,3,,,,,,,
23,Bluffton,O,KEN,1,,2.0,4.0,2.0,10.0,-26.0,Gold Zone,Pass,Complete,11.0,,Ryan O'Leary,Complete,,,,,Dominic Appiagyei,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:47,1427,0,0,0,3,3,3,,,,,,,
24,Bluffton,O,KEN,1,,2.0,5.0,1.0,10.0,-37.0,Gold Zone,Pass,Complete,28.0,,Ryan O'Leary,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:47,1427,0,0,0,3,3,3,,,,,,,
25,Bluffton,O,KEN,1,,2.0,6.0,1.0,10.0,35.0,Take A Shot,Pass,Incomplete,0.0,,Ryan O'Leary,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:47,1427,0,0,0,3,3,3,,,,,,,
26,Bluffton,O,KEN,1,,2.0,7.0,2.0,10.0,35.0,Take A Shot,Run,Rush,35.0,Ryan O'Leary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,08:47,1427,0,0,0,3,3,3,,,,,,,
27,Bluffton,K,KEN,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,Andrew H: Catron,,,,,,,,,,,,,,,,,,,,Rocco Danese,,,Good,,,,,,,,,06:56,1316,6,0,6,3,3,3,,,,,,,
28,Bluffton,K,KEN,1,,,,1.0,10.0,-35.0,Gold Zone,KO,Return,,,,,,,,,Sam Ronchetti,Michael Bongiorno,,,,,,Andre Price Jr.,25,27.0,Rocco Danese,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,06:56,1316,7,0,7,3,3,3,,,,,,,
29,Bluffton,D,BLF,1,,2.0,1.0,0.0,10.0,-27.0,Gold Zone,Run,Rush,23.0,Maalik Tucker,,,,,,,Mychael Leno,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:47,1307,0,7,7,3,3,3,Offside,KEN,,,,,
30,Bluffton,D,BLF,1,,2.0,2.0,1.0,10.0,-50.0,Go Zone,Run,Rush,50.0,Maalik Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,06:47,1307,0,7,7,3,3,3,,,,,,,
31,Bluffton,K,BLF,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,Jeremy H: Locklear,,,,,,,,,,,,,,,,,,,,Jake Baumgartner,,,Good,,,,,,,,,06:19,1279,6,7,1,3,3,3,,,,,,,
32,Bluffton,K,BLF,1,,,,1.0,10.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,Zach Rhynes,,,,,,,Zach Kim,19,30.0,Jake Baumgartner,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,06:19,1279,7,7,0,3,3,3,,,,,,,
33,Bluffton,O,KEN,1,,3.0,1.0,0.0,10.0,-30.0,Gold Zone,Run,Rush,4.0,Ryan O'Leary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
34,Bluffton,O,KEN,1,,3.0,2.0,2.0,6.0,-34.0,Gold Zone,Pass,Complete,13.0,,Ryan O'Leary,Complete,,,,,Louden Saulbeamer,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
35,Bluffton,O,KEN,1,,3.0,3.0,1.0,10.0,-47.0,Go Zone,Pass,Sack,-11.0,,Ryan O'Leary,Sack,,,,,Dishon McGee Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
36,Bluffton,O,KEN,1,,3.0,4.0,2.0,21.0,-36.0,Gold Zone,Pass,Complete,19.0,,Ryan O'Leary,Complete,,,,,Tyler Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
37,Bluffton,O,KEN,1,,3.0,5.0,3.0,2.0,45.0,Go Zone,Run,Rush,4.0,Drake Lewis,,,,,,,Davon Hedwood,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
38,Bluffton,O,KEN,1,,3.0,6.0,1.0,10.0,41.0,Go Zone,Pass,Incomplete,0.0,,Ryan O'Leary,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,06:13,1273,7,7,0,3,3,3,Pass Interference,BLF,Andrew Matthews,,,,15.0
39,Bluffton,O,KEN,1,,3.0,7.0,1.0,10.0,26.0,Take A Shot,Run,Rush,4.0,Drake Lewis,,,,,,,Louden Saulbeamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
40,Bluffton,O,KEN,1,,3.0,8.0,2.0,6.0,22.0,Take A Shot,Run,Rush,4.0,Drake Lewis,,,,,,,Louden Saulbeamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
41,Bluffton,O,KEN,1,,3.0,9.0,3.0,2.0,18.0,Red Zone High,Run,Rush,7.0,Drake Lewis,,,,,,,Tyler Davis,Davon Hedwood,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
42,Bluffton,O,KEN,1,,3.0,10.0,1.0,10.0,11.0,Red Zone,Run,Rush,3.0,Jack Provenza,,,,,,,Collin Hoehn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
43,Bluffton,O,KEN,1,,3.0,11.0,2.0,7.0,8.0,Red Zone,Run,Rush,1.0,Jack Provenza,,,,,,,Dishon McGee Jr.,Collin Hoehn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
44,Bluffton,O,KEN,1,,3.0,12.0,3.0,6.0,7.0,Red Zone,Pass,Incomplete,0.0,,Ryan O'Leary,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
45,Bluffton,O,KEN,1,,3.0,13.0,4.0,6.0,7.0,Red Zone,Pass,Complete,7.0,,Ryan O'Leary,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,06:13,1273,7,7,0,3,3,3,,,,,,,
