PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,William Paterson,K,KEYSTONE,1,,,,,,,KO,Return,,,,,,,,,Da'Juan Vales,Maxwe Johnson,,,,,,Sir Malik,19,34.0,Jos Hernandez,50.0,15.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,William Paterson,D,WP,1,,1.0,1.0,0.0,10.0,-34.0,Run,Rush,10.0,Terriqu Riddick,,,,,,,Sean Pettway,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,William Paterson,D,WP,1,,1.0,2.0,1.0,10.0,-44.0,Pass,Interception,0.0,,Spencer Lee,Interception,,,Frankie Vega,,Matt Clarke,,,,,,,Frankie Vega,15,-49.0,,,,,,,,,,,,,,,,,,,,,,Interception,14:52,1792,0,0,0,3,3,3,,,,,,,
4,William Paterson,O,KEYSTONE,1,,1.0,1.0,0.0,10.0,34.0,Pass,Complete,22.0,,Tom Roach,Complete,Da'Juan Vales,,,,Richard Massey,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:12,1752,0,0,0,3,3,3,,,,,,,
5,William Paterson,O,KEYSTONE,1,,1.0,2.0,1.0,10.0,12.0,Run,Rush,3.0,Kevin Lewis,,,,,,,Sean Maldonato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:12,1752,0,0,0,3,3,3,,,,,,,
6,William Paterson,O,KEYSTONE,1,,1.0,3.0,2.0,7.0,9.0,Run,Rush,4.0,Kevin Lewis,,,,,,,Sean Maldonato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:12,1752,0,0,0,3,3,3,,,,,,,
7,William Paterson,O,KEYSTONE,1,,1.0,4.0,3.0,3.0,5.0,Run,Rush,4.0,Kevin Lewis,,,,,,,Sean Maldonato,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:12,1752,0,0,0,3,3,3,,,,,,,
8,William Paterson,O,KEYSTONE,1,,1.0,5.0,1.0,1.0,1.0,Run,Rush,1.0,Kevin Lewis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:12,1752,0,0,0,3,3,3,,,,,,,
9,William Paterson,K,KEYSTONE,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jos Hernandez,,,Good,,,,,,,,,12:42,1662,6,0,6,3,3,3,,,,,,,
10,William Paterson,K,KEYSTONE,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Muja Muhammad,,,,,,,Marcel Mason,12,32.0,Jos Hernandez,45.0,20.0,Return,,,,,,,,,,,,,,,,,,,12:42,1662,7,0,7,3,3,3,,,,,,,
