PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,MIFB,K,KEYSTONE,1,,,,,,,,KO,Return,,,,,,,,,,,,Bryan Williams,CJ Riccobono,,,,,,Matt Maransky,19,35.0,Josu Hernandez,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,MIFB,D,MIFB,1,,1.0,1.0,0.0,10.0,-35.0,Gold Zone,Run,Rush,3.0,Michael Gawlik,,,,,,,,,,Sean Tocci, Spencer-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,MIFB,D,MIFB,1,,1.0,2.0,2.0,7.0,-38.0,Gold Zone,Run,Rush,3.0,Michael Gawlik,,,,,,,,,,Frankie Vega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,MIFB,D,MIFB,1,,1.0,3.0,3.0,4.0,-41.0,Gold Zone,Pass,Complete,4.0,,,Dallas Engel,,,Complete,Anthon DePalma,,,,Frankie Vega,Sean Tocci,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,MIFB,D,MIFB,1,,1.0,4.0,4.0,1.0,-44.0,Gold Zone,Run,Rush,30.0,Michael Gawlik,,,,,,,,,,Joe Manfredo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,MIFB,D,MIFB,1,,1.0,5.0,1.0,10.0,26.0,Take A Shot,Run,Rush,7.0,Carlos Artson,,,,,,,,,,Carlos Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,MIFB,D,MIFB,1,,1.0,6.0,2.0,3.0,19.0,Red Zone High,Pass,Incomplete,0.0,,,Dallas Engel,,,Incomplete,Owen McGuffey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,MIFB,D,MIFB,1,,1.0,7.0,3.0,3.0,19.0,Red Zone High,Run,Rush,3.0,Michael Gawlik,,,,,,,,,,Sean Tocci,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,MIFB,D,MIFB,1,,1.0,8.0,1.0,10.0,16.0,Red Zone High,Run,Rush,7.0,Matt Maransky,,,,,,,,,,Sean Pettway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,MIFB,D,MIFB,1,,1.0,9.0,2.0,3.0,9.0,Red Zone,Run,Rush,0.0,Michael Gawlik,,,,,,,,,,Sean Tocci,Tyshau McClain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
