PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Delaware Valley,K,KIN,1,,,,,,,,KO,Return,,,,,,,,,,,,Colin Hazelton,Jake Ruppert,,,,,,Nahsir Morgan,64,,Kyle Prescavage,64.0,,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Delaware Valley,D,DVU,1,,1.0,1.0,0.0,10.0,-5.0,Backed Up,Run,Rush,2.0,Jay White,middle,,,,,,,,,Mike Karycinski,Dylan White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Delaware Valley,D,DVU,1,,1.0,2.0,2.0,8.0,-7.0,Backed Up,Run,Rush,4.0,Jay White,right,,,,,,,,,Dallas Solomon,Dylan White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Delaware Valley,D,DVU,1,,1.0,3.0,3.0,4.0,-11.0,Coming Out,Run,Rush,1.0,Luan Avdijaj,right,,,,,,,,,Joseph Carchio,Colin Hazelton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Delaware Valley,K,DVU,1,,,,4.0,3.0,-12.0,Coming Out,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,Pat Moran,27.0,,Out of bounds,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Delaware Valley,O,KIN,1,,1.0,1.0,0.0,10.0,39.0,Go Zone,Pass,Complete,7.0,,,Tyler Moore,short,left,Complete,Tyler Carey,,,,Jaelyn Gaither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
7,Delaware Valley,O,KIN,1,,1.0,2.0,2.0,3.0,32.0,Take A Shot,Run,Rush,-4.0,Shemar Ellis,left,,,,,,,,,Anthony Puntolillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
8,Delaware Valley,O,KIN,1,,1.0,3.0,3.0,7.0,36.0,Go Zone,Pass,Sack,-3.0,,,Tyler Moore,,,Sack,,,,,Yusuf Aladinov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:50,1670,0,0,0,3,3,3,,,,,,,
9,Delaware Valley,K,KIN,1,,,,4.0,10.0,39.0,Go Zone,Punt,Return,,,,,,,,,,,,Amir Gibson,,,,,,,Tahmir Barksdale,30,,,,,,,Anthony Prato,30.0,,Return,,,,,,,,,,,,,,12:50,1670,0,0,0,3,3,3,,,,,,,
10,Delaware Valley,D,DVU,1,,2.0,1.0,0.0,10.0,-10.0,Backed Up,Run,Rush,3.0,Louie IV,,,,,,,,,,Jake Ruppert,Dylan White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:47,1547,0,0,0,3,3,3,,,,,,,
11,Delaware Valley,D,DVU,1,,2.0,2.0,2.0,7.0,-13.0,Coming Out,Pass,Complete,4.0,,,Louie IV,short,left,Complete,Tahmir Barksdale,,,,Amir Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:47,1547,0,0,0,3,3,3,,,,,,,
12,Delaware Valley,D,DVU,1,,2.0,3.0,3.0,3.0,-17.0,Coming Out,Run,Rush,0.0,Tahmir Barksdale,right,,,,,,,,,Jake Ruppert,James Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:47,1547,0,0,0,3,3,3,,,,,,,
13,Delaware Valley,K,DVU,1,,,,4.0,3.0,-17.0,Coming Out,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Pat Moran,28.0,,Fair Catch,,,,,,,,,,,,,,10:47,1547,0,0,0,3,3,3,,,,,,,
14,Delaware Valley,O,KIN,1,,2.0,1.0,0.0,10.0,45.0,Go Zone,Run,Rush,9.0,Shemar Ellis,middle,,,,,,,,,Anthony Puntolillo,Blaine Netterman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:31,1411,0,0,0,3,3,3,,,,,,,
15,Delaware Valley,O,KIN,1,,2.0,2.0,2.0,1.0,36.0,Go Zone,Pass,Incomplete,0.0,,,Tyler Moore,,,Incomplete,Victor Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:31,1411,0,0,0,3,3,3,,,,,,,
16,Delaware Valley,O,KIN,1,,2.0,3.0,3.0,1.0,36.0,Go Zone,Run,Rush,0.0,Victor Taylor,middle,,,,,,,,,Nick Chapman,Tyler Fulmore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:31,1411,0,0,0,3,3,3,,,,,,,
17,Delaware Valley,O,KIN,1,,2.0,4.0,4.0,1.0,36.0,Go Zone,Run,Rush,1.0,Victor Taylor,right,,,,,,,,,Blaine Netterman,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:31,1411,0,0,0,3,3,3,,,,,,,
18,Delaware Valley,O,KIN,1,,2.0,5.0,1.0,10.0,35.0,Take A Shot,Pass,Incomplete,0.0,,,Tyler Moore,,,Incomplete,Victor Taylor,,,Yusuf Aladinov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:31,1411,0,0,0,3,3,3,,,,,,,
19,Delaware Valley,O,KIN,1,,2.0,6.0,2.0,10.0,35.0,Take A Shot,Run,Rush,2.0,Victor Taylor,middle,,,,,,,,,Blaine Netterman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:31,1411,0,0,0,3,3,3,,,,,,,
20,Delaware Valley,O,KIN,1,,2.0,7.0,3.0,8.0,33.0,Take A Shot,Pass,Incomplete,0.0,,,Tyler Moore,short,left,Incomplete,Tyler Carey,Jaelyn Gaither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:31,1411,0,0,0,3,3,3,,,,,,,
21,Delaware Valley,K,KIN,1,,,,4.0,8.0,33.0,Take A Shot,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Prato,18.0,,Out of bounds,,,,,,,,,,,,,,08:31,1411,0,0,0,3,3,3,,,,,,,
22,Delaware Valley,D,DVU,1,,3.0,1.0,0.0,10.0,-15.0,Coming Out,Pass,Complete,10.0,,,Louie IV,short,left,Complete,Tahmir Barksdale,,,,Amir Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
23,Delaware Valley,D,DVU,1,,3.0,2.0,1.0,10.0,-25.0,Coming Out,Run,Rush,10.0,Jay White,left,,,,,,,,,Dylan White,Amir Gibson,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
24,Delaware Valley,D,DVU,1,,3.0,3.0,1.0,10.0,-35.0,Gold Zone,Run,Rush,2.0,Jay White,middle,,,,,,,,,James Hunter,Jake Ruppert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
25,Delaware Valley,D,DVU,1,,3.0,4.0,2.0,8.0,-37.0,Gold Zone,Pass,Complete,5.0,,,Louie IV,,,Complete,Tim Weldon,,,,Joseph Carchio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
26,Delaware Valley,D,DVU,1,,3.0,5.0,3.0,3.0,-42.0,Gold Zone,Pass,Complete,20.0,,,Louie IV,deep,middle,Complete,Luan Avdijaj,,,,Alex Tristan,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
27,Delaware Valley,D,DVU,1,,3.0,6.0,1.0,10.0,38.0,Go Zone,Run,Rush,5.0,Tahmir Barksdale,right,,,,,,,,,Alex Tristan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
28,Delaware Valley,D,DVU,1,,3.0,7.0,2.0,5.0,33.0,Take A Shot,Run,Rush,1.0,Louie IV,,,,,,,,,,Colin Hazelton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
29,Delaware Valley,,DVU,1,,,,3.0,4.0,32.0,Take A Shot,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delaware Valley,,,,,,,05:44,1244,0,0,0,3,3,3,,,,,,,
30,Delaware Valley,D,DVU,1,,3.0,8.0,3.0,4.0,32.0,Take A Shot,Run,Rush,4.0,Jay White,middle,,,,,,,,,James Hunter,Matthew Evans,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,01:33,993,0,0,0,3,2,3,,,,,,,
