PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Lycoming,K,LVC,1,,,,,,,,KO,Touchback,,,,,,,,,,,,,,,,,,,,,,Garrett MacClay,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Lycoming,D,LYC,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,3.0,Heath Jones,middle,,,,,,,,,Ryan Gibney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Lycoming,D,LYC,1,,1.0,2.0,2.0,7.0,-28.0,Gold Zone,Pass,Incomplete,0.0,,,Elijah Shemory,short,middle,Incomplete,Brandon Timothy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Lycoming,D,LYC,1,,1.0,3.0,3.0,7.0,-28.0,Gold Zone,Pass,Interception,0.0,,,Elijah Shemory,,,Interception,,,Ryan Kilgarriff,,Lycoming,,,,,,,Ryan Kilgarriff,4,43.0,,,,,,,,,,,,,,,,,,,,,,Interception,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Lycoming,O,LVC,1,,1.0,1.0,0.0,10.0,39.0,Go Zone,Run,Rush,4.0,Tim Ervey,middle,,,,,,,,,Joey Rivituso,Austin Rowley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:18,1758,0,0,0,3,3,3,,,,,,,
6,Lycoming,O,LVC,1,,1.0,2.0,2.0,6.0,35.0,Take A Shot,Run,Rush,0.0,Braden Bohannon,left,,,,,,,,,Hunter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:18,1758,0,0,0,3,3,3,Holding,LVC,,,,,10.0
7,Lycoming,O,LVC,1,,1.0,3.0,2.0,16.0,45.0,Go Zone,Run,Rush,5.0,Tim Ervey,middle,,,,,,,,,Hunter Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:18,1758,0,0,0,3,3,3,,,,,,,
8,Lycoming,O,LVC,1,,1.0,4.0,3.0,11.0,40.0,Go Zone,Pass,Complete,9.0,,,Braden Bohannon,short,left,Complete,Rylee Stahl,,,,Lebanon Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:18,1758,0,0,0,3,3,3,,,,,,,
9,Lycoming,O,LVC,1,,1.0,5.0,4.0,2.0,31.0,Take A Shot,Run,Rush,-4.0,Jacob Shermeyer,middle,,,,,,,,,Kevin Gianoni,Austin Rowley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,14:18,1758,0,0,0,3,3,3,,,,,,,
10,Lycoming,D,LYC,1,,2.0,1.0,0.0,10.0,-35.0,Gold Zone,Pass,Complete,2.0,,,Elijah Shemory,short,middle,Complete,Zach Green,,,,Ryan Enright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:11,1631,0,0,0,3,3,3,,,,,,,
11,Lycoming,D,LYC,1,,2.0,2.0,2.0,8.0,-37.0,Gold Zone,Run,Rush,6.0,Elijah Shemory,right,,,,,,,,,Ryan Gibney,Grant Gaumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:11,1631,0,0,0,3,3,3,,,,,,,
12,Lycoming,D,LYC,1,,2.0,3.0,3.0,2.0,-43.0,Gold Zone,Run,Rush,5.0,Heath Jones,middle,,,,,,,,,Jacob Horton,Jake Marcus,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:11,1631,0,0,0,3,3,3,,,,,,,
13,Lycoming,D,LYC,1,,2.0,4.0,1.0,10.0,-48.0,Go Zone,Run,Rush,3.0,Elijah Shemory,left,,,,,,,,,Noah Caldani,Jake Marcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:11,1631,0,0,0,3,3,3,,,,,,,
