PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,FDU-Florham,K,FDUFBTRA,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Ibrahim Fall,,,,,,,Jay Sisko,17,25.0,C. Korchma,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,FDU-Florham,O,LVC,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,3.0,Braden Bohannon,,,,,,,,,,Joseph Randazzo,Marquez Haywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,FDU-Florham,O,LVC,1,,1.0,2.0,2.0,7.0,-28.0,Gold Zone,Pass,Incomplete,0.0,,,Braden Bohannon,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,FDU-Florham,O,LVC,1,,1.0,3.0,3.0,7.0,-28.0,Gold Zone,Pass,Sack,-7.0,,,Braden Bohannon,,,Sack,,,,,Marquez Haywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,offside,FDUFBTRA,,,,,
5,FDU-Florham,O,LVC,1,,1.0,4.0,4.0,14.0,-21.0,Coming Out,Run,Rush,19.0,Braden Bohannon,,,,,,,,,,Kenny Hands,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,FDU-Florham,O,LVC,1,,1.0,5.0,1.0,10.0,-40.0,Gold Zone,Run,Rush,5.0,M. Williams,,,,,,,,,,C. Puntolillo,M. Dougherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,FDU-Florham,O,LVC,1,,1.0,6.0,2.0,5.0,-45.0,Go Zone,Run,Rush,-3.0,M. Williams,,,,,,,,,,Joseph Teresi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,FDU-Florham,O,LVC,1,,1.0,7.0,3.0,8.0,-42.0,Gold Zone,Pass,Complete,16.0,,,Braden Bohannon,,,Complete,Grant Gaumer,,,,C. Puntolillo,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,FDU-Florham,O,LVC,1,,1.0,8.0,1.0,10.0,42.0,Go Zone,Run,Rush,-1.0,Tim Ervey,,,,,,,,,,Joseph Teresi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,FDU-Florham,O,LVC,1,,1.0,9.0,2.0,11.0,43.0,Go Zone,Pass,Incomplete,0.0,,,Braden Bohannon,,,Incomplete,Rylee Stahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,FDU-Florham,O,LVC,1,,1.0,10.0,3.0,11.0,43.0,Go Zone,Pass,Incomplete,0.0,,,Braden Bohannon,,,Incomplete,Jay Sisko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
12,FDU-Florham,K,LVC,1,,,,4.0,11.0,43.0,Go Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Bours,23.0,20.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,roughing the kicker,FDUFBTRA,,,,,0.0
13,FDU-Florham,,FDUFBTRA,1,,,,1.0,10.0,-10.0,Backed Up,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,holding,FDUFBTRA,,,,,0.0
14,FDU-Florham,,FDUFBTRA,1,,,,1.0,10.0,-10.0,Backed Up,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,false start,FDUFBTRA,,,,,5.0
15,FDU-Florham,D,FDUFBTRA,1,,1.0,1.0,0.0,15.0,-5.0,Backed Up,Run,Rush,0.0,Kwanir Edwards,,,,,,,,,,Dillon Estes,Ryan Gibney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
16,FDU-Florham,D,FDUFBTRA,1,,1.0,2.0,2.0,15.0,-5.0,Backed Up,Run,Rush,16.0,Kwanir Edwards,,,,,,,,,,Erik Williams,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
17,FDU-Florham,D,FDUFBTRA,1,,1.0,3.0,1.0,10.0,-21.0,Coming Out,Run,Rush,5.0,Kwanir Edwards,,,,,,,,,,Dillon Estes,Ryan Enright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
18,FDU-Florham,D,FDUFBTRA,1,,1.0,4.0,2.0,5.0,-26.0,Gold Zone,Pass,Complete,4.0,,,TJ Brown,,,Complete,Kwanir Edwards,,,,Ryan Kilgarriff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
19,FDU-Florham,D,FDUFBTRA,1,,1.0,5.0,3.0,9.0,-22.0,Coming Out,Pass,Complete,18.0,,,TJ Brown,,,Complete,E. Castorina,,,,Grant Gaumer,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
20,FDU-Florham,D,FDUFBTRA,1,,1.0,6.0,1.0,10.0,-40.0,Gold Zone,Run,Rush,1.0,Nayson Brown,,,,,,,,,,Grant Gaumer,Dillon Estes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
21,FDU-Florham,D,FDUFBTRA,1,,1.0,7.0,2.0,9.0,-41.0,Gold Zone,Run,Rush,1.0,Nayson Brown,,,,,,,,,,P. Aviles-Berna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
22,FDU-Florham,D,FDUFBTRA,1,,1.0,8.0,3.0,8.0,-42.0,Gold Zone,Pass,Incomplete,0.0,,,TJ Brown,,,Incomplete,E. Castorina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:10,1510,0,0,0,3,3,3,,,,,,,
23,FDU-Florham,K,FDUFBTRA,1,,,,4.0,8.0,-42.0,Gold Zone,Punt Rec,Return,,,,,,,,,,,,Derick Moreau,,,,,,,Rylee Stahl,8,32.0,,,,,,Ryon Thomas,34.0,24.0,Return,,,,,,,,,,,,,,10:10,1510,0,0,0,3,3,3,,,,,,,
24,FDU-Florham,O,LVC,1,,2.0,1.0,0.0,10.0,-32.0,Gold Zone,Run,Rush,1.0,Dion Bryant,,,,,,,,,,C. Puntolillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:33,1233,0,0,0,3,3,3,,,,,,,
25,FDU-Florham,O,LVC,1,,2.0,2.0,2.0,9.0,-33.0,Gold Zone,Pass,Complete,8.0,,,Braden Bohannon,,,Complete,Gabe Randall,,,,C. Puntolillo,Tyrell Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:33,1233,0,0,0,3,3,3,,,,,,,
26,FDU-Florham,O,LVC,1,,2.0,3.0,3.0,1.0,-41.0,Gold Zone,Run,Rush,-1.0,Dion Bryant,,,,,,,,,,Kenny Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,05:33,1233,0,0,0,3,3,3,,,,,,,
27,FDU-Florham,K,LVC,1,,,,4.0,2.0,-40.0,Gold Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Bours,34.0,26.0,,,,,,,,,,,,,,,05:33,1233,0,0,0,3,3,3,,,,,,,
28,FDU-Florham,D,FDUFBTRA,1,,2.0,1.0,0.0,10.0,-26.0,Gold Zone,Run,Rush,2.0,TJ Brown,,,,,,,,,,Ryan Enright,Jake Marcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:05,1085,0,0,0,3,3,3,,,,,,,
29,FDU-Florham,D,FDUFBTRA,1,,2.0,2.0,2.0,8.0,-28.0,Gold Zone,Pass,Interception,0.0,,,TJ Brown,,,Interception,,,Nick Morder,,,,,,,,,Nick Morder,0,-37.0,,,,,,,,,,,,,,,,,,,,,,Interception,03:05,1085,0,0,0,3,3,3,,,,,,,
30,FDU-Florham,O,LVC,1,,3.0,1.0,0.0,10.0,37.0,Go Zone,Run,Rush,2.0,Braden Bohannon,,,,,,,,,,M. Dougherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:25,1045,0,0,0,3,3,3,,,,,,,
31,FDU-Florham,O,LVC,1,,3.0,2.0,2.0,8.0,35.0,Take A Shot,Run,Rush,35.0,Tim Ervey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,02:25,1045,0,0,0,3,3,3,personal foul,FDUFBTRA,,,,,
