PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Redlands,K,RED,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Jake Green,,,,,,,Connor Morton,21,23.0,Brendan Marmion,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,holding,LIN,,,,,10.0
2,Redlands,O,LIN,1,,1.0,1.0,0.0,10.0,-13.0,Coming Out,Pass,Incomplete,0.0,,,Blake Eaton,,,Incomplete,Joel Valadez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Redlands,O,LIN,1,,1.0,2.0,2.0,10.0,-13.0,Coming Out,Run,Rush,5.0,Connor Morton,,,,,,,,,,Luke Purcella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Redlands,O,LIN,1,,1.0,3.0,3.0,5.0,-18.0,Coming Out,Pass,Sack,-3.0,,,Blake Eaton,,,Sack,,,,,Luke Purcella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Redlands,K,LIN,1,,,,4.0,8.0,-15.0,Coming Out,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cade Johannsen,32.0,-47.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Redlands,D,RED,1,,1.0,1.0,0.0,10.0,47.0,Go Zone,Pass,Complete,7.0,,,Myles Herrera,,,Complete,Kaleb Hatten,,,,Chance Sparks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,0,0,3,3,3,,,,,,,
7,Redlands,D,RED,1,,1.0,2.0,2.0,3.0,40.0,Go Zone,Run,Rush,-1.0,A Kellstrom,,,,,,,,,,Travis Swanson,Blake Rybar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:18,1698,0,0,0,3,3,3,,,,,,,
8,Redlands,D,RED,1,,1.0,3.0,3.0,4.0,41.0,Go Zone,Pass,Sack,-2.0,,,Myles Herrera,,,Sack,,,,,Blake Rybar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:18,1698,0,0,0,3,3,3,,,,,,,
9,Redlands,K,RED,1,,,,4.0,6.0,43.0,Go Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicente Garcia,35.0,8.0,Fair Catch,,,,,,,,,,,,,,13:18,1698,0,0,0,3,3,3,,,,,,,
10,Redlands,O,LIN,1,,2.0,1.0,0.0,10.0,-8.0,Backed Up,Run,Rush,1.0,Connor McNabb,,,,,,,,,,Derwin Johnson,Kamdin Karmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:18,1578,0,0,0,3,3,3,,,,,,,
