PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,PASSER PBP,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Ill. Wesleyan,K,MIL,1,,,,,,,,KO,Return,,,,,,,,,Matthew Salazar,,,,,,,Seth Albin,21,37.0,Zachary Johnson,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Ill. Wesleyan,D,IWU,1,,1.0,1.0,0.0,10.0,-37.0,Gold Zone,Pass,Complete,4.0,,Sage Shindler,Complete,Zack Tencza,,,,Jequan Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,Ill. Wesleyan,D,IWU,1,,1.0,2.0,2.0,6.0,-41.0,Gold Zone,Run,Rush,1.0,Hamid Bullie,,,,,,,Elisha Williams,Jacob Meyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Ill. Wesleyan,D,IWU,1,,1.0,3.0,3.0,5.0,-42.0,Gold Zone,Pass,Incomplete,0.0,,Sage Shindler,Incomplete,Payton Gerberding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Ill. Wesleyan,K,IWU,1,,,,4.0,5.0,-42.0,Gold Zone,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Jonathan Rukujzo,26.0,32.0,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Ill. Wesleyan,O,MIL,1,,1.0,1.0,0.0,10.0,-32.0,Gold Zone,Run,Rush,0.0,Marion McGhee,,,,,,,Daniel Gibbons,Conor Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
7,Ill. Wesleyan,O,MIL,1,,1.0,2.0,2.0,10.0,-32.0,Gold Zone,Pass,Complete,2.0,,Cal Pohrte,Complete,Jahlil Lipkin,,,,Skyler Metzger,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,13:21,1701,0,0,0,3,3,3,Holding,MIL,Jemari Smith-Payton,,,,10.0
8,Ill. Wesleyan,O,MIL,1,,1.0,3.0,2.0,20.0,-22.0,Coming Out,Pass,Complete,14.0,,Cal Pohrte,Complete,Stephen Gudino,,,,Daniel Gibbons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
9,Ill. Wesleyan,O,MIL,1,,1.0,4.0,3.0,6.0,-36.0,Gold Zone,Pass,Complete,27.0,,Cal Pohrte,Complete,Colton Lockwood,,,,Connor Nigro,Tyler Maple,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
10,Ill. Wesleyan,O,MIL,1,,1.0,5.0,1.0,10.0,37.0,Go Zone,Pass,Complete,9.0,,Cal Pohrte,Complete,Antonio Brown,,,,Sam Schott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
11,Ill. Wesleyan,O,MIL,1,,1.0,6.0,2.0,1.0,28.0,Take A Shot,Run,Rush,13.0,Marion McGhee,,,,,,,Connor Nigro,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,13:21,1701,0,0,0,3,3,3,Holding,MIL,Daniel Ballard,,,,10.0
12,Ill. Wesleyan,O,MIL,1,,1.0,7.0,2.0,11.0,38.0,Go Zone,Pass,Complete,22.0,,Cal Pohrte,Complete,Colton Lockwood,,,,Connor Nigro,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
13,Ill. Wesleyan,O,MIL,1,,1.0,8.0,1.0,10.0,16.0,Red Zone High,Pass,Complete,10.0,,Cal Pohrte,Complete,Donald McGhee,,,,Skyler Metzger,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
14,Ill. Wesleyan,O,MIL,1,,1.0,9.0,1.0,6.0,6.0,Red Zone,Run,Rush,2.0,Marion McGhee,,,,,,,Frank Roti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
15,Ill. Wesleyan,O,MIL,1,,1.0,10.0,2.0,4.0,4.0,Red Zone Low,Run,Rush,-1.0,Marion McGhee,,,,,,,Connor Nigro,Thomas Mulhall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
16,Ill. Wesleyan,O,MIL,1,,1.0,11.0,3.0,5.0,5.0,Red Zone Low,Pass,Incomplete,0.0,,Cal Pohrte,Incomplete,Colton Lockwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
17,Ill. Wesleyan,,MIL,1,,,,3.0,5.0,5.0,Red Zone Low,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millikin,,,,,,,13:21,1701,0,0,0,3,3,3,,,,,,,
