PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,WPI,K,MIT,1,,,,,,,KO,Return,,,,,,,,,Step. Lostetter,,,,,,,C. Luizzi,45,,Nico Bulhof,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,WPI,D,WPI,1,,1.0,1.0,0.0,10.0,-50.0,Pass,Incomplete,0.0,,Brendan Olexa,Incomplete,Tommy Emrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,WPI,D,WPI,1,,1.0,2.0,2.0,10.0,-50.0,Run,Rush,4.0,Brandon Winn,,,,,,,Sam Gozelski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,WPI,,WPI,1,,,,3.0,6.0,46.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,WPI,,,,,5.0
5,WPI,D,WPI,1,,1.0,3.0,3.0,11.0,-49.0,Run,Rush,12.0,Brendan Olexa,,,,,,,Paul Calvetti,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,WPI,D,WPI,1,,1.0,4.0,1.0,10.0,39.0,Run,Rush,-1.0,Brandon Winn,,,,,,,Sam Gozelski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,WPI,D,WPI,1,,1.0,5.0,2.0,11.0,40.0,Pass,Complete,17.0,,Brendan Olexa,Complete,Ethan Farrah,,,,Adam Zimmermann,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,WPI,D,WPI,1,,1.0,6.0,1.0,10.0,23.0,Pass,Complete,5.0,,Brendan Olexa,Complete,Brandon Winn,,,,Stan Lacksen,Adam Zimmermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,WPI,D,WPI,1,,1.0,7.0,2.0,5.0,18.0,Run,Rush,-3.0,Brandon Winn,,,,,,,Eli Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,WPI,D,WPI,1,,1.0,8.0,3.0,8.0,21.0,Pass,Complete,6.0,,Brendan Olexa,Complete,Tommy Emrick,,,,Paul Calvetti,Will Exson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,15:00,1800,0,0,0,3,3,3,,,,,,,
