PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Carleton,K,CAR,1,,,,,,,KO Rec,Return,,,,,,,,,Henry Detmer,,,,,,,Josh Bulski,25,25.0,Trent Ramirez,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Carleton,O,MAC,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,2.0,Kai Akimoto,,,,,,,Ryan McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Carleton,O,MAC,1,,1.0,2.0,2.0,8.0,-27.0,Pass,Complete,0.0,,Munro RE,Complete,Rex Desso,,,,,,True,Rex Desso,,CAR,Skyle Kessenich,,,,,,,,,,,,,,,,,,,,,,,,,Fumble,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Carleton,D,CAR,1,,1.0,1.0,0.0,10.0,26.0,Pass,Complete,5.0,,,Complete,Aiden Chang,,,,Paul Brinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:04,1744,0,0,0,3,3,3,,,,,,,
5,Carleton,D,CAR,1,,1.0,2.0,2.0,5.0,21.0,Run,Rush,4.0,Aiden Chang,,,,,,,John Newton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:04,1744,0,0,0,3,3,3,,,,,,,
6,Carleton,D,CAR,1,,1.0,3.0,3.0,1.0,17.0,Run,Rush,15.0,Aiden Chang,,,,,,,Pierce Lundt,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:04,1744,0,0,0,3,3,3,,,,,,,
7,Carleton,D,CAR,1,,1.0,4.0,1.0,2.0,2.0,Run,Rush,1.0,Aiden Chang,,,,,,,Paul Brinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:04,1744,0,0,0,3,3,3,,,,,,,
8,Carleton,D,CAR,1,,1.0,5.0,2.0,1.0,1.0,Pass,Complete,1.0,,,Complete,Ntense Obono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,14:04,1744,0,0,0,3,3,3,,,,,,,
9,Carleton,K,CAR,1,,,,1.0,3.0,3.0,Extra Pt. Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trent Ramirez,,,No Good,,,,,,,,,12:34,1654,6,0,-6,3,3,3,,,,,,,
10,Carleton,K,CAR,1,,,,1.0,-35.0,-35.0,KO Rec,,,,,,,,,,,,,,,,,,,,Trent Ramirez,65.0,0.0,,,,,,,,,,,,,,,,,,,,12:34,1654,6,0,-6,3,3,3,,,,,,,
11,Carleton,O,MAC,1,,2.0,1.0,0.0,10.0,-25.0,Pass,Complete,2.0,,Nadeau LE,Complete,Rex Desso,,,,James Bradle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:33,1653,0,6,-6,3,3,3,,,,,,,
12,Carleton,O,MAC,1,,2.0,2.0,2.0,8.0,-27.0,Pass,Complete,10.0,,Nadeau RE,Complete,Rex Desso,,,,Henry Detmer,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:33,1653,0,6,-6,3,3,3,,,,,,,
13,Carleton,O,MAC,1,,2.0,3.0,1.0,10.0,-37.0,Pass,Incomplete,0.0,,Nadeau RE,Incomplete,Nick Bice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:33,1653,0,6,-6,3,3,3,,,,,,,
14,Carleton,,MAC,1,,,,2.0,10.0,-37.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macalester,,,,,,,12:33,1653,0,6,-6,3,3,3,,,,,,,
15,Carleton,O,MAC,1,,2.0,4.0,2.0,10.0,-37.0,Run,Rush,2.0,Josh Bulski,,,,,,,Doug Pham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:15,1575,0,6,-6,2,2,3,,,,,,,
16,Carleton,O,MAC,1,,2.0,5.0,3.0,8.0,-39.0,Pass,Incomplete,0.0,,Nadeau RE,Incomplete,Ty Bruckner,,,,Ryan McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:15,1575,0,6,-6,2,2,3,,,,,,,
17,Carleton,K,MAC,1,,,,4.0,8.0,-39.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Jon Neve,37.0,24.0,,,,,,,,,True,,True,,,,11:15,1575,0,6,-6,2,2,3,roughing the kicker,CAR,,,,,15.0
18,Carleton,O,MAC,1,,3.0,1.0,0.0,10.0,46.0,Pass,Complete,6.0,,Nadeau LE,Complete,Nick Bice,,,,Isaac Simons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:15,1575,0,6,-6,2,2,3,,,,,,,
19,Carleton,O,MAC,1,,3.0,2.0,2.0,4.0,40.0,Run,Rush,5.0,Logan Pampel,,,,,,,Henry Detmer,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:15,1575,0,6,-6,2,2,3,,,,,,,
20,Carleton,O,MAC,1,,3.0,3.0,1.0,10.0,35.0,Pass,Complete,6.0,,Nadeau LE,Complete,Rex Desso,,,,Travis Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:15,1575,0,6,-6,2,2,3,,,,,,,
21,Carleton,O,MAC,1,,3.0,4.0,2.0,4.0,29.0,Pass,Complete,29.0,,Nadeau LE,Complete,Rex Desso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:15,1575,0,6,-6,2,2,3,,,,,,,
22,Carleton,K,MAC,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jon Neve,,,Good,,,,,,,,,08:24,1404,6,6,0,2,2,3,,,,,,,
23,Carleton,K,MAC,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,William Matlack,,,,,,,Travis Brown,9,20.0,Jon Neve,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,08:24,1404,7,6,1,2,2,3,,,,,,,
24,Carleton,D,CAR,1,,2.0,1.0,0.0,10.0,-20.0,Run,Rush,5.0,Jonat Singleton,,,,,,,Paul Brinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,6,7,1,2,3,2,,,,,,,
25,Carleton,D,CAR,1,,2.0,2.0,2.0,5.0,-25.0,Run,Rush,6.0,Servon Hinton,,,,,,,Noah Bresson,Josh Strickler,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:19,1399,6,7,1,2,3,2,,,,,,,
26,Carleton,D,CAR,1,,2.0,3.0,1.0,10.0,-31.0,Pass,Complete,21.0,,,Complete,Carl Marvin,,,,Cameron Latvis,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:19,1399,6,7,1,2,3,2,,,,,,,
27,Carleton,D,CAR,1,,2.0,4.0,1.0,10.0,48.0,Pass,Complete,13.0,,,Complete,Nathani Streiff,,,,Nathan Gottlieb,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:19,1399,6,7,1,2,3,2,,,,,,,
28,Carleton,D,CAR,1,,2.0,5.0,1.0,10.0,35.0,Pass,Complete,20.0,,,Complete,Ntense Obono,,,,Pierce Lundt,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:19,1399,6,7,1,2,3,2,,,,,,,
29,Carleton,,CAR,1,,,,1.0,10.0,15.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,6,7,1,2,3,2,false start,CAR,Oliver Jacobs,,,,5.0
30,Carleton,D,CAR,1,,2.0,6.0,1.0,15.0,20.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,6,7,1,2,3,2,,,,,,,
31,Carleton,D,CAR,1,,2.0,7.0,2.0,15.0,20.0,Pass,Incomplete,0.0,,,Incomplete,Aiden Chang,,,,Max Menache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:19,1399,6,7,1,2,3,2,,,,,,,
32,Carleton,D,CAR,1,,2.0,8.0,3.0,15.0,20.0,Pass,Incomplete,0.0,,,Incomplete,Ntense Obono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,08:19,1399,6,7,1,2,3,2,,,,,,,
33,Carleton,K,CAR,1,,,,4.0,15.0,20.0,FG Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trent Ramirez,38.0,No Good,,,,,,,,,,08:19,1399,6,7,1,2,3,2,,,,,,,
34,Carleton,O,MAC,1,,4.0,1.0,0.0,10.0,-20.0,Run,Rush,1.0,Kai Akimoto,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:46,1246,7,6,1,2,2,3,,,,,,,
35,Carleton,O,MAC,1,,4.0,2.0,2.0,9.0,-21.0,Pass,Complete,7.0,,Nadeau LE,Complete,Josh Bulski,,,,Doug Pham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:46,1246,7,6,1,2,2,3,,,,,,,
36,Carleton,O,MAC,1,,4.0,3.0,3.0,2.0,-28.0,Pass,Complete,10.0,,Nadeau RE,Complete,Josh Bulski,,,,Henry Detmer,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:46,1246,7,6,1,2,2,3,,,,,,,
