PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,North Park,K,MANCH,1,,,,,,,,KO,Return,,,,,,,,,,,,David Smith,,,,,,,Tritian Zornes,50,40.0,Aiden Beachy,48.0,17.0,Return,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,holding,NPU,,,,,50.0
2,North Park,O,MANCH,1,,1.0,1.0,0.0,10.0,25.0,Take A Shot,Run,Rush,-7.0,Tritian Zornes,,,,,,,,,,Sam Huffman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,North Park,O,MANCH,1,,1.0,2.0,2.0,7.0,18.0,Red Zone High,Pass,Complete,7.0,,,Matt Eck,,,Complete,AJ Harris,,,,Yan Victoriano,Jamaal Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,North Park,O,MANCH,1,,1.0,3.0,1.0,10.0,25.0,Take A Shot,Pass,Complete,8.0,,,Matt Eck,,,Complete,Wesley McCloud,,,,Yan Victoriano,Jamaal Hubbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OT,15:00,1800,0,0,0,3,3,3,,,,,,,
5,North Park,D,NPU,1,,1.0,1.0,0.0,3.0,-33.0,Gold Zone,Pass,Complete,11.0,,,Matt Eck,,,Complete,Jakob Dreksler,,,,Haylee Smith,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,North Park,D,NPU,1,,1.0,2.0,1.0,10.0,-44.0,Gold Zone,Run,Rush,6.0,Tritian Zornes,,,,,,,,,,Je'Kw Williams,Chris Welton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,North Park,D,NPU,1,,1.0,3.0,2.0,4.0,-50.0,Go Zone,Pass,Incomplete,0.0,,,Matt Eck,,,Incomplete,Tritian Zornes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,North Park,D,NPU,1,,1.0,4.0,3.0,4.0,-50.0,Go Zone,Pass,Incomplete,0.0,,,Matt Eck,,,Incomplete,Hunter Gibson,,,,Je'Kw Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
9,North Park,K,NPU,1,,,,4.0,4.0,-50.0,Go Zone,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Car Blatchford,45.0,5.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,North Park,O,MANCH,1,,2.0,1.0,0.0,10.0,-5.0,Backed Up,Run,Rush,2.0,David Smith,,,,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:26,1646,0,0,0,3,3,3,,,,,,,
