PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Heidelberg,K,MAR,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Matthew Haus,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Heidelberg,D,BERG,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Sack,-8.0,,Drew Sims,Sack,,,,,K. Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Heidelberg,D,BERG,1,,1.0,2.0,2.0,18.0,-17.0,Run,Rush,12.0,M. Yearby,,,,,,,Vic Giovengo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Heidelberg,D,BERG,1,,1.0,3.0,3.0,6.0,-29.0,Pass,Complete,9.0,,Drew Sims,Complete,Dimitri Penick,,,,Quiero-Gordon,Luke Watt,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Heidelberg,D,BERG,1,,1.0,4.0,1.0,10.0,-38.0,Pass,Incomplete,0.0,,Drew Sims,Incomplete,Dimitri Penick,,,,Tay Pryor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Heidelberg,D,BERG,1,,1.0,5.0,2.0,10.0,-38.0,Run,Rush,1.0,Drew Sims,,,,,,,Drake Neuberger,Vic Giovengo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Heidelberg,D,BERG,1,,1.0,6.0,3.0,9.0,-39.0,Pass,Incomplete,0.0,,Drew Sims,Incomplete,Jace Grossman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,15:00,1800,0,0,0,3,3,3,pass interference,MAR,Malik Grier,Not found,BERG,,
8,Heidelberg,D,BERG,1,,1.0,7.0,1.0,10.0,-50.0,Run,Rush,7.0,M. Yearby,,,,,,,Darius Hatch,Jesse Berzonski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Heidelberg,D,BERG,1,,1.0,8.0,2.0,3.0,43.0,Run,Rush,6.0,M. Yearby,,,,,,,Quiero-Gordon,Luke Watt,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Heidelberg,D,BERG,1,,1.0,9.0,1.0,10.0,37.0,Run,Rush,10.0,M. Yearby,,,,,,,Kyler Folkert,Malik Grier,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
