PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Dubuque,K,MAR,1,,,,,,,,KO,Return,,,,,,,,,,,,J. Sierputowski,,,,,,,,21,25.0,Lucas Shepherd,61.0,4.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Dubuque,D,DBQFB,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Pass,Incomplete,0.0,,,Ben Gultig,,,Incomplete,dropped Z.Brice,,,,Chance Knight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Dubuque,D,DBQFB,1,,1.0,2.0,2.0,10.0,-25.0,Coming Out,Run,Rush,10.0,Ben Gultig,,,,,,,,,,Brady Panucci,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Dubuque,,DBQFB,1,,,,1.0,10.0,-35.0,Gold Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,DBQFB,Jamari Jenkins,,,,5.0
5,Dubuque,D,DBQFB,1,,1.0,3.0,1.0,15.0,-30.0,Gold Zone,Pass,Complete,9.0,,,Ben Gultig,,,Complete,Z.Brice for,,,,Malik Grier,Jacob Visnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Dubuque,D,DBQFB,1,,1.0,4.0,2.0,6.0,-39.0,Gold Zone,Pass,Complete,6.0,,,Ben Gultig,,,Complete,Jamari Jenkins,,,,Jacob Visnic,Brady Panucci,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,holding,DBQFB,Nick Vargas,,,,10.0
7,Dubuque,D,DBQFB,1,,1.0,5.0,2.0,16.0,-29.0,Gold Zone,Pass,Sack,-13.0,,,Ben Gultig,,,Sack,,,,,Drake Neuberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Dubuque,D,DBQFB,1,,1.0,6.0,3.0,29.0,-16.0,Coming Out,Run,Rush,14.0,Kallion Buckner,,,,,,,,,,Jacob Visnic,Quiero-Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Dubuque,K,DBQFB,1,,,,4.0,15.0,-30.0,Gold Zone,Punt Rec,Return,,,,,,,,,,,,Dalton Wood,,,,,,,Dawson Snyder,15,-46.0,,,,,,Conner Halla,31.0,39.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Dubuque,O,MAR,1,,1.0,1.0,0.0,10.0,46.0,Go Zone,Run,Rush,-1.0,Bryce Agnew,,,,,,,,,,Trea Samifua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:12,1572,0,0,0,3,3,3,,,,,,,
11,Dubuque,O,MAR,1,,1.0,2.0,2.0,11.0,47.0,Go Zone,Pass,Complete,7.0,,,Connor Vierstra,,,Complete,Dre Baldwin,,,,Jalin Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:12,1572,0,0,0,3,3,3,,,,,,,
