PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,USMMA,K,USMMA,1,,,,,,,KO Ret,Return,,,,,,,,,,,True,Caden Bennett,,MARITIME,Caden Bennett,Caden Bennett,4,24.0,Jackson Tinkis,45.0,20.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,USMMA,O,MARITIME,1,,1.0,1.0,0.0,10.0,-24.0,Run,Rush,0.0,David Keogh,,,,,,,C.J. Mustain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,USMMA,O,MARITIME,1,,1.0,2.0,2.0,10.0,-24.0,Run,Rush,2.0,Nicholas Morman,,,,,,,Colton Ray,Eric Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
4,USMMA,O,MARITIME,1,,1.0,3.0,3.0,8.0,-26.0,Pass,Incomplete,0.0,,David Keogh,Incomplete,Kevin Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:55,1795,0,0,0,3,3,3,offside,USMMA,Tyler Sloman,,,,5.0
5,USMMA,O,MARITIME,1,,1.0,4.0,3.0,3.0,-31.0,Pass,Complete,11.0,,David Keogh,Complete,Michael Varela,,,,C. Williams,Daniel Falzone,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
6,USMMA,O,MARITIME,1,,1.0,5.0,1.0,10.0,-42.0,Pass,Incomplete,0.0,,David Keogh,Incomplete,Kevin Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,14:55,1795,0,0,0,3,3,3,roughing passer,USMMA,,,,,1.0
7,USMMA,O,MARITIME,1,,1.0,6.0,1.0,9.0,-43.0,Pass,Incomplete,0.0,,David Keogh,Incomplete,Kevin Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
8,USMMA,O,MARITIME,1,,1.0,7.0,2.0,9.0,-43.0,Run,Rush,-1.0,C. Schiavone,,,,,,,Joshua King,Zac Steiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
9,USMMA,O,MARITIME,1,,1.0,8.0,3.0,10.0,-42.0,Pass,Complete,10.0,,David Keogh,Complete,Kevin Murphy,,,,C. Williams,Matt Strong,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
10,USMMA,O,MARITIME,1,,1.0,9.0,1.0,10.0,48.0,Run,Rush,0.0,C. Schiavone,,,,,,,Daniel Falzone,Eric Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
11,USMMA,O,MARITIME,1,,1.0,10.0,2.0,10.0,48.0,Pass,Complete,40.0,,David Keogh,Complete,Eric Borchert,,,,Joshua King,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
12,USMMA,O,MARITIME,1,,1.0,11.0,1.0,8.0,8.0,Pass,Incomplete,0.0,,David Keogh,Incomplete,Kevin Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
13,USMMA,O,MARITIME,1,,1.0,12.0,2.0,8.0,8.0,Pass,Interception,0.0,,David Keogh,Interception,,,Hunter Matthews,,Kevin Murphy,,,,,,,Hunter Matthews,0,10.0,,,,,,,,,,,,,,,,,,,,,,Interception,14:55,1795,0,0,0,3,3,3,,,,,,,
14,USMMA,D,USMMA,1,,1.0,1.0,0.0,10.0,-10.0,Run,Rush,4.0,Brian McGovern,,,,,,,James Varga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
15,USMMA,D,USMMA,1,,1.0,2.0,2.0,6.0,-14.0,Run,Rush,7.0,Ceaser Gonzalez,,,,,,,Josh Walker,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
16,USMMA,D,USMMA,1,,1.0,3.0,1.0,10.0,-21.0,Run,Rush,5.0,Ian Blankenship,,,,,,,Grant Gifford,Frank Vano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
17,USMMA,D,USMMA,1,,1.0,4.0,2.0,5.0,-26.0,Run,Rush,6.0,Brian McGovern,,,,,,,Sean Hart,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
18,USMMA,D,USMMA,1,,1.0,5.0,1.0,10.0,-32.0,Pass,Incomplete,0.0,,Ian Blankenship,Incomplete,Brian McGovern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
19,USMMA,D,USMMA,1,,1.0,6.0,2.0,10.0,-32.0,Run,Rush,2.0,Ceaser Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
20,USMMA,D,USMMA,1,,1.0,7.0,3.0,8.0,-34.0,Run,Rush,3.0,Ian Blankenship,,,,,,,Abdoulay Konate,Sean Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,10:12,1512,0,0,0,3,3,3,,,,,,,
21,USMMA,K,USMMA,1,,,,4.0,5.0,-37.0,Punt Ret,Return,,,,,,,,,C.J. Mustain,,,,,,,Eric Borchert,25,35.0,,,,,,G. Ferrey,53.0,10.0,Return,,,,,,,,,,,,,,10:12,1512,0,0,0,3,3,3,,,,,,,
22,USMMA,O,MARITIME,1,,2.0,1.0,0.0,10.0,-35.0,Run,Rush,2.0,Nicholas Morman,,,,,,,Colton Ray,Daniel Falzone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:03,1323,0,0,0,3,3,3,,,,,,,
23,USMMA,O,MARITIME,1,,2.0,2.0,2.0,8.0,-37.0,Pass,Complete,14.0,,David Keogh,Complete,Eric Borchert,,,,Joshua King,Connor Caffrey,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:03,1323,0,0,0,3,3,3,,,,,,,
24,USMMA,O,MARITIME,1,,2.0,3.0,1.0,10.0,49.0,Pass,Complete,15.0,,David Keogh,Complete,Kevin Murphy,,,,C. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:03,1323,0,0,0,3,3,3,,,,,,,
25,USMMA,O,MARITIME,1,,2.0,4.0,1.0,10.0,34.0,Run,Rush,3.0,David Keogh,,,,,,,Joshua King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:03,1323,0,0,0,3,3,3,,,,,,,
26,USMMA,O,MARITIME,1,,2.0,5.0,2.0,7.0,31.0,Pass,Complete,17.0,,David Keogh,Complete,Kevin Murphy,,,,Eric Davidson,Daniel Falzone,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:03,1323,0,0,0,3,3,3,,,,,,,
27,USMMA,O,MARITIME,1,,2.0,6.0,1.0,10.0,14.0,Run,Rush,12.0,Nicholas Morman,,,,,,,C.J. Mustain,Daniel Falzone,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:03,1323,0,0,0,3,3,3,,,,,,,
28,USMMA,O,MARITIME,1,,2.0,7.0,1.0,2.0,2.0,Run,Rush,-2.0,Nicholas Morman,,,,,,,C.J. Mustain,Daniel Falzone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:03,1323,0,0,0,3,3,3,,,,,,,
29,USMMA,,MARITIME,1,,,,2.0,4.0,4.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maritime College,,,,,,,07:03,1323,0,0,0,3,3,3,,,,,,,
30,USMMA,O,MARITIME,1,,2.0,8.0,2.0,4.0,4.0,Pass,Incomplete,0.0,,David Keogh,Incomplete,Pat Quinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:10,1090,0,0,0,2,2,3,,,,,,,
31,USMMA,O,MARITIME,1,,2.0,9.0,3.0,4.0,4.0,Pass,Complete,4.0,,David Keogh,Complete,Eric Borchert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,03:10,1090,0,0,0,2,2,3,,,,,,,
32,USMMA,K,MARITIME,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Gagliardi,,,Good,,,,,,,,,02:59,1079,6,0,6,2,2,3,,,,,,,
33,USMMA,K,MARITIME,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Tate Neiderer,James Varga,,,,,,Matt Strong,23,32.0,J. Gagliardi,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,02:59,1079,7,0,7,2,2,3,,,,,,,
34,USMMA,D,USMMA,1,,2.0,1.0,0.0,10.0,-32.0,Run,Rush,0.0,Matt Strong,,,,,,,Paul Tchinnis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:50,1070,0,7,7,2,3,2,,,,,,,
35,USMMA,D,USMMA,1,,2.0,2.0,2.0,10.0,-32.0,Run,Rush,55.0,Ian Blankenship,,,,,,,Frank Vano,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,02:50,1070,0,7,7,2,3,2,,,,,,,
36,USMMA,D,USMMA,1,,2.0,3.0,1.0,10.0,13.0,Run,Rush,7.0,Ceaser Gonzalez,,,,,,,TEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02:50,1070,0,7,7,2,3,2,,,,,,,
37,USMMA,D,USMMA,1,,2.0,4.0,2.0,3.0,6.0,Run,Rush,6.0,Brian McGovern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,02:50,1070,0,7,7,2,3,2,,,,,,,
38,USMMA,K,USMMA,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson Tinkis,,,Good,,,,,,,,,01:17,977,6,7,1,2,3,2,,,,,,,
39,USMMA,K,USMMA,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,Teddy Brunger,,,,,,,David Keogh,14,22.0,Jackson Tinkis,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,01:17,977,7,7,0,2,3,2,,,,,,,
