PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Concordia Wisconsin,K,MLC,1,,,,,,,,KO,Return,,,,,,,,,,,,Joey Ehlke,,,,,,,Al'Jarius Kelly,12,28.0,Micah Koschnitzke,49.0,16.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Concordia Wisconsin,D,CUW,1,,1.0,1.0,0.0,10.0,-28.0,Gold Zone,Pass,Complete,9.0,,,James Linn,short,right,Complete,Christian Booker,,,,David Baumann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
3,Concordia Wisconsin,D,CUW,1,,1.0,2.0,2.0,1.0,-37.0,Gold Zone,Pass,Incomplete,0.0,,,James Linn,short,left,Incomplete,Christian Booker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
4,Concordia Wisconsin,D,CUW,1,,1.0,3.0,3.0,1.0,-37.0,Gold Zone,Pass,Complete,16.0,,,James Linn,deep,left,Complete,Samuel Campbell,,,,Jon Holtz,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
5,Concordia Wisconsin,D,CUW,1,,1.0,4.0,1.0,10.0,47.0,Go Zone,Pass,Incomplete,0.0,,,James Linn,short,right,Incomplete,Samuel Campbell,,,Adam Arrowsmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
6,Concordia Wisconsin,D,CUW,1,,1.0,5.0,2.0,10.0,47.0,Go Zone,Pass,Incomplete,0.0,,,James Linn,short,right,Incomplete,Samuel Campbell,,,Matthew Hillmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
7,Concordia Wisconsin,D,CUW,1,,1.0,6.0,3.0,10.0,47.0,Go Zone,Pass,Incomplete,0.0,,,James Linn,short,middle,Incomplete,Tim Houlihan,,,Brice Guce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:56,1796,0,0,0,3,3,3,,,,,,,
8,Concordia Wisconsin,K,CUW,1,,,,4.0,10.0,47.0,Go Zone,Punt Rec,Touchback,,,,,,,,,,,,,,,,,,,,,,,,,,,Mason Kaschinske,47.0,0.0,Touchback,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
9,Concordia Wisconsin,O,MLC,1,,1.0,1.0,0.0,10.0,-20.0,Coming Out,Run,Rush,3.0,Carson Oestreich,left,,,,,,,,,Justice Kaneta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:48,1728,0,0,0,3,3,3,,,,,,,
10,Concordia Wisconsin,O,MLC,1,,1.0,2.0,2.0,7.0,-23.0,Coming Out,Run,Rush,2.0,Zach Arndt,left,,,,,,,,,Breven Palpallatoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:48,1728,0,0,0,3,3,3,,,,,,,
11,Concordia Wisconsin,O,MLC,1,,1.0,3.0,3.0,5.0,-25.0,Coming Out,Pass,Incomplete,0.0,,,Max Nordlie,short,right,Incomplete,Zach Thiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:48,1728,0,0,0,3,3,3,,,,,,,
12,Concordia Wisconsin,K,MLC,1,,,,4.0,5.0,-25.0,Coming Out,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,Joey Ehlke,25.0,-50.0,Fair Catch,,,,,,,,,,,,,,13:48,1728,0,0,0,3,3,3,,,,,,,
13,Concordia Wisconsin,D,CUW,1,,2.0,1.0,0.0,10.0,50.0,Go Zone,Pass,Complete,6.0,,,James Linn,short,left,Complete,Tim Houlihan,,,,Elijah Henning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:26,1646,0,0,0,3,3,3,,,,,,,
14,Concordia Wisconsin,,CUW,1,,,,2.0,4.0,44.0,Go Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:26,1646,0,0,0,3,3,3,False Start,CUW,Tim Houlihan,,,,5.0
15,Concordia Wisconsin,D,CUW,1,,2.0,2.0,2.0,9.0,49.0,Go Zone,Pass,Complete,5.0,,,James Linn,short,left,Complete,Christian Booker,,,,Jon Holtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:26,1646,0,0,0,3,3,3,,,,,,,
