PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Howard Payne,K,CRU,1,,,,,,,KO,Return,,,,,,,,,Jefferson Fritz,,,,,,,Selah Smith,11,30.0,Anthony Avila,46.0,19.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Howard Payne,D,HPU,1,,1.0,1.0,0.0,10.0,-30.0,Pass,Complete,70.0,,Landon McKinney,Complete,Jake Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:57,1797,0,0,0,3,3,3,,,,,,,
3,Howard Payne,K,HPU,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blake Phipps,,,Good,,,,,,,,,14:47,1787,6,0,-6,3,3,3,,,,,,,
4,Howard Payne,K,HPU,1,,,,1.0,10.0,-35.0,KO Ret,Return,,,,,,,,,,,,,,,,Aaron Sims,5,29.0,Blake Phipps,41.0,24.0,Return,,,,,,,,,,,,,,,,,,,14:47,1787,7,0,-7,3,3,3,,,,,,,
5,Howard Payne,O,CRU,1,,1.0,1.0,0.0,10.0,-29.0,Run,Rush,2.0,Aphonso Thomas,,,,,,,James Jakubowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40,1780,0,7,-7,3,3,3,,,,,,,
6,Howard Payne,O,CRU,1,,1.0,2.0,2.0,8.0,-31.0,Run,Rush,5.0,Aphonso Thomas,,,,,,,Peyton Lowe,James Jakubowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:40,1780,0,7,-7,3,3,3,,,,,,,
7,Howard Payne,O,CRU,1,,1.0,3.0,3.0,3.0,-36.0,Run,Rush,1.0,Aphonso Thomas,,,,,,,Jarett Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:40,1780,0,7,-7,3,3,3,,,,,,,
8,Howard Payne,K,CRU,1,,,,4.0,2.0,-37.0,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Jefferson Fritz,16.0,47.0,Out of bounds,,,,,,,,,,,,,,14:40,1780,0,7,-7,3,3,3,,,,,,,
9,Howard Payne,D,HPU,1,,2.0,1.0,0.0,10.0,-47.0,Run,Rush,6.0,Landon McKinney,,,,,,,Jacob Mueller,Keith Gipson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:47,1667,7,0,-7,3,3,3,,,,,,,
10,Howard Payne,D,HPU,1,,2.0,2.0,2.0,4.0,47.0,Run,Rush,12.0,Tauren Bradley,,,,,,,Omari Frazier,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:47,1667,7,0,-7,3,3,3,,,,,,,
11,Howard Payne,D,HPU,1,,2.0,3.0,1.0,10.0,35.0,Pass,Incomplete,0.0,,Landon McKinney,Incomplete,Otis Lanier,Jefferson Fritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:47,1667,7,0,-7,3,3,3,,,,,,,
12,Howard Payne,D,HPU,1,,2.0,4.0,2.0,10.0,35.0,Pass,Complete,35.0,,Landon McKinney,Complete,Jake Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,12:47,1667,7,0,-7,3,3,3,,,,,,,
13,Howard Payne,K,HPU,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blake Phipps,,,Good,,,,,,,,,11:31,1591,13,0,-13,3,3,3,,,,,,,
14,Howard Payne,K,HPU,1,,,,1.0,10.0,-35.0,KO Ret,Return,,,,,,,,,Brazos Gadler,,,,,,,Tommy Bowden,23,32.0,Blake Phipps,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,11:31,1591,14,0,-14,3,3,3,,,,,,,
15,Howard Payne,O,CRU,1,,2.0,1.0,0.0,10.0,-32.0,Run,Rush,3.0,Ryan Redding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,0,14,-14,3,3,3,,,,,,,
16,Howard Payne,O,CRU,1,,2.0,2.0,2.0,7.0,-35.0,Pass,Complete,15.0,,Ryan Redding,Complete,Brandon Jordan,,,,Mark Taplette,Peyton Lowe,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:24,1584,0,14,-14,3,3,3,,,,,,,
17,Howard Payne,O,CRU,1,,2.0,3.0,1.0,10.0,50.0,Pass,Complete,6.0,,Ryan Redding,Complete,K Miller,,,,Peyton Lowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,0,14,-14,3,3,3,UNS: Unsportsmanlike Conduct,CRU,Brenton Martin,,,,13.0
18,Howard Payne,O,CRU,1,,2.0,4.0,1.0,17.0,-43.0,Run,Rush,6.0,Kenneth Cormier,,,,,,,Jarett Brown,Dai'Shawn Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,0,14,-14,3,3,3,,,,,,,
19,Howard Payne,O,CRU,1,,2.0,5.0,2.0,11.0,-49.0,Pass,Complete,18.0,,Ryan Redding,Complete,K Miller,,,,Dai'Shawn Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:24,1584,0,14,-14,3,3,3,,,,,,,
20,Howard Payne,O,CRU,1,,2.0,6.0,1.0,10.0,33.0,Run,Rush,4.0,Kenneth Cormier,,,,,,,Dai'Shawn Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,0,14,-14,3,3,3,,,,,,,
21,Howard Payne,O,CRU,1,,2.0,7.0,2.0,6.0,29.0,Pass,Incomplete,0.0,,Ryan Redding,Incomplete,Brandon Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:24,1584,0,14,-14,3,3,3,,,,,,,
22,Howard Payne,O,CRU,1,,2.0,8.0,3.0,6.0,29.0,Pass,Incomplete,0.0,,Ryan Redding,Incomplete,Brenton Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,11:24,1584,0,14,-14,3,3,3,,,,,,,
23,Howard Payne,K,CRU,1,,,,4.0,6.0,29.0,FG,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Avila,46.0,No Good,,,,,,,,,,11:24,1584,0,14,-14,3,3,3,,,,,,,
24,Howard Payne,D,HPU,1,,3.0,1.0,0.0,10.0,-29.0,Run,Rush,0.0,Tauren Bradley,,,,,,,Akeem Jackson,Pete Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:34,1414,14,0,-14,3,3,3,,,,,,,
25,Howard Payne,D,HPU,1,,3.0,2.0,2.0,10.0,-29.0,Run,Rush,3.0,Landon McKinney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:34,1414,14,0,-14,3,3,3,,,,,,,
26,Howard Payne,D,HPU,1,,3.0,3.0,3.0,7.0,-32.0,Run,Rush,1.0,Tauren Bradley,,,,,,,Mikkah Hackett,Omari Frazier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:34,1414,14,0,-14,3,3,3,,,,,,,
27,Howard Payne,K,HPU,1,,,,4.0,6.0,-33.0,Punt Ret,Return,,,,,,,,,Jackson Coulson,Casey Dufner,,,,,,,38,-36.0,,,,,,Jackson Coulson,41.0,26.0,Return,,,,,,,,,,,,,,08:34,1414,14,0,-14,3,3,3,,,,,,,
28,Howard Payne,O,CRU,1,,3.0,1.0,0.0,10.0,36.0,Pass,Complete,10.0,,Ryan Redding,Complete,Gary Ruckman,,,,Kyle Bell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,06:50,1310,0,14,-14,3,3,3,,,,,,,
29,Howard Payne,O,CRU,1,,3.0,2.0,1.0,10.0,26.0,Pass,Complete,26.0,,Ryan Redding,Complete,Brandon Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,06:50,1310,0,14,-14,3,3,3,,,,,,,
30,Howard Payne,K,CRU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Avila,,,Good,,,,,,,,,06:12,1272,6,14,-8,3,3,3,,,,,,,
31,Howard Payne,K,CRU,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Mikkah Hackett,,,,,,,Selah Smith,11,21.0,Anthony Avila,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,06:12,1272,7,14,-7,3,3,3,,,,,,,
32,Howard Payne,D,HPU,1,,4.0,1.0,0.0,10.0,-21.0,Pass,Incomplete,0.0,,Landon McKinney,Incomplete,Otis Lanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:08,1268,14,7,-7,3,3,3,,,,,,,
33,Howard Payne,D,HPU,1,,4.0,2.0,2.0,10.0,-21.0,Pass,Incomplete,0.0,,Landon McKinney,Incomplete,,Jefferson Fritz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:08,1268,14,7,-7,3,3,3,,,,,,,
34,Howard Payne,D,HPU,1,,4.0,3.0,3.0,10.0,-21.0,Pass,Incomplete,0.0,,Landon McKinney,Incomplete,,,,Durand Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:08,1268,14,7,-7,3,3,3,,,,,,,
35,Howard Payne,K,HPU,1,,,,4.0,10.0,-21.0,Punt Ret,Return,,,,,,,,,Kage Gilbreath,,,,,,,Jefferson Fritz,,-45.0,,,,,,Jackson Coulson,25.0,-46.0,Return,,,,,,,,,,,,,,06:08,1268,14,7,-7,3,3,3,,,,,,,
36,Howard Payne,O,CRU,1,,4.0,1.0,0.0,10.0,45.0,Pass,Complete,39.0,,Ryan Redding,Complete,K Miller,,,,Jarett Brown,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:41,1241,7,14,-7,3,3,3,,,,,,,
37,Howard Payne,O,CRU,1,,4.0,2.0,1.0,6.0,6.0,Run,Rush,2.0,Aphonso Thomas,,,,,,,Aaron Alderete,Carson Padilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:41,1241,7,14,-7,3,3,3,,,,,,,
38,Howard Payne,O,CRU,1,,4.0,3.0,2.0,4.0,4.0,Run,Rush,4.0,Aphonso Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,05:41,1241,7,14,-7,3,3,3,,,,,,,
39,Howard Payne,K,CRU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthony Avila,,,Good,,,,,,,,,04:46,1186,13,14,-1,3,3,3,,,,,,,
40,Howard Payne,K,CRU,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Mikkah Hackett,,,,,,,Selah Smith,13,15.0,Anthony Avila,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,04:46,1186,14,14,0,3,3,3,Illegal Block in Back,HPU,Kage Gilbreath,,,,8.0
41,Howard Payne,D,HPU,1,,5.0,1.0,0.0,10.0,-8.0,Pass,Incomplete,0.0,,Landon McKinney,Incomplete,Otis Lanier,,,Pete Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:39,1179,14,14,0,3,3,3,,,,,,,
42,Howard Payne,D,HPU,1,,5.0,2.0,2.0,10.0,-8.0,Pass,Incomplete,0.0,,Landon McKinney,Incomplete,Jake Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:39,1179,14,14,0,3,3,3,,,,,,,
43,Howard Payne,D,HPU,1,,5.0,3.0,3.0,10.0,-8.0,Run,Rush,5.0,Landon McKinney,,,,,,,Jacob Mueller,Akeem Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,04:39,1179,14,14,0,3,3,3,,,,,,,
44,Howard Payne,K,HPU,1,,,,4.0,5.0,-13.0,Punt Ret,Return,,,,,,,,,Kage Gilbreath,,,,,,,,,-49.0,,,,,,Jackson Coulson,37.0,-50.0,Return,,,,,,,,,,,,,,04:39,1179,14,14,0,3,3,3,,,,,,,
45,Howard Payne,O,CRU,1,,5.0,1.0,0.0,10.0,49.0,Run,Rush,-1.0,Kenneth Cormier,,,,,,,Dai'Shawn Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:35,1115,14,14,0,3,3,3,,,,,,,
46,Howard Payne,O,CRU,1,,5.0,2.0,2.0,11.0,50.0,Pass,Complete,2.0,,Ryan Redding,Complete,Jamaal Hamilton,,,,James Jakubowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:35,1115,14,14,0,3,3,3,,,,,,,
47,Howard Payne,O,CRU,1,,5.0,3.0,3.0,9.0,48.0,Pass,Complete,19.0,,Ryan Redding,Complete,K Miller,,,,Tyrianno Carrizosa,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:35,1115,14,14,0,3,3,3,,,,,,,
48,Howard Payne,O,CRU,1,,5.0,4.0,1.0,10.0,29.0,Pass,Complete,13.0,,Ryan Redding,Complete,K Miller,,,,Byron Clark,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:35,1115,14,14,0,3,3,3,,,,,,,
49,Howard Payne,,CRU,1,,,,1.0,10.0,29.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Howard Payne,,,,,,,03:35,1115,14,14,0,3,3,3,,,,,,,
50,Howard Payne,O,CRU,1,,5.0,5.0,1.0,10.0,16.0,Pass,Complete,8.0,,Ryan Redding,Complete,K Miller,,,,Mark Taplette,Dai'Shawn Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:35,1115,14,14,0,3,3,2,,,,,,,
51,Howard Payne,O,CRU,1,,5.0,6.0,2.0,2.0,8.0,Run,Rush,5.0,Kenneth Cormier,,,,,,,Kyle Bell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,03:35,1115,14,14,0,3,3,2,,,,,,,
52,Howard Payne,O,CRU,1,,5.0,7.0,1.0,3.0,3.0,Run,Rush,3.0,Kenneth Cormier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,03:35,1115,14,14,0,3,3,2,,,,,,,
53,Howard Payne,K,CRU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Cunningham,,,Good,,,,,,,,,00:20,920,20,14,6,3,3,2,,,,,,,
54,Howard Payne,K,CRU,1,,,,1.0,10.0,-35.0,KO,Touchback,,,,,,,,,,,,,,,,,,,Anthony Avila,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,00:20,920,21,14,7,3,3,2,,,,,,,
55,Howard Payne,D,HPU,1,,6.0,1.0,0.0,10.0,-25.0,Run,Rush,2.0,Derrick Berry,,,,,,,Tristan Green,Omari Frazier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:20,920,14,21,7,3,2,3,,,,,,,
56,Howard Payne,D,HPU,2,,6.0,2.0,2.0,8.0,-27.0,Pass,Sack,-1.0,,Landon McKinney,Sack,,,,,Pete Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,14,21,7,3,2,3,,,,,,,
57,Howard Payne,D,HPU,2,,6.0,3.0,3.0,9.0,-26.0,Pass,Incomplete,0.0,,Nick Infante,Incomplete,Otis Lanier,Akeem Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,900,14,21,7,3,2,3,,,,,,,
