PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,McMurry,K,MHB,1,,,,,,,KO,Touchback,,,,,,,,,,,,,,,,,,,Anthony Avila,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,McMurry,D,McM,1,,1.0,1.0,0.0,10.0,25.0,Run,Rush,0.0,Kameron Session,,,,,,,Pete Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,McMurry,D,McM,1,,1.0,2.0,2.0,10.0,25.0,Pass,Complete,14.0,,Dexter Wyble,Complete,Zachary Wood,,,,Jefferson Fritz,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,McMurry,D,McM,1,,1.0,3.0,1.0,10.0,39.0,Pass,Complete,11.0,,Dexter Wyble,Complete,Dwaelon Shepherd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,Offside,MHB,,,,,
5,McMurry,D,McM,1,,1.0,4.0,1.0,10.0,50.0,Run,Rush,0.0,Kameron Session,,,,,,,Akeem Jackson,Tristan Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,McMurry,D,McM,1,,1.0,5.0,2.0,10.0,50.0,Run,Rush,1.0,Kameron Session,,,,,,,Akeem Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,McMurry,D,McM,1,,1.0,6.0,3.0,9.0,49.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Dwaelon Shepherd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
8,McMurry,K,McM,1,,,,4.0,9.0,49.0,Punt Ret,Return,,,,,,,,,,,,,,,,,79,0.0,,,,,,Andy Flores,28.0,21.0,Return,,,,,,,,,True,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,McMurry,K,MHB,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Cunningham,,,Good,,,,,,,,,11:35,1595,6,0,6,3,3,3,,,,,,,
10,McMurry,K,MHB,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,,,,,,,,Rajan Cunningham,33,38.0,Anthony Avila,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,11:35,1595,7,0,7,3,3,3,,,,,,,
11,McMurry,D,McM,1,,2.0,1.0,0.0,10.0,38.0,Run,Rush,1.0,Kameron Session,,,,,,,Kobe Giles,Caleb Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28,1588,0,7,7,3,3,3,,,,,,,
12,McMurry,D,McM,1,,2.0,2.0,2.0,9.0,39.0,Run,Rush,1.0,Dee Robinson,,,,,,,Keith Gipson,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,11:28,1588,0,7,7,3,3,3,Offside,MHB,,,,,5.0
13,McMurry,D,McM,1,,2.0,3.0,2.0,4.0,44.0,Run,Rush,-2.0,Drew Hagler,,,,,,,Josh Patteson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28,1588,0,7,7,3,3,3,,,,,,,
14,McMurry,D,McM,1,,2.0,4.0,3.0,6.0,42.0,Pass,Sack,-4.0,,Dexter Wyble,Sack,,,,,E'Monte Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:28,1588,0,7,7,3,3,3,,,,,,,
15,McMurry,K,McM,1,,,,4.0,10.0,38.0,Punt Ret,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Andy Flores,20.0,42.0,Out of bounds,,,,,,,,,,,,,,11:28,1588,0,7,7,3,3,3,,,,,,,
16,McMurry,O,MHB,1,,1.0,1.0,0.0,10.0,-42.0,Run,Rush,9.0,Aphonso Thomas,,,,,,,Brenden Torrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,7,0,7,3,3,3,,,,,,,
17,McMurry,O,MHB,1,,1.0,2.0,2.0,1.0,49.0,Run,Rush,8.0,Aphonso Thomas,,,,,,,Josh Smith,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:52,1432,7,0,7,3,3,3,,,,,,,
18,McMurry,O,MHB,1,,1.0,3.0,1.0,10.0,41.0,Pass,Incomplete,0.0,,Kyle King,Incomplete,K Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,7,0,7,3,3,3,,,,,,,
19,McMurry,O,MHB,1,,1.0,4.0,2.0,10.0,41.0,Pass,Complete,9.0,,Kyle King,Complete,K Miller,,,,Ke'Shaun Jnofinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:52,1432,7,0,7,3,3,3,,,,,,,
20,McMurry,,MHB,1,,,,3.0,1.0,32.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary Hardin-Baylor,,,,,,,08:52,1432,7,0,7,3,3,3,,,,,,,
21,McMurry,O,MHB,1,,1.0,5.0,3.0,1.0,32.0,Run,Rush,17.0,Aphonso Thomas,,,,,,,Ke'Shaun Jnofinn,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:40,1360,7,0,7,2,2,3,,,,,,,
22,McMurry,O,MHB,1,,1.0,6.0,1.0,10.0,15.0,Pass,Incomplete,0.0,,Kyle King,Incomplete,Brandon Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:40,1360,7,0,7,2,2,3,,,,,,,
23,McMurry,O,MHB,1,,1.0,7.0,2.0,10.0,15.0,Pass,Complete,15.0,,Kyle King,Complete,Brandon Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,07:40,1360,7,0,7,2,2,3,,,,,,,
24,McMurry,K,MHB,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Cunningham,,,Good,,,,,,,,,07:08,1328,13,0,13,2,2,3,,,,,,,
25,McMurry,K,MHB,1,,,,1.0,10.0,-35.0,KO,Touchback,,,,,,,,,,,,,,,,,,,Anthony Avila,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,07:08,1328,14,0,14,2,2,3,,,,,,,
26,McMurry,D,McM,1,,3.0,1.0,0.0,10.0,25.0,Run,Rush,3.0,Dee Robinson,,,,,,,Tristan Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:08,1328,0,14,14,2,3,2,,,,,,,
27,McMurry,D,McM,1,,3.0,2.0,2.0,7.0,28.0,Run,Rush,6.0,Dee Robinson,,,,,,,Omari Frazier,Jayden Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:08,1328,0,14,14,2,3,2,,,,,,,
28,McMurry,,McM,1,,,,3.0,1.0,34.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McMurry,,,,,,,07:08,1328,0,14,14,2,3,2,,,,,,,
29,McMurry,D,McM,1,,3.0,3.0,3.0,1.0,34.0,Run,Rush,0.0,Dee Robinson,,,,,,,Tristan Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,05:37,1237,0,14,14,2,2,2,,,,,,,
30,McMurry,K,McM,1,,,,4.0,1.0,34.0,Punt Ret,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Jared Mendoza,5.0,39.0,Out of bounds,,,,,,,,,,,,,,05:37,1237,0,14,14,2,2,2,,,,,,,
31,McMurry,O,MHB,1,,2.0,1.0,0.0,10.0,39.0,Run,Rush,6.0,Kenneth Cormier,,,,,,,Rance Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:45,1185,14,0,14,2,2,2,,,,,,,
32,McMurry,O,MHB,1,,2.0,2.0,2.0,4.0,33.0,Run,Rush,18.0,Kenneth Cormier,,,,,,,Christopher Baker,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:45,1185,14,0,14,2,2,2,,,,,,,
33,McMurry,O,MHB,1,,2.0,3.0,1.0,10.0,15.0,Run,Rush,13.0,Kenneth Cormier,,,,,,,Coryell Fillmore,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,04:45,1185,14,0,14,2,2,2,,,,,,,
34,McMurry,O,MHB,1,,2.0,4.0,1.0,2.0,2.0,Run,Rush,2.0,Aphonso Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,04:45,1185,14,0,14,2,2,2,,,,,,,
35,McMurry,K,MHB,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Cunningham,,,Good,,,,,,,,,03:23,1103,20,0,20,2,2,2,,,,,,,
36,McMurry,K,MHB,1,,,,1.0,10.0,-35.0,KO,Return,,,,,,,,,Khyren Deal,,,,,,,Dee Robinson,18,21.0,Anthony Avila,62.0,3.0,Return,,,,,,,,,,,,,,,True,,,,03:23,1103,21,0,21,2,2,2,Offside,MHB,,,,,5.0
37,McMurry,K,MHB,1,,,,1.0,10.0,-30.0,KO,Touchback,,,,,,,,,,,,,,,,,,,Anthony Avila,70.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,03:23,1103,21,0,21,2,2,2,,,,,,,
38,McMurry,D,McM,1,,4.0,1.0,0.0,10.0,25.0,Run,Rush,7.0,Dee Robinson,,,,,,,Jackson Sennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:18,1098,0,21,21,2,2,2,,,,,,,
39,McMurry,D,McM,1,,4.0,2.0,2.0,3.0,32.0,Run,Rush,-1.0,Dee Robinson,,,,,,,Josh Patteson,Durand Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:18,1098,0,21,21,2,2,2,,,,,,,
40,McMurry,D,McM,1,,4.0,3.0,3.0,4.0,31.0,Pass,Incomplete,0.0,,Dexter Wyble,Incomplete,Dwaelon Shepherd,Jayden Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,03:18,1098,0,21,21,2,2,2,,,,,,,
41,McMurry,,McM,1,,,,4.0,4.0,31.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McMurry,,,,,,,03:18,1098,0,21,21,2,2,2,,,,,,,
