PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Southwestern (TX),K,MHB,1,,,,,,,,KO,Return,,,,,,,,,,,,Caden Steubing,Johnny Smith-Rider,,,,,,Payton Vaughn,10,12.0,Anthony Avila,63.0,2.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Southwestern (TX),D,SOU,1,,1.0,1.0,0.0,10.0,-12.0,Coming Out,Pass,Complete,4.0,,,Damian Gomez,short,left,Complete,Jojo Wilson,,,,14:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Southwestern (TX),D,SOU,1,,1.0,2.0,2.0,6.0,-16.0,Coming Out,Run,Rush,1.0,Kolby Bartlett,middle,,,,,,,,,14:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Southwestern (TX),D,SOU,1,,1.0,3.0,3.0,5.0,-17.0,Coming Out,Pass,Complete,3.0,,,Damian Gomez,short,right,Complete,Adrian Garza,,,,14:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Southwestern (TX),K,SOU,1,,,,4.0,2.0,-20.0,Coming Out,Punt Rec,Fair Catch,,,,,,,,,,,,14:54,,,,,,,,,,,,,,,,35.0,45.0,Fair Catch,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Southwestern (TX),O,MHB,1,,1.0,1.0,0.0,10.0,-45.0,Go Zone,Run,Rush,25.0,Aphonso Thomas,left,,,,,,,,,Blane Corekin,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Southwestern (TX),O,MHB,1,,1.0,2.0,1.0,10.0,30.0,Take A Shot,Pass,Complete,2.0,,,Kyle King,short,right,Complete,Jr. Miller,,,,12:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
8,Southwestern (TX),O,MHB,1,,1.0,3.0,2.0,8.0,28.0,Take A Shot,Pass,Incomplete,0.0,,,Kyle King,short,left,Incomplete,Jerry Cephus,,,,12:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:49,1669,0,0,0,3,3,3,,,,,,,
9,Southwestern (TX),O,MHB,1,,1.0,4.0,3.0,8.0,28.0,Take A Shot,Pass,Complete,12.0,,,Kyle King,deep,left,Complete,K Miller,,,,12:49,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,12:49,1669,0,0,0,3,3,3,,,,,,,
10,Southwestern (TX),O,MHB,1,,1.0,5.0,1.0,10.0,16.0,Red Zone High,Run,Rush,1.0,Jr. Miller,middle,,,,,,,,,12:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:49,1669,0,0,0,3,3,3,,,,,,,
11,Southwestern (TX),O,MHB,1,,1.0,6.0,2.0,9.0,15.0,Red Zone High,Pass,Incomplete,0.0,,,Kyle King,short,left,Incomplete,Brandon Jordan,,,,12:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:49,1669,0,0,0,3,3,3,,,,,,,
12,Southwestern (TX),O,MHB,1,,1.0,7.0,3.0,9.0,15.0,Red Zone High,Pass,Complete,15.0,,,Kyle King,deep,left,Complete,K Miller,,,,12:49,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,12:49,1669,0,0,0,3,3,3,,,,,,,
13,Southwestern (TX),K,MHB,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt.,Good,,,,,,,,,,,,Tommy H: Bowden,,,,,,,,,,,,,,,,,,,,Anthony Avila,,,Good,,,,,,,,,12:49,1669,6,0,6,3,3,3,,,,,,,
14,Southwestern (TX),K,MHB,1,,,,1.0,10.0,-35.0,Gold Zone,KO,Touchback,,,,,,,,,,,,,,,,,,,,,,Anthony Avila,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,12:49,1669,7,0,7,3,3,3,,,,,,,
15,Southwestern (TX),D,SOU,1,,2.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,2.0,Damian Gomez,middle,,,,,,,,,10:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:40,1540,0,7,7,3,3,3,,,,,,,
