PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Centre,K,COLONELS,1,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,Nick Kopp,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Centre,O,MVC,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,-3.0,Connor Chandler,,,,,,,Armon Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Centre,O,MVC,1,,1.0,2.0,2.0,13.0,-22.0,Pass,Complete,7.0,,Nelson Smith,Complete,Mykel Santos,,,,Caleb Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Centre,O,MVC,1,,1.0,3.0,3.0,6.0,-29.0,Pass,Complete,0.0,,Nelson Smith,Complete,Mykel Santos,,,,,,True,Mykel Santos,Joshua White,COLONELS,Joshua White,,,-36.0,,,,,,,,,,,,,,,,,,,,,,Fumble,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Centre,D,COLONELS,1,,1.0,1.0,0.0,10.0,36.0,Pass,Complete,6.0,,Trentin Dupper,Complete,Cort Marbaugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:06,1746,0,0,0,3,3,3,,,,,,,
6,Centre,D,COLONELS,1,,1.0,2.0,2.0,4.0,30.0,Run,Rush,0.0,Trentin Dupper,,,,,,,Demarcus Nelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:06,1746,0,0,0,3,3,3,holding,COLONELS,Greer Stone,,,,10.0
7,Centre,D,COLONELS,1,,1.0,3.0,2.0,14.0,40.0,Pass,Complete,8.0,,Trentin Dupper,Complete,Sam Murray,,,,Colby Manis,Keenan Toomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:06,1746,0,0,0,3,3,3,,,,,,,
8,Centre,D,COLONELS,1,,1.0,4.0,3.0,6.0,32.0,Pass,Sack,-5.0,,Trentin Dupper,Sack,,,,,Marique Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:06,1746,0,0,0,3,3,3,,,,,,,
9,Centre,K,COLONELS,1,,,,4.0,11.0,37.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Nick Kopp,29.0,8.0,Fair Catch,,,,,,,,,,,,,,14:06,1746,0,0,0,3,3,3,false start,COLONELS,,,,,5.0
10,Centre,O,MVC,1,,2.0,1.0,0.0,10.0,-13.0,Run,Rush,2.0,Braden Dunson,,,,,,,Armon Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:37,1657,0,0,0,3,3,3,,,,,,,
11,Centre,O,MVC,1,,2.0,2.0,2.0,8.0,-15.0,Pass,Sack,-7.0,,Nelson Smith,Sack,,,,,Jacob Ratliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:37,1657,0,0,0,3,3,3,,,,,,,
