PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Greensboro,K,MAR,1,,,,,,,KO,Return,,,,,,,,,,,,,,,,Dalton Miller,5,14.0,Trey Hampton,56.0,9.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Greensboro,D,GRE,1,,1.0,1.0,0.0,10.0,-14.0,Run,Rush,3.0,,,,,,,,Grant Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
3,Greensboro,D,GRE,1,,1.0,2.0,2.0,7.0,-17.0,Pass,Complete,9.0,,,Complete,Ryan Buchanan,,,,Haydn Tanner,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
4,Greensboro,D,GRE,1,,1.0,3.0,1.0,10.0,-26.0,Pass,Complete,5.0,,,Complete,Cale Matthews,,,,Caden Harbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
5,Greensboro,D,GRE,1,,1.0,4.0,2.0,5.0,-31.0,Pass,Complete,6.0,,,Complete,Tegan Griggs,,,,Grant Henderson,Colby Manis,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
6,Greensboro,D,GRE,1,,1.0,5.0,1.0,10.0,-37.0,Pass,Incomplete,0.0,,,Incomplete,Tegan Griggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
7,Greensboro,D,GRE,1,,1.0,6.0,2.0,10.0,-37.0,Run,Rush,1.0,Jaylin Bolden,,,,,,,Malachi Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
8,Greensboro,D,GRE,1,,1.0,7.0,3.0,9.0,-38.0,Pass,Incomplete,0.0,,,Incomplete,Shy'heem Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:56,1796,0,0,0,3,3,3,,,,,,,
9,Greensboro,K,GRE,1,,,,4.0,9.0,-38.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Zach Allman,42.0,20.0,,,,,,,,,,,,,,,14:56,1796,0,0,0,3,3,3,,,,,,,
10,Greensboro,O,MAR,1,,1.0,1.0,0.0,10.0,-20.0,Pass,Sack,-10.0,,Nelson Smith,Sack,,,,,Dejuan Robinson,,True,Nelson Smith,,GRE,Brendan Perdue,Brendan Perdue,9,-10.0,,,,,,,,,,,,,,,,,,,,,,Fumble,11:33,1593,0,0,0,3,3,3,,,,,,,
