PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Ursinus,K,UC,1,,,,,,,KO Ret,Return,,,,,,,,,Marc Clayton,,,,,,,Diondre Carter,16,24.0,Dakota Wherrity,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Ursinus,O,MCD,1,,1.0,1.0,0.0,10.0,-24.0,Run,Rush,15.0,Diondre Carter,,,,,,,Aaron Anderson,A. Trazzera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Ursinus,O,MCD,1,,1.0,2.0,1.0,10.0,-39.0,Run,Rush,10.0,Diondre Carter,,,,,,,A. Trazzera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Ursinus,O,MCD,1,,1.0,3.0,1.0,10.0,-49.0,Run,Rush,-3.0,Diondre Carter,,,,,,,,,True,Diondre Carter,,UC,Ryan DiVergilis,,,,,,,,,,,,,,,,,,,,,,,,,Fumble,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Ursinus,D,UC,1,,1.0,1.0,0.0,10.0,46.0,Run,Rush,1.0,Samuel Ragland,,,,,,,Mike Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:04,1744,0,0,0,3,3,3,,,,,,,
6,Ursinus,D,UC,1,,1.0,2.0,2.0,9.0,45.0,Run,Rush,6.0,Samuel Ragland,,,,,,,Mike Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:04,1744,0,0,0,3,3,3,,,,,,,
7,Ursinus,D,UC,1,,1.0,3.0,3.0,3.0,39.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:04,1744,0,0,0,3,3,3,,,,,,,
8,Ursinus,D,UC,1,,1.0,4.0,4.0,3.0,39.0,Pass,Incomplete,0.0,,Jack Psenicska,Incomplete,Nick Schnaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Downs,14:04,1744,0,0,0,3,3,3,,,,,,,
9,Ursinus,O,MCD,1,,2.0,1.0,0.0,10.0,-39.0,Pass,Complete,12.0,,John Furgeson,Complete,Marcus Sessoms,,,,Julian Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:22,1642,0,0,0,3,3,3,,,,,,,
10,Ursinus,O,MCD,1,,2.0,2.0,1.0,10.0,49.0,Pass,Complete,7.0,,John Furgeson,Complete,Owen Reese,,,,Julian Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:22,1642,0,0,0,3,3,3,,,,,,,
