PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,FDU-Florham,K,USMMA,1,,,,,,,KO,Return,,,,,,,,,Kurt Voll,C.J. Mustain,,,,,,Brendan Dennis,80,-10.0,Jackson Tinkis,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,FDU-Florham,,FDU,1,,,,1.0,10.0,10.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,unsportsmanlike conduct,FDU,,,,,15.0
3,FDU-Florham,D,FDU,1,,1.0,1.0,0.0,10.0,25.0,Pass,Complete,5.0,,Anthony Caserta,Complete,Brendan Godfrey,,,,Payton Gourley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,FDU-Florham,D,FDU,1,,1.0,2.0,2.0,5.0,20.0,Pass,Complete,4.0,,Anthony Caserta,Complete,JeVaughn Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,FDU-Florham,D,FDU,1,,1.0,3.0,3.0,1.0,16.0,Pass,Complete,6.0,,Anthony Caserta,Complete,Connor Perez,,,,Kurt Voll,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,FDU-Florham,D,FDU,1,,1.0,4.0,1.0,10.0,10.0,Pass,Incomplete,0.0,,Anthony Caserta,Incomplete,Connor Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,FDU-Florham,D,FDU,1,,1.0,5.0,2.0,10.0,10.0,Pass,Incomplete,0.0,,Anthony Caserta,Incomplete,Connor Perez,,,,Kurt Voll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,FDU-Florham,D,FDU,1,,1.0,6.0,3.0,10.0,10.0,Pass,Incomplete,0.0,,Anthony Caserta,Incomplete,JeVaughn Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,15:00,1800,0,0,0,3,3,3,,,,,,,
9,FDU-Florham,K,FDU,1,,,,4.0,10.0,10.0,FG Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chris Dimedio,32.0,Good,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,FDU-Florham,K,FDU,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,Christian Riedinger,,,,,,,Matt Strong,18,30.0,Christian Korchma,53.0,12.0,Return,,,,,,,,,,,,,,,,,,,13:50,1730,3,0,-3,3,3,3,,,,,,,
11,FDU-Florham,O,USMMA,1,,1.0,1.0,0.0,10.0,-30.0,Run,Rush,10.0,Ian Blankenship,,,,,,,Marquez Haywood,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:50,1730,0,3,-3,3,3,3,offside,USMMA,,,,,
12,FDU-Florham,O,USMMA,1,,1.0,2.0,1.0,10.0,-40.0,Run,Rush,6.0,Matt Strong,,,,,,,Matthew Dougherty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:50,1730,0,3,-3,3,3,3,,,,,,,
13,FDU-Florham,O,USMMA,1,,1.0,3.0,2.0,4.0,-46.0,Run,Rush,9.0,Matthew Savard,,,,,,,Anthony Cuzzocrea,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:50,1730,0,3,-3,3,3,3,,,,,,,
14,FDU-Florham,O,USMMA,1,,1.0,4.0,1.0,10.0,45.0,Run,Rush,4.0,Matthew Savard,,,,,,,Kenny Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:50,1730,0,3,-3,3,3,3,,,,,,,
15,FDU-Florham,O,USMMA,1,,1.0,5.0,2.0,6.0,41.0,Run,Rush,5.0,Matthew Savard,,,,,,,Joseph Randazzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:50,1730,0,3,-3,3,3,3,,,,,,,
16,FDU-Florham,O,USMMA,1,,1.0,6.0,3.0,1.0,36.0,Pass,Incomplete,0.0,,Ian Blankenship,Incomplete,Talsen Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:50,1730,0,3,-3,3,3,3,,,,,,,
17,FDU-Florham,O,USMMA,1,,1.0,7.0,4.0,1.0,36.0,Run,Rush,3.0,Matthew Savard,,,,,,,Joseph Teresi,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:50,1730,0,3,-3,3,3,3,,,,,,,
18,FDU-Florham,O,USMMA,1,,1.0,8.0,1.0,10.0,33.0,Run,Rush,9.0,Matthew Savard,,,,,,,Joseph Randazzo,Jake Swindasz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:50,1730,0,3,-3,3,3,3,,,,,,,
