PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Averett,K,AU,1,,,,,,,KO Ret,Return,,,,,,,,,Lake Hojnacki,Nick Haitz,,,,,,K. Praylow,20,23.0,Will Caviness,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Averett,O,MUFB,1,,1.0,1.0,0.0,10.0,-23.0,Run,Rush,1.0,K. Pete,,,,,,,Damarius King,C. Showalter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Averett,O,MUFB,1,,1.0,2.0,2.0,9.0,-24.0,Pass,Complete,9.0,,B. Bullins,Complete,K. Praylow,,,,C. Showalter,D. Neufville,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Averett,O,MUFB,1,,1.0,3.0,1.0,10.0,-33.0,Pass,Complete,6.0,,B. Bullins,Complete,K. Pete,,,,Carey Dickinson,J. Terrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Averett,O,MUFB,1,,1.0,4.0,2.0,4.0,-39.0,Pass,Complete,20.0,,B. Bullins,Complete,X. McNeil,,,,Terrell England,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Averett,O,MUFB,1,,1.0,5.0,1.0,10.0,41.0,Pass,Complete,17.0,,B. Bullins,Complete,W. Thomas,,,,Adrian Earle,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Averett,O,MUFB,1,,1.0,6.0,1.0,10.0,24.0,Pass,Incomplete,0.0,,B. Bullins,Incomplete,W. Thomas,,,,Carey Dickinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Averett,O,MUFB,1,,1.0,7.0,2.0,10.0,24.0,Run,Rush,0.0,T. Eaddy,,,,,,,Adrian Earle,Nicholas Mintz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Averett,O,MUFB,1,,1.0,8.0,3.0,10.0,24.0,Pass,Incomplete,0.0,,B. Bullins,Incomplete,X. McNeil,,,,Terrell England,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,15:00,1800,0,0,0,3,3,3,pass interference,AU,Terrell England,,,,13.0
10,Averett,O,MUFB,1,,1.0,9.0,1.0,10.0,11.0,Pass,Complete,8.0,,B. Bullins,Complete,K. Pete,,,,Nicholas Mintz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
