PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,WASHU,K,WASHU,1,,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,,,,Chri Vartanian,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,WASHU,O,MILLIKIN,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,1.0,Matthe Salazar,,,,,,,,,,Jamel Streater,Matthew Schmal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,WASHU,O,MILLIKIN,1,,1.0,2.0,2.0,9.0,-26.0,Gold Zone,Pass,Incomplete,0.0,,,Aidan Lombardo,,,Incomplete,Leigh Nutall,,,,Brad Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,WASHU,O,MILLIKIN,1,,1.0,3.0,3.0,9.0,-26.0,Gold Zone,Pass,Incomplete,0.0,,,Aidan Lombardo,,,Incomplete,Jahlil Lipkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,WASHU,K,MILLIKIN,1,,,,4.0,9.0,-26.0,Gold Zone,Punt,Return,,,,,,,,,,,,Kenda Dehority,,,,,,,Toby Clark,6,47.0,,,,,,David Navarra,33.0,41.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,WASHU,D,WASHU,1,,1.0,1.0,0.0,10.0,-47.0,Go Zone,Pass,Complete,16.0,,,Matt Rush,,,Complete,Kenne Hamilton,,,,Alex Araiza,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:58,1738,0,0,0,3,3,3,,,,,,,
7,WASHU,D,WASHU,1,,1.0,2.0,1.0,10.0,37.0,Go Zone,Run,Rush,4.0,Kenne Hamilton,,,,,,,,,,Alex Araiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:58,1738,0,0,0,3,3,3,,,,,,,
8,WASHU,D,WASHU,1,,1.0,3.0,2.0,6.0,33.0,Take A Shot,Run,Rush,1.0,Matt Rush,,,,,,,,,,Chr Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:58,1738,0,0,0,3,3,3,,,,,,,
9,WASHU,D,WASHU,1,,1.0,4.0,3.0,5.0,32.0,Take A Shot,Run,Rush,3.0,Matt Rush,,,,,,,,,,Andrew Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:58,1738,0,0,0,3,3,3,,,,,,,
10,WASHU,D,WASHU,1,,1.0,5.0,4.0,2.0,29.0,Take A Shot,Pass,Incomplete,0.0,,,Matt Rush,,,Incomplete,Collin Hoyhtya,,,,Nickolas Burks,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,13:58,1738,0,0,0,3,3,3,offside,MILLIKIN,Keishon Tinon,,,,5.0
11,WASHU,D,WASHU,1,,1.0,6.0,1.0,10.0,24.0,Take A Shot,Run,Rush,2.0,Kenne Hamilton,,,,,,,,,,Josh Grant,Skylan Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:58,1738,0,0,0,3,3,3,,,,,,,
12,WASHU,D,WASHU,1,,1.0,7.0,2.0,8.0,22.0,Take A Shot,Pass,Incomplete,0.0,,,Matt Rush,,,Incomplete,Collin Hoyhtya,,,,Alexan Perkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:58,1738,0,0,0,3,3,3,,,,,,,
13,WASHU,D,WASHU,1,,1.0,8.0,3.0,8.0,22.0,Take A Shot,Pass,Incomplete,0.0,,,Matt Rush,,,Incomplete,Colli Goldberg,,,,Nickolas Burks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed FG,13:58,1738,0,0,0,3,3,3,,,,,,,
14,WASHU,K,WASHU,1,,,,4.0,8.0,22.0,Take A Shot,FG Block,No Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chri Vartanian,39.0,No Good,,,,,,,,,,13:58,1738,0,0,0,3,3,3,,,,,,,
15,WASHU,O,MILLIKIN,1,,2.0,1.0,0.0,10.0,-22.0,Coming Out,Pass,Interception,0.0,,,Aidan Lombardo,,,Interception,,,Sam Mattecheck,,,,,,,,,Sam Mattecheck,30,-30.0,,,,,,,,,,,,,,,,,,True,,,,TD,10:39,1539,0,0,0,3,3,3,,,,,,,
16,WASHU,K,WASHU,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chri Vartanian,,,Blocked,,,,,,,,,10:30,1530,6,0,-6,3,3,3,,,,,,,
17,WASHU,K,WASHU,1,,,,1.0,-35.0,-35.0,Gold Zone,KO Rec,Return,,,,,,,,,,,,Brady Willmer,,,,,,,Javieo Wallace,16,16.0,Chri Vartanian,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,10:30,1530,6,0,-6,3,3,3,,,,,,,
18,WASHU,O,MILLIKIN,1,,3.0,1.0,0.0,10.0,-16.0,Coming Out,Run,Rush,0.0,Aidan Lombardo,,,,,,,,,,Matthew Schmal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:26,1526,0,6,-6,3,3,3,,,,,,,
19,WASHU,O,MILLIKIN,1,,3.0,2.0,2.0,10.0,-16.0,Coming Out,Run,Rush,0.0,Aidan Lombardo,,,,,,,,,,,,True,Aidan Lombardo,,MILLIKIN,Matthe Salazar,,,,,,,,,,,,,,,,,,,,,,,,,,10:26,1526,0,6,-6,3,3,3,,,,,,,
20,WASHU,,MILLIKIN,1,,,,3.0,25.0,-1.0,Backed Up,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millikin,,,,,,,10:26,1526,0,6,-6,3,3,3,,,,,,,
21,WASHU,O,MILLIKIN,1,,3.0,3.0,3.0,25.0,-1.0,Backed Up,Pass,Sack,-1.0,,,Aidan Lombardo,,,Sack,,,,,Josh Hartman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Safety,09:40,1480,0,6,-6,2,2,3,,,,,,,
