PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Rhodes,K,RHODES,1,,,,,,,KO Ret,Return,,,,,,,,,Jake Duncan,,,,,,,Moise Tezzo,19,27.0,Wiley Henshaw,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Rhodes,O,MILLSAPS,1,,1.0,1.0,0.0,10.0,-27.0,Run,Rush,11.0,Montreal Felix,,,,,,,Jason Kusibab,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Rhodes,O,MILLSAPS,1,,1.0,2.0,1.0,10.0,-38.0,Run,Rush,8.0,Kaleb Thompson,,,,,,,Hart Penfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Rhodes,O,MILLSAPS,1,,1.0,3.0,2.0,2.0,-46.0,Pass,Incomplete,0.0,,Kaleb Thompson,Incomplete,,,,,Evan Byrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Rhodes,O,MILLSAPS,1,,1.0,4.0,3.0,2.0,-46.0,Run,Rush,16.0,Montreal Felix,,,,,,,Colby Cook,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Rhodes,O,MILLSAPS,1,,1.0,5.0,1.0,10.0,38.0,Run,Rush,1.0,Montreal Felix,,,,,,,Jake Duncan,N. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Rhodes,O,MILLSAPS,1,,1.0,6.0,2.0,9.0,37.0,Pass,Incomplete,0.0,,Kaleb Thompson,Incomplete,Moise Tezzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Rhodes,O,MILLSAPS,1,,1.0,7.0,3.0,9.0,37.0,Run,Rush,0.0,Montreal Felix,,,,,,,N. Harrell,Minh Giang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Rhodes,K,MILLSAPS,1,,,,4.0,9.0,37.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Ethan Klapatch,33.0,4.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Rhodes,D,RHODES,1,,1.0,1.0,0.0,10.0,-4.0,Run,Rush,-3.0,JaVon Cooper,,,,,,,Adrian Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:27,1587,0,0,0,3,3,3,,,,,,,
11,Rhodes,D,RHODES,1,,1.0,2.0,2.0,13.0,-1.0,Pass,Incomplete,0.0,,Luke Macias,Incomplete,Charlie Mackey,,,,Jacoby Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:27,1587,0,0,0,3,3,3,,,,,,,
12,Rhodes,D,RHODES,1,,1.0,3.0,3.0,13.0,-1.0,Pass,Incomplete,0.0,,Luke Macias,Incomplete,Charlie Mackey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:27,1587,0,0,0,3,3,3,,,,,,,
