PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Martin Luther,K,KNIGHTS,1,,,,,,,KO Ret,Return,,,,,,,,,Rees Roecker,,,,,,,Cole Mitchell,10,35.0,Josh Kehren,40.0,25.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Martin Luther,O,UMM,1,,1.0,1.0,0.0,10.0,-35.0,Run,Rush,3.0,Blake Johnson,,,,,,,Abel Bain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
3,Martin Luther,O,UMM,1,,1.0,2.0,2.0,7.0,-38.0,Pass,Complete,3.0,,Marcus Reeb,Complete,Garrett Elison,,,,Ben Washburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
4,Martin Luther,O,UMM,1,,1.0,3.0,3.0,4.0,-41.0,Pass,Incomplete,0.0,,Marcus Reeb,Incomplete,Dylan Naughton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:55,1795,0,0,0,3,3,3,,,,,,,
5,Martin Luther,K,UMM,1,,,,4.0,4.0,-41.0,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,C. Oldenburg,24.0,35.0,Fair Catch,,,,,,,,,,,,,,14:55,1795,0,0,0,3,3,3,,,,,,,
6,Martin Luther,D,KNIGHTS,1,,1.0,1.0,0.0,10.0,-35.0,Pass,Complete,5.0,,Max Nordlie,Complete,Mason Cox,,,,T. Penninger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
7,Martin Luther,D,KNIGHTS,1,,1.0,2.0,2.0,5.0,-40.0,Run,Rush,4.0,Carso Oestreich,,,,,,,Alex Emmrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
8,Martin Luther,D,KNIGHTS,1,,1.0,3.0,3.0,1.0,-44.0,Run,Rush,56.0,Carso Oestreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,13:26,1706,0,0,0,3,3,3,,,,,,,
9,Martin Luther,K,KNIGHTS,1,,,,1.0,3.0,3.0,Extra Pt. Block,Blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Kehren,,,Blocked,,,,,True,,,,12:02,1622,6,0,-6,3,3,3,offside defense,UMM,,,,,2.0
10,Martin Luther,K,KNIGHTS,1,,,,1.0,1.0,1.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Kehren,,,Good,,,,,,,,,12:02,1622,6,0,-6,3,3,3,,,,,,,
11,Martin Luther,K,KNIGHTS,1,,,,1.0,-35.0,-35.0,KO Ret,Return,,,,,,,,,David Baumann,Rees Roecker,,,,,,D. Donalson,20,37.0,Josh Kehren,48.0,17.0,Return,,,,,,,,,,,,,,,,,,,12:02,1622,7,0,-7,3,3,3,,,,,,,
12,Martin Luther,O,UMM,1,,2.0,1.0,0.0,10.0,-37.0,Run,Rush,2.0,Blake Johnson,,,,,,,Jon Vandenbosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:55,1615,0,7,-7,3,3,3,,,,,,,
13,Martin Luther,O,UMM,1,,2.0,2.0,2.0,8.0,-39.0,Run,Rush,9.0,Garrett Elison,,,,,,,Noah Nordlie,Jacob Lewis,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:55,1615,0,7,-7,3,3,3,,,,,,,
14,Martin Luther,O,UMM,1,,2.0,3.0,1.0,10.0,-48.0,Pass,Incomplete,0.0,,Marcus Reeb,Incomplete,Matt Laur,,,,Ben Riegsecker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:55,1615,0,7,-7,3,3,3,,,,,,,
15,Martin Luther,O,UMM,1,,2.0,4.0,2.0,10.0,-48.0,Run,Rush,2.0,Marcus Reeb,,,,,,,Aiden Holien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:55,1615,0,7,-7,3,3,3,,,,,,,
