PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Ripon College,K,MC,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Cody Szelc,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Ripon College,D,RC,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Incomplete,0.0,,Jarrett Zibert,Incomplete,Kapena Magsayo,,,,Andre Barnes Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Ripon College,D,RC,1,,1.0,2.0,2.0,10.0,-25.0,Run,Rush,0.0,Connor Ramage,,,,,,,K. Personett,Drake Dietrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Ripon College,D,RC,1,,1.0,3.0,3.0,10.0,-25.0,Pass,Complete,3.0,,Jarrett Zibert,Complete,Connor Ramage,,,,M. McMillan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Ripon College,K,RC,1,,,,4.0,7.0,-28.0,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Nate Crenshaw,23.0,49.0,Fair Catch,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Ripon College,O,MC,1,,1.0,1.0,0.0,10.0,-49.0,Run,Rush,-1.0,Devin Lawrence,,,,,,,Cincere Sanders,Brad Guell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
7,Ripon College,O,MC,1,,1.0,2.0,2.0,11.0,-48.0,Run,Rush,1.0,Devin Lawrence,,,,,,,Damean Netzler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
8,Ripon College,O,MC,1,,1.0,3.0,3.0,10.0,-49.0,Pass,Incomplete,0.0,,Carter Boyer,Incomplete,Nathan Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:26,1706,0,0,0,3,3,3,,,,,,,
9,Ripon College,K,MC,1,,,,4.0,10.0,-49.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Addi Fletcher,51.0,0.0,,,,,,,,,,,,,,,13:26,1706,0,0,0,3,3,3,,,,,,,
10,Ripon College,D,RC,1,,2.0,1.0,0.0,10.0,-20.0,Pass,Complete,3.0,,Jarrett Zibert,Complete,Walter Bryant,,,,Evan Otto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:58,1618,0,0,0,3,3,3,,,,,,,
11,Ripon College,D,RC,1,,2.0,2.0,2.0,7.0,-23.0,Run,Rush,0.0,Jaylend Brown,,,,,,,Justin Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:58,1618,0,0,0,3,3,3,,,,,,,
12,Ripon College,D,RC,1,,2.0,3.0,3.0,7.0,-23.0,Pass,Incomplete,0.0,,Jarrett Zibert,Incomplete,Jordan Tietz,,,,Caleb Endicott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:58,1618,0,0,0,3,3,3,,,,,,,
13,Ripon College,K,RC,1,,,,4.0,7.0,-23.0,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,Nate Crenshaw,24.0,-47.0,,,,,,,,,,,,,,,11:58,1618,0,0,0,3,3,3,,,,,,,
14,Ripon College,O,MC,1,,2.0,1.0,0.0,10.0,47.0,Run,Rush,9.0,Devin Lawrence,,,,,,,Seth Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:32,1532,0,0,0,3,3,3,,,,,,,
15,Ripon College,O,MC,1,,2.0,2.0,2.0,1.0,38.0,Pass,Incomplete,0.0,,Carter Boyer,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:32,1532,0,0,0,3,3,3,,,,,,,
16,Ripon College,O,MC,1,,2.0,3.0,3.0,1.0,38.0,Pass,Incomplete,0.0,,Carter Boyer,Incomplete,Nathan Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,10:32,1532,0,0,0,3,3,3,offside,RC,Damean Netzler,,,,5.0
17,Ripon College,O,MC,1,,2.0,4.0,1.0,10.0,33.0,Run,Rush,6.0,Devin Lawrence,,,,,,,Seth Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:32,1532,0,0,0,3,3,3,,,,,,,
18,Ripon College,O,MC,1,,2.0,5.0,2.0,4.0,27.0,Run,Rush,0.0,Devin Lawrence,,,,,,,Daylin Smith,Dylon Ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:32,1532,0,0,0,3,3,3,,,,,,,
19,Ripon College,O,MC,1,,2.0,6.0,3.0,4.0,27.0,Run,Rush,0.0,Devin Lawrence,,,,,,,Seth Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:32,1532,0,0,0,3,3,3,,,,,,,
20,Ripon College,O,MC,1,,2.0,7.0,4.0,4.0,27.0,Pass,Interception,0.0,,Carter Boyer,Interception,,,Daylin Smith,,,,,,,,,Daylin Smith,0,23.0,,,,,,,,,,,,,,,,,,,,,,Interception,10:32,1532,0,0,0,3,3,3,,,,,,,
21,Ripon College,D,RC,1,,3.0,1.0,0.0,10.0,-23.0,Pass,Incomplete,0.0,,Jarrett Zibert,Incomplete,Braden Folbrecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
22,Ripon College,D,RC,1,,3.0,2.0,2.0,10.0,-23.0,Run,Rush,24.0,Cormac Madigan,,,,,,,Andre Barnes Jr,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
23,Ripon College,D,RC,1,,3.0,3.0,1.0,10.0,-47.0,Run,Rush,3.0,Cormac Madigan,,,,,,,K Plattenberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
24,Ripon College,D,RC,1,,3.0,4.0,2.0,7.0,-50.0,Run,Rush,-1.0,Connor Ramage,,,,,,,M. McMillan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
25,Ripon College,D,RC,1,,3.0,5.0,3.0,8.0,-49.0,Pass,Complete,17.0,,Jarrett Zibert,Complete,Tiegan Bothun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
26,Ripon College,D,RC,1,,3.0,6.0,1.0,10.0,34.0,Pass,Complete,5.0,,Jarrett Zibert,Complete,Connor Ramage,,,,Andre Barnes Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
27,Ripon College,D,RC,1,,3.0,7.0,2.0,5.0,29.0,Run,Rush,9.0,Cormac Madigan,,,,,,,Justin Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
28,Ripon College,D,RC,1,,3.0,8.0,1.0,10.0,20.0,Run,Rush,2.0,Connor Ramage,,,,,,,Justin Douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
29,Ripon College,D,RC,1,,3.0,9.0,2.0,8.0,18.0,Run,Rush,1.0,Connor Ramage,,,,,,,Evan Otto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
30,Ripon College,D,RC,1,,3.0,10.0,3.0,7.0,17.0,Pass,Incomplete,0.0,,Jarrett Zibert,Incomplete,Cormac Madigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
31,Ripon College,D,RC,1,,3.0,11.0,4.0,7.0,17.0,Run,Rush,9.0,Jarrett Zibert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
32,Ripon College,D,RC,1,,3.0,12.0,1.0,8.0,8.0,Run,Rush,1.0,Cormac Madigan,,,,,,,Drake Dietrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
33,Ripon College,D,RC,1,,3.0,13.0,2.0,7.0,7.0,Pass,Incomplete,0.0,,Jarrett Zibert,Incomplete,Kevin Thao,,,,Tevin Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:50,1370,0,0,0,3,3,3,,,,,,,
34,Ripon College,D,RC,1,,3.0,14.0,3.0,7.0,7.0,Pass,Complete,7.0,,Jarrett Zibert,Complete,Braden Folbrecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,07:50,1370,0,0,0,3,3,3,,,,,,,
