PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,TCNJ,K,TCNJ,1,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,Bobby Wortman,0.0,-35.0,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,offside defense,TCNJ,Nick Recine,,,,5.0
2,TCNJ,K,TCNJ,1,,,,,,,KO Rec,Return,,,,,,,,,Justin Dailey,,,,,,,Robert Sutton,25,36.0,Bobby Wortman,59.0,11.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,TCNJ,O,MSU,1,,1.0,1.0,0.0,10.0,-36.0,Run,Rush,3.0,Abellany Mendez,,,,,,,Cole Groschel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:46,1786,0,0,0,3,3,3,,,,,,,
4,TCNJ,O,MSU,1,,1.0,2.0,2.0,7.0,-39.0,Run,Rush,8.0,Abellany Mendez,,,,,,,Sal Tardogno,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:46,1786,0,0,0,3,3,3,,,,,,,
5,TCNJ,O,MSU,1,,1.0,3.0,1.0,10.0,-47.0,Run,Rush,2.0,Ja'Quill Burch,,,,,,,Sal Tardogno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:46,1786,0,0,0,3,3,3,,,,,,,
6,TCNJ,O,MSU,1,,1.0,4.0,2.0,8.0,-49.0,Pass,Complete,4.0,,,Complete,Eric Cowan,,,,Gavin Liepe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:46,1786,0,0,0,3,3,3,,,,,,,
7,TCNJ,O,MSU,1,,1.0,5.0,3.0,4.0,47.0,Run,Rush,-2.0,Abellany Mendez,,,,,,,Gavin Liepe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:46,1786,0,0,0,3,3,3,,,,,,,
8,TCNJ,K,MSU,1,,,,4.0,6.0,49.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,2.0,,,,,,,,,,,,,,,14:46,1786,0,0,0,3,3,3,,,,,,,
9,TCNJ,D,TCNJ,1,,1.0,1.0,0.0,10.0,-2.0,Run,Rush,1.0,Nichol Chambers,,,,,,,Dimitri Pali,Dominic Ferrara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:17,1577,0,0,0,3,3,3,,,,,,,
10,TCNJ,D,TCNJ,1,,1.0,2.0,2.0,9.0,-3.0,Pass,Incomplete,0.0,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:17,1577,0,0,0,3,3,3,,,,,,,
