PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Union (NY),K,MOR,1,,,,,,,KO,Return,,,,,,,,,Joe Miller-Labar,,,,,,,Kevin Rabacs,37,40.0,Owen Cole,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Union (NY),D,UNI,1,,1.0,1.0,0.0,10.0,-40.0,Pass,Complete,8.0,,Will Bellamy,Complete,Andre Ross Jr.,,,,Joe Miller-Labar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,Holding,UNI,Kevin Dewing,,,,11.0
3,Union (NY),D,UNI,1,,1.0,2.0,1.0,13.0,-37.0,Run,Rush,9.0,Ike Irabor,,,,,,,Philemon Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Union (NY),D,UNI,1,,1.0,3.0,2.0,4.0,-46.0,Pass,Complete,24.0,,Will Bellamy,Complete,Andre Ross Jr.,,,,Ernesto Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Union (NY),D,UNI,1,,1.0,4.0,1.0,10.0,30.0,Run,Rush,2.0,Ike Irabor,,,,,,,Ernesto Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Union (NY),D,UNI,1,,1.0,5.0,2.0,8.0,28.0,Run,Rush,3.0,Ike Irabor,,,,,,,Ernesto Mitchell,Johnny Vigliotti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
7,Union (NY),D,UNI,1,,1.0,6.0,3.0,5.0,25.0,Pass,Complete,25.0,,Will Bellamy,Complete,Robbie Tolbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,14:52,1792,0,0,0,3,3,3,,,,,,,
8,Union (NY),K,UNI,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Lau,,,Good,,,,,,,,,12:28,1648,6,0,-6,3,3,3,,,,,,,
9,Union (NY),K,UNI,1,,,,1.0,10.0,-35.0,KO Rec,Touchback,,,,,,,,,,,,,,,,,,,Andrew Lau,65.0,0.0,Touchback,,,,,,,,,,,,,,,,,,,12:28,1648,7,0,-7,3,3,3,,,,,,,
10,Union (NY),O,MOR,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,0.0,Justin Donnelly,,,,,,,Diavon Clements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:28,1648,0,7,-7,3,3,3,,,,,,,
11,Union (NY),O,MOR,1,,1.0,2.0,2.0,10.0,-25.0,Run,Rush,-2.0,Jarrell Chaney,,,,,,,Colin Lama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:28,1648,0,7,-7,3,3,3,,,,,,,
12,Union (NY),O,MOR,1,,1.0,3.0,3.0,12.0,-23.0,Pass,Complete,10.0,,Alek Britten,Complete,Justin Donnelly,,,,Cam Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:28,1648,0,7,-7,3,3,3,,,,,,,
13,Union (NY),K,MOR,1,,,,4.0,2.0,-33.0,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Hunter Regels,35.0,32.0,Out of bounds,,,,,,,,,,,,,,12:28,1648,0,7,-7,3,3,3,,,,,,,
14,Union (NY),D,UNI,1,,2.0,1.0,0.0,10.0,-32.0,Run,Rush,2.0,Griff Wallner,,,,,,,Philemon Benjamin,Bromwell Roach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:31,1531,7,0,-7,3,3,3,,,,,,,
15,Union (NY),D,UNI,1,,2.0,2.0,2.0,8.0,-34.0,Pass,Complete,54.0,,Will Bellamy,Complete,Andre Ross Jr.,,,,Deondrade Wells,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,10:31,1531,7,0,-7,3,3,3,,,,,,,
16,Union (NY),D,UNI,1,,2.0,3.0,1.0,10.0,12.0,Run,Rush,3.0,Griff Wallner,,,,,,,Philemon Benjamin,Eddon Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:31,1531,7,0,-7,3,3,3,,,,,,,
17,Union (NY),,UNI,1,,,,1.0,10.0,12.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morrisville St.,,,,,,,10:31,1531,7,0,-7,3,3,3,,,,,,,
18,Union (NY),D,UNI,1,,2.0,4.0,2.0,7.0,9.0,Run,Rush,5.0,Griff Wallner,,,,,,,Ernesto Mitchell,Joe Miller-Labar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:22,1462,7,0,-7,2,3,2,,,,,,,
19,Union (NY),D,UNI,1,,2.0,5.0,3.0,2.0,4.0,Pass,Sack,-3.0,,Will Bellamy,Sack,,,,,Eddon Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,09:22,1462,7,0,-7,2,3,2,Offside,MOR,Eddon Gordon,,,,1.0
20,Union (NY),D,UNI,1,,2.0,6.0,3.0,1.0,3.0,Run,Rush,3.0,Ike Irabor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,09:22,1462,7,0,-7,2,3,2,,,,,,,
21,Union (NY),K,UNI,1,,,,1.0,3.0,3.0,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew Lau,,,Good,,,,,,,,,08:28,1408,13,0,-13,2,3,2,,,,,,,
22,Union (NY),K,UNI,1,,,,1.0,10.0,-35.0,KO Rec,Return,,,,,,,,,Seth Bartkoski,,,,,,,Toure Hall,28,29.0,Andrew Lau,64.0,1.0,Return,,,,,,,,,,,,,,,,,,,08:28,1408,14,0,-14,2,3,2,,,,,,,
23,Union (NY),O,MOR,1,,2.0,1.0,0.0,10.0,-29.0,Pass,Complete,10.0,,Alek Britten,Complete,Kade Gabler,,,,Cam Adams,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:22,1402,0,14,-14,2,2,3,,,,,,,
24,Union (NY),O,MOR,1,,2.0,2.0,1.0,10.0,-39.0,Run,Rush,1.0,Frankie McFadden,,,,,,,Colin Lama,Tommy Cavallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:22,1402,0,14,-14,2,2,3,,,,,,,
25,Union (NY),O,MOR,1,,2.0,3.0,2.0,9.0,-40.0,Run,Rush,1.0,Frankie McFadden,,,,,,,Tommy Cavallo,Jimaar Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:22,1402,0,14,-14,2,2,3,,,,,,,
