PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Kean,K,COUGARS,1,,,,,,,,KO Rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Kean,K,COUGARS,1,,,,,,,,KO Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,Geor Chrissafis,62.0,23.0,Out of bounds,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Kean,O,MORR2022,1,,1.0,1.0,0.0,10.0,35.0,Take A Shot,Pass,Complete,1.0,,,,,,Complete,Jarrell Chaney,,,,Joel Anaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Kean,O,MORR2022,1,,1.0,2.0,2.0,9.0,36.0,Go Zone,Run,Rush,2.0,Jarrell Chaney,left,,,,,,,,,Kyeon Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:12,1752,0,0,0,3,3,3,,,,,,,
5,Kean,O,MORR2022,1,,1.0,3.0,3.0,7.0,38.0,Go Zone,Pass,Incomplete,0.0,,,,,,Incomplete,Justin Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:12,1752,0,0,0,3,3,3,,,,,,,
6,Kean,K,MORR2022,1,,,,4.0,7.0,38.0,Go Zone,Punt,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunter Regels,35.0,27.0,Out of bounds,,,,,,,,,,,,,,14:12,1752,0,0,0,3,3,3,,,,,,,
7,Kean,D,COUGARS,1,,1.0,1.0,0.0,10.0,-27.0,Gold Zone,Run,Rush,0.0,Donte Jamison,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:16,1696,0,0,0,3,3,3,,,,,,,
8,Kean,D,COUGARS,1,,1.0,2.0,2.0,10.0,-27.0,Gold Zone,Run,Rush,6.0,Donte Jamison,left,,,,,,,,,David Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:16,1696,0,0,0,3,3,3,,,,,,,
9,Kean,D,COUGARS,1,,1.0,3.0,3.0,4.0,-33.0,Gold Zone,Run,Rush,2.0,Patrick Beltran,middle,,,,,,,,,Joey Pullar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:16,1696,0,0,0,3,3,3,,,,,,,
10,Kean,,COUGARS,1,,,,4.0,2.0,-35.0,Gold Zone,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNY Morrisville,,,,,,,13:16,1696,0,0,0,3,3,3,,,,,,,
11,Kean,K,COUGARS,1,,,,4.0,2.0,-35.0,Gold Zone,Punt Rec,Return,,,,,,,,,,,,TEAM,,,,,,,Aidan McDonald,0,20.0,,,,,,Nick Firth,45.0,20.0,Return,,,,,,,,,,,,,,11:37,1597,0,0,0,2,3,2,,,,,,,
12,Kean,O,MORR2022,1,,2.0,1.0,0.0,10.0,10.0,Red Zone,Pass,Incomplete,0.0,,,,,,Incomplete,Joey Chirurgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,0,0,2,2,3,,,,,,,
13,Kean,O,MORR2022,1,,2.0,2.0,2.0,10.0,10.0,Red Zone,Pass,Complete,6.0,,,,,,Complete,Jarrell Chaney,,,,Kyeon Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:37,1597,0,0,0,2,2,3,,,,,,,
