PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wilmington (Ohio),K,MTU,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Nick Deack,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wilmington (Ohio),D,WC,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,24.0,,Derek Larimer,Complete,Itika Wynn,,,,Mason McMillen,Malik Britt,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Wilmington (Ohio),D,WC,1,,1.0,2.0,1.0,10.0,-49.0,Run,Rush,4.0,Derek Larimer,,,,,,,Carson Kovath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Wilmington (Ohio),D,WC,1,,1.0,3.0,2.0,6.0,47.0,Pass,Complete,8.0,,Derek Larimer,Complete,Ace Taylor,,,,Malik Britt,Mason McMillen,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Wilmington (Ohio),D,WC,1,,1.0,4.0,1.0,10.0,39.0,Run,Rush,1.0,Ben Hobbs,,,,,,,Carson Kovath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Wilmington (Ohio),D,WC,1,,1.0,5.0,2.0,9.0,38.0,Run,Rush,1.0,Ben Hobbs,,,,,,,Carson Kovath,Kordell Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,holding,WC,Ben Petrey,,,,10.0
7,Wilmington (Ohio),D,WC,1,,1.0,6.0,2.0,19.0,48.0,Pass,Complete,3.0,,Derek Larimer,Complete,Itika Wynn,,,,Marcus Saahir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Wilmington (Ohio),D,WC,1,,1.0,7.0,3.0,16.0,45.0,Pass,Incomplete,0.0,,Derek Larimer,Incomplete,Ace Taylor,,,,Malik Britt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Wilmington (Ohio),K,WC,1,,,,4.0,16.0,45.0,Punt Rec,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Derek Larimer,20.0,25.0,Out of bounds,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Wilmington (Ohio),O,MTU,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,5.0,DeAndre Parker,,,,,,,Joey Weikel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:45,1605,0,0,0,3,3,3,,,,,,,
11,Wilmington (Ohio),O,MTU,1,,1.0,2.0,2.0,5.0,-30.0,Pass,Complete,26.0,,Braxton Plunk,Complete,Wayne Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:45,1605,0,0,0,3,3,3,,,,,,,
12,Wilmington (Ohio),O,MTU,1,,1.0,3.0,1.0,10.0,44.0,Run,Rush,4.0,DeAndre Parker,,,,,,,Jarod Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:45,1605,0,0,0,3,3,3,,,,,,,
13,Wilmington (Ohio),O,MTU,1,,1.0,4.0,2.0,6.0,40.0,Pass,Complete,6.0,,Braxton Plunk,Complete,Wayne Ruby,,,,Jalaun Covingto,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:45,1605,0,0,0,3,3,3,,,,,,,
14,Wilmington (Ohio),O,MTU,1,,1.0,5.0,1.0,10.0,34.0,Pass,Incomplete,0.0,,Braxton Plunk,Incomplete,Wayne Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,11:45,1605,0,0,0,3,3,3,roughing passer,WC,Brandon Weaver,,,,15.0
15,Wilmington (Ohio),O,MTU,1,,1.0,6.0,1.0,10.0,19.0,Run,Rush,19.0,DeAndre Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,11:45,1605,0,0,0,3,3,3,,,,,,,
16,Wilmington (Ohio),K,MTU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Deack,,,Good,,,,,,,,,09:17,1457,6,0,6,3,3,3,,,,,,,
17,Wilmington (Ohio),K,MTU,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Aaron Hawk,,,,,,,Tre'Quez Parks,29,39.0,Nick Deack,55.0,10.0,Return,,,,,,,,,,,,,,,,,,,09:17,1457,7,0,7,3,3,3,,,,,,,
18,Wilmington (Ohio),D,WC,1,,2.0,1.0,0.0,10.0,-39.0,Pass,Complete,5.0,,Derek Larimer,Complete,Ace Taylor,,,,Malik Britt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:08,1448,0,7,7,3,3,3,,,,,,,
19,Wilmington (Ohio),D,WC,1,,2.0,2.0,2.0,5.0,-44.0,Pass,Incomplete,0.0,,Derek Larimer,Incomplete,Ace Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:08,1448,0,7,7,3,3,3,,,,,,,
20,Wilmington (Ohio),D,WC,1,,2.0,3.0,3.0,5.0,-44.0,Pass,Incomplete,0.0,,Derek Larimer,Incomplete,Gavin Foushee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:08,1448,0,7,7,3,3,3,,,,,,,
21,Wilmington (Ohio),K,WC,1,,,,4.0,5.0,-44.0,Punt Rec,Return,,,,,,,,,Na'Zere Neal,,,,,,,Robby Kirchner,,15.0,,,,,,Aaron Pardo,40.0,16.0,Return,,,,,,,,,,,,,,09:08,1448,0,7,7,3,3,3,,,,,,,
22,Wilmington (Ohio),O,MTU,1,,2.0,1.0,0.0,10.0,-15.0,Pass,Complete,16.0,,Braxton Plunk,Complete,Ulice Gillard,,,,Xzerious Stinne,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:27,1407,7,0,7,3,3,3,,,,,,,
23,Wilmington (Ohio),O,MTU,1,,2.0,2.0,1.0,10.0,-31.0,Run,Rush,59.0,J. Petruccelli,,,,,,,Jake Sheriff,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:27,1407,7,0,7,3,3,3,,,,,,,
24,Wilmington (Ohio),O,MTU,1,,2.0,3.0,1.0,10.0,10.0,Pass,Incomplete,0.0,,Braxton Plunk,Incomplete,Jaden Manley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:27,1407,7,0,7,3,3,3,,,,,,,
25,Wilmington (Ohio),,MTU,1,,,,2.0,10.0,10.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:27,1407,7,0,7,3,3,3,false start,MTU,Jonathan Bisono,,,,5.0
26,Wilmington (Ohio),O,MTU,1,,2.0,4.0,2.0,15.0,15.0,Pass,Incomplete,0.0,,Braxton Plunk,Incomplete,Evan Weygandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:27,1407,7,0,7,3,3,3,,,,,,,
27,Wilmington (Ohio),O,MTU,1,,2.0,5.0,3.0,15.0,15.0,Pass,Sack,-8.0,,Braxton Plunk,Sack,,,,,Jarod Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:27,1407,7,0,7,3,3,3,,,,,,,
28,Wilmington (Ohio),O,MTU,1,,2.0,6.0,4.0,23.0,23.0,Pass,Complete,23.0,,Braxton Plunk,Complete,Ulice Gillard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,08:27,1407,7,0,7,3,3,3,,,,,,,
29,Wilmington (Ohio),K,MTU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Deack,,,Good,,,,,,,,,06:16,1276,13,0,13,3,3,3,,,,,,,
30,Wilmington (Ohio),K,MTU,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,KJ Redmon,,,,,,,Ameer Jackson,18,30.0,Drew Alessandro,53.0,12.0,Return,,,,,,,,,,,,,,,,,,,06:16,1276,14,0,14,3,3,3,,,,,,,
31,Wilmington (Ohio),D,WC,1,,3.0,1.0,0.0,10.0,-30.0,Run,Rush,2.0,Dallas Rawlings,,,,,,,Carson Kovath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:10,1270,0,14,14,3,3,3,,,,,,,
32,Wilmington (Ohio),D,WC,1,,3.0,2.0,2.0,8.0,-32.0,Pass,Incomplete,0.0,,Derek Larimer,Incomplete,Itika Wynn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:10,1270,0,14,14,3,3,3,,,,,,,
33,Wilmington (Ohio),D,WC,1,,3.0,3.0,3.0,8.0,-32.0,Pass,Incomplete,0.0,,Derek Larimer,Incomplete,Ace Taylor,,,,Jalen Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,06:10,1270,0,14,14,3,3,3,,,,,,,
34,Wilmington (Ohio),K,WC,1,,,,4.0,8.0,-32.0,Punt Rec,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Aaron Pardo,34.0,34.0,Fair Catch,,,,,,,,,,,,,,06:10,1270,0,14,14,3,3,3,,,,,,,
35,Wilmington (Ohio),O,MTU,1,,3.0,1.0,0.0,10.0,-34.0,Run,Rush,0.0,DeAndre Parker,,,,,,,Perry Gardiner,Xzerious Stinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:12,1212,14,0,14,3,3,3,,,,,,,
36,Wilmington (Ohio),O,MTU,1,,3.0,2.0,2.0,10.0,-34.0,Pass,Incomplete,0.0,,Braxton Plunk,Incomplete,Wayne Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:12,1212,14,0,14,3,3,3,,,,,,,
37,Wilmington (Ohio),O,MTU,1,,3.0,3.0,3.0,10.0,-34.0,Pass,Complete,11.0,,Braxton Plunk,Complete,Derrick Harvey,,,,Tre'Quez Parks,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:12,1212,14,0,14,3,3,3,,,,,,,
38,Wilmington (Ohio),O,MTU,1,,3.0,4.0,1.0,10.0,-45.0,Run,Rush,2.0,DeAndre Parker,,,,,,,Zack Radabaugh,Quentin Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:12,1212,14,0,14,3,3,3,,,,,,,
39,Wilmington (Ohio),O,MTU,1,,3.0,5.0,2.0,8.0,-47.0,Pass,Incomplete,0.0,,Braxton Plunk,Incomplete,Wayne Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:12,1212,14,0,14,3,3,3,,,,,,,
40,Wilmington (Ohio),O,MTU,1,,3.0,6.0,3.0,8.0,-47.0,Pass,Complete,9.0,,Braxton Plunk,Complete,Jaden Manley,,,,Tre'Quez Parks,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:12,1212,14,0,14,3,3,3,,,,,,,
41,Wilmington (Ohio),O,MTU,1,,3.0,7.0,1.0,10.0,44.0,Pass,Complete,22.0,,Braxton Plunk,Complete,Jaden Manley,,,,Austin Aiello,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,05:12,1212,14,0,14,3,3,3,,,,,,,
42,Wilmington (Ohio),O,MTU,1,,3.0,8.0,1.0,10.0,22.0,Pass,Complete,4.0,,Braxton Plunk,Complete,Jaden Manley,,,,Quentin Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:12,1212,14,0,14,3,3,3,,,,,,,
43,Wilmington (Ohio),O,MTU,1,,3.0,9.0,2.0,6.0,18.0,Run,Rush,3.0,DeAndre Parker,,,,,,,Tre'Quez Parks,James Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:12,1212,14,0,14,3,3,3,,,,,,,
44,Wilmington (Ohio),O,MTU,1,,3.0,10.0,3.0,3.0,15.0,Pass,Complete,15.0,,Braxton Plunk,Complete,Wayne Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,05:12,1212,14,0,14,3,3,3,,,,,,,
45,Wilmington (Ohio),K,MTU,1,,,,1.0,3.0,3.0,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick Deack,,,Good,,,,,,,,,00:11,911,20,0,20,3,3,3,,,,,,,
46,Wilmington (Ohio),K,MTU,1,,,,1.0,-35.0,-35.0,KO,Return,,,,,,,,,Lance Mitchell,,,,,,,Ameer Jackson,23,34.0,Drew Alessandro,54.0,11.0,Return,,,,,,,,,,,,,,,,,,,00:11,911,21,0,21,3,3,3,,,,,,,
47,Wilmington (Ohio),D,WC,1,,4.0,1.0,0.0,10.0,-34.0,Pass,Complete,4.0,,Derek Larimer,Complete,Gavin Foushee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:06,906,0,21,21,3,3,3,,,,,,,
48,Wilmington (Ohio),D,WC,2,,4.0,2.0,2.0,6.0,-38.0,Run,Rush,10.0,Ben Hobbs,,,,,,,Mason McMillen,Marcus Saahir,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,900,0,21,21,3,3,3,,,,,,,
49,Wilmington (Ohio),D,WC,2,,4.0,3.0,1.0,10.0,-48.0,Run,Rush,-2.0,Ben Hobbs,,,,,,,Eli Beers,Carson Kovath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,21,21,3,3,3,,,,,,,
50,Wilmington (Ohio),D,WC,2,,4.0,4.0,2.0,12.0,-46.0,Pass,Complete,5.0,,Derek Larimer,Complete,Ace Taylor,,,,Carson Kovath,Jesse Vail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,21,21,3,3,3,,,,,,,
51,Wilmington (Ohio),D,WC,2,,4.0,5.0,3.0,7.0,49.0,Pass,Complete,2.0,,Derek Larimer,Complete,Itika Wynn,,,,Mason McMillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,900,0,21,21,3,3,3,,,,,,,
52,Wilmington (Ohio),,WC,2,,,,4.0,5.0,47.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,900,0,21,21,3,3,3,delay of game,WC,Derek Larimer,,,,5.0
53,Wilmington (Ohio),K,WC,2,,,,4.0,10.0,-48.0,Punt Rec,Return,,,,,,,,,Jamaun Clark,,,,,,,Robby Kirchner,15,30.0,,,,,,Derek Larimer,37.0,15.0,Return,,,,,,,,,,,,,,15:00,900,0,21,21,3,3,3,personal foul,WC,Caleb Deaver,,,,15.0
54,Wilmington (Ohio),O,MTU,2,,4.0,1.0,0.0,10.0,-45.0,Run,Rush,1.0,J. Petruccelli,,,,,,,Tre'Quez Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,11:31,691,21,0,21,3,3,3,illegal block,MTU,Jaden Manley,,,,10.0
55,Wilmington (Ohio),O,MTU,2,,4.0,2.0,1.0,20.0,-35.0,Run,Rush,3.0,J. Petruccelli,,,,,,,Xzerious Stinne,Kaleb Easley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:31,691,21,0,21,3,3,3,,,,,,,
56,Wilmington (Ohio),O,MTU,2,,4.0,3.0,2.0,17.0,-38.0,Pass,Incomplete,0.0,,Braxton Plunk,Incomplete,J. Petruccelli,,,,Xzerious Stinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:31,691,21,0,21,3,3,3,,,,,,,
57,Wilmington (Ohio),O,MTU,2,,4.0,4.0,3.0,17.0,-38.0,Pass,Complete,2.0,,Braxton Plunk,Complete,J. Petruccelli,,,,Jake Sheriff,Jarod Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:31,691,21,0,21,3,3,3,,,,,,,
58,Wilmington (Ohio),K,MTU,2,,,,4.0,15.0,-40.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,T. Piccirillo,50.0,10.0,,,,,,,,,,,,,,,11:31,691,21,0,21,3,3,3,,,,,,,
59,Wilmington (Ohio),D,WC,2,,5.0,1.0,0.0,10.0,-10.0,Run,Rush,0.0,Tyreeq Nebbitt,,,,,,,Eli Beers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:27,567,0,21,21,3,3,3,,,,,,,
60,Wilmington (Ohio),D,WC,2,,5.0,2.0,2.0,10.0,-10.0,Run,Rush,-3.0,Derek Larimer,,,,,,,Duke Hill,Kordell Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:27,567,0,21,21,3,3,3,,,,,,,
61,Wilmington (Ohio),D,WC,2,,5.0,3.0,3.0,13.0,-7.0,Pass,Incomplete,0.0,,Derek Larimer,Incomplete,Ace Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,09:27,567,0,21,21,3,3,3,,,,,,,
62,Wilmington (Ohio),K,WC,2,,,,4.0,13.0,-7.0,Punt Rec,Return,,,,,,,,,James Crowder,,,,,,,Robby Kirchner,7,-30.0,,,,,,Aaron Pardo,30.0,-37.0,Return,,,,,,,,,,,,,,09:27,567,0,21,21,3,3,3,,,,,,,
63,Wilmington (Ohio),O,MTU,2,,5.0,1.0,0.0,10.0,30.0,Pass,Complete,16.0,,Braxton Plunk,Complete,Derrick Harvey,,,,Quentin Davis,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,07:50,470,21,0,21,3,3,3,,,,,,,
64,Wilmington (Ohio),,MTU,2,,,,1.0,10.0,14.0,Timeout,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mount Union,,,,,,,07:50,470,21,0,21,3,3,3,,,,,,,
65,Wilmington (Ohio),O,MTU,2,,5.0,2.0,1.0,10.0,14.0,Pass,Complete,1.0,,Braxton Plunk,Complete,DeAndre Parker,,,,Austin Aiello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:08,428,21,0,21,2,2,3,,,,,,,
