PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Ursinus,K,MUHL,1,,,,,,,,KO,Return,,,,,,,,,,,,Owen Daddona,John Lohrer,,,,,,Nick Schnaars,19,27.0,C Fenstermaker,57.0,8.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Ursinus,D,UC,1,,1.0,1.0,0.0,10.0,-27.0,Gold Zone,Run,Rush,7.0,Tony Holden,,,,,,,,,,Tyler Ekstrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
3,Ursinus,D,UC,1,,1.0,2.0,2.0,3.0,-34.0,Gold Zone,Run,Rush,7.0,Tony Holden,,,,,,,,,,Kyle Dormer,Owen Daddona,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
4,Ursinus,D,UC,1,,1.0,3.0,1.0,10.0,-41.0,Gold Zone,Pass,Incomplete,0.0,,,Jack Psenicska,,,Incomplete,Octavious Carte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
5,Ursinus,D,UC,1,,1.0,4.0,2.0,10.0,-41.0,Gold Zone,Run,Rush,5.0,Tony Holden,,,,,,,,,,John Lohrer,Owen Daddona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
6,Ursinus,D,UC,1,,1.0,5.0,3.0,5.0,-46.0,Go Zone,Pass,Incomplete,0.0,,,Jack Psenicska,,,Incomplete,Kevin DePrince,,,,Dom Visintin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:52,1792,0,0,0,3,3,3,,,,,,,
7,Ursinus,K,UC,1,,,,4.0,5.0,-46.0,Go Zone,Punt Rec,Blocked,,,,,,,,,,,,Ryan DiVergilis,,,,,,,Dom Visintin,0,35.0,,,,,,Billy Cook,19.0,35.0,Blocked,Alex Batista,,,,,,,,,,,,,14:52,1792,0,0,0,3,3,3,,,,,,,
8,Ursinus,O,MUHL,1,,1.0,1.0,0.0,10.0,-35.0,Gold Zone,Run,Rush,4.0,Ethan Brader,,,,,,,,,,Ethan Belville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
9,Ursinus,O,MUHL,1,,1.0,2.0,2.0,6.0,-39.0,Gold Zone,Pass,Complete,2.0,,,Joe Repetti,,,Complete,Thomas Jenkins,,,,Jack Ginley III,Brett Gross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:52,1672,0,0,0,3,3,3,,,,,,,
10,Ursinus,O,MUHL,1,,1.0,3.0,3.0,4.0,-41.0,Gold Zone,Pass,Complete,5.0,,,Joe Repetti,,,Complete,Michael Feaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,12:52,1672,0,0,0,3,3,3,Not found,UC,,Not found,MUHL,,
