PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Ohio Northern,K,ONU,1,,,,,,,KO Ret,Return,,,,,,,,,Hunter Kesler,,,,,,,Travis Roberson,9,12.0,Dom DiFalco,62.0,3.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Ohio Northern,O,MUSK,1,,1.0,1.0,0.0,10.0,-12.0,Run,Rush,0.0,Donny Wilkinson,,,,,,,Johnny Rupp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Ohio Northern,O,MUSK,1,,1.0,2.0,2.0,10.0,-12.0,Pass,Complete,4.0,,Jordan Garrett,Complete,Gannon Unger,,,,Peyton Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Ohio Northern,O,MUSK,1,,1.0,3.0,3.0,6.0,-16.0,Pass,Complete,11.0,,Jordan Garrett,Complete,Zuri Edmondson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Ohio Northern,O,MUSK,1,,1.0,4.0,1.0,10.0,-27.0,Run,Rush,5.0,Donny Wilkinson,,,,,,,Matt Eller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Ohio Northern,O,MUSK,1,,1.0,5.0,2.0,5.0,-32.0,Pass,Complete,14.0,,Jordan Garrett,Complete,Donny Wilkinson,,,,Jevon Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Ohio Northern,O,MUSK,1,,1.0,6.0,1.0,10.0,-46.0,Run,Rush,5.0,Donny Wilkinson,,,,,,,Peyton Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Ohio Northern,O,MUSK,1,,1.0,7.0,2.0,5.0,49.0,Run,Rush,14.0,Donny Wilkinson,,,,,,,Johnny Rupp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Ohio Northern,O,MUSK,1,,1.0,8.0,1.0,10.0,35.0,Pass,Complete,10.0,,Jordan Garrett,Complete,Gage Wilder,,,,Jevon Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Ohio Northern,O,MUSK,1,,1.0,9.0,1.0,10.0,25.0,Pass,Incomplete,0.0,,Jordan Garrett,Incomplete,Travanti Keitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
