PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Mount Union,K,MUSK,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,C. Scozzafava,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Mount Union,D,MTU,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,9.0,,Braxton pass Plunk,Complete,Deandre for Parker,,,,Devin Roebuck,Cedric Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Mount Union,D,MTU,1,,1.0,2.0,2.0,1.0,-34.0,Pass,Complete,56.0,,Braxton pass Plunk,Complete,Jaden for Manley,,,,Cedric Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Mount Union,D,MTU,1,,1.0,3.0,1.0,10.0,10.0,Run,Rush,10.0,Deandre rush Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Mount Union,K,MTU,1,,,,,,,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nick kick Deack,,,Good,,,,,,,,,13:40,1720,6,0,-6,3,3,3,,,,,,,
6,Mount Union,K,MTU,1,,,,,,,KO Ret,Fair Catch,,,,,,,,,,,,,,,,,,,Nick kickoff Deack,60.0,5.0,Fair Catch,,,,,,,,,,,,,,,,,,,13:40,1720,7,0,-7,3,3,3,,,,,,,
7,Mount Union,O,MUSK,1,,1.0,1.0,0.0,10.0,-5.0,Pass,Incomplete,0.0,,Jordan Garrett,Incomplete,Travanti Keitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:40,1720,0,7,-7,3,3,3,,,,,,,
8,Mount Union,O,MUSK,1,,1.0,2.0,2.0,10.0,-5.0,Run,Rush,23.0,Gannon Unger,,,,,,,Carson Kovath,Mason McMillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:40,1720,0,7,-7,3,3,3,,,,,,,
9,Mount Union,O,MUSK,1,,1.0,3.0,1.0,10.0,-28.0,Pass,Complete,4.0,,Jordan Garrett,Complete,Gannon Unger,,,,Josh Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:40,1720,0,7,-7,3,3,3,,,,,,,
10,Mount Union,K,MUSK,1,,,,2.0,6.0,-32.0,Punt,,,,,,,,,,,,,,,,,,,,,,,,,C. Scozzafava,44.0,24.0,,,,,,,,,,,,,,,13:40,1720,0,7,-7,3,3,3,,,,,,,
