PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Curry,K,NIC,1,,,,,,,KO,Return,,,,,,,,,Dylan Nees-Fair,,,,,,,Angel Martinez,14,34.0,V. Mallozzi,45.0,20.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Curry,D,CUR,1,,1.0,1.0,0.0,10.0,-34.0,Run,Rush,6.0,Nathan Simmonds,,,,,,,Chris Copponi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
3,Curry,D,CUR,1,,1.0,2.0,2.0,4.0,-40.0,Pass,Complete,5.0,,Justin Mullaney,Complete,Angel Martinez,,,,Derek Rousso,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
4,Curry,D,CUR,1,,1.0,3.0,1.0,10.0,-45.0,Run,Rush,4.0,Justin Mullaney,,,,,,,Joshua Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
5,Curry,D,CUR,1,,1.0,4.0,2.0,6.0,-49.0,Run,Rush,6.0,Nathan Simmonds,,,,,,,Elijah Brown,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
6,Curry,D,CUR,1,,1.0,5.0,1.0,10.0,45.0,Run,Rush,5.0,Nathan Simmonds,,,,,,,Derek Rousso,Elijah Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
7,Curry,D,CUR,1,,1.0,6.0,2.0,5.0,40.0,Run,Rush,7.0,Justin Mullaney,,,,,,,Phil Dinov,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:54,1794,0,0,0,3,3,3,,,,,,,
8,Curry,D,CUR,1,,1.0,7.0,1.0,10.0,33.0,Run,Rush,1.0,Chris Jenkins,,,,,,,,,True,Chris Jenkins,Elijah Brown,NIC,Cal Capozzi,,,33.0,,,,,,,,,,,,,,,,,,,,,,Fumble,14:54,1794,0,0,0,3,3,3,,,,,,,
9,Curry,O,NIC,1,,1.0,1.0,0.0,10.0,-33.0,Run,Rush,2.0,Pierre-Charles rush,,,,,,,Blake Schader,James Nyamwaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:08,1568,0,0,0,3,3,3,,,,,,,
10,Curry,O,NIC,1,,1.0,2.0,2.0,8.0,-35.0,Pass,Complete,0.0,,Alpha Barry,Complete,Hunter Ferreira,,,,Kevin Peete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:08,1568,0,0,0,3,3,3,,,,,,,
11,Curry,O,NIC,1,,1.0,3.0,3.0,8.0,-35.0,Pass,Incomplete,0.0,,Alpha Barry,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:08,1568,0,0,0,3,3,3,,,,,,,
12,Curry,K,NIC,1,,,,4.0,8.0,-35.0,Punt,Return,,,,,,,,,Phil Dinov,Chris Ryan,,,,,,Tahg Coakley,9,45.0,,,,,,Chris Ryan,29.0,36.0,Return,,,,,,,,,,,,,,11:08,1568,0,0,0,3,3,3,personal foul,CUR,Sproul Derolus,,,,18.0
