PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Kalamazoo College,K,KZOO2021,1,,,,,,,KO Ret,,,,,,,,,,,,,,,,,,,,Ian Burr,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Kalamazoo College,O,OBEF,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,6.0,,Chris Allen,Complete,Pierce MuthuiEdwards,,,,Jr. Jamison Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Kalamazoo College,O,OBEF,1,,1.0,2.0,2.0,4.0,-31.0,Run,Rush,-2.0,Kobe Brooks,,,,,,,Jake Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Kalamazoo College,O,OBEF,1,,1.0,3.0,3.0,6.0,-29.0,Pass,Complete,20.0,,Chris Allen,Complete,Bear Broyles,,,,Nick Lang,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Kalamazoo College,O,OBEF,1,,1.0,4.0,1.0,10.0,-49.0,Run,Rush,6.0,Chris Allen,,,,,,,Nick Lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,holding,OBEF,Brent Larson,,,,10.0
6,Kalamazoo College,O,OBEF,1,,1.0,5.0,1.0,20.0,-39.0,Pass,Complete,9.0,,Chris Allen,Complete,Kobe Brooks,,,,Jack Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Kalamazoo College,O,OBEF,1,,1.0,6.0,2.0,11.0,-48.0,Pass,Complete,8.0,,Chris Allen,Complete,Brian Colarusso,,,,Payton Fleming,Nick Lang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Kalamazoo College,O,OBEF,1,,1.0,7.0,3.0,3.0,44.0,Pass,Incomplete,0.0,,Chris Allen,Incomplete,Jack Diskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Kalamazoo College,O,OBEF,1,,1.0,8.0,4.0,3.0,44.0,Run,Rush,4.0,Kobe Brooks,,,,,,,Jake Robertson,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Kalamazoo College,O,OBEF,1,,1.0,9.0,1.0,10.0,40.0,Pass,Incomplete,0.0,,Chris Allen,Incomplete,Bear Broyles,,,,Ryan Hanifan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Kalamazoo College,O,OBEF,1,,1.0,10.0,2.0,10.0,40.0,Pass,Complete,38.0,,Chris Allen,Complete,Bear Broyles,,,,Micah Groom,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,holding,OBEF,Drew Bernard,,,,10.0
12,Kalamazoo College,O,OBEF,1,,1.0,11.0,2.0,20.0,-50.0,Run,Rush,-5.0,Kobe Brooks,,,,,,,,,True,Kobe Brooks,Isaiah Fleming,KZOO2021,Ryan Hanifan,,,21.0,,,,,,,,,,,,,,,,,,,,,,Fumble,15:00,1800,0,0,0,3,3,3,,,,,,,
13,Kalamazoo College,D,KZOO2021,1,,1.0,1.0,0.0,10.0,31.0,Run,Rush,1.0,Jon Brunette,,,,,,,Antonio Sanderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,10:47,1547,0,0,0,3,3,3,offside defense,OBEF,,,,,5.0
14,Kalamazoo College,D,KZOO2021,1,,1.0,2.0,1.0,5.0,36.0,Pass,Complete,36.0,,Josh Nichols,Complete,Jon Brunette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,10:47,1547,0,0,0,3,3,3,,,,,,,
