PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wabash,K,Den,1,,,,,,,KO,Fair Catch,,,,,,,,,,,,,,,,,,,Thomas Gelorme,60.0,,Fair Catch,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wabash,D,Wab,1,,1.0,1.0,0.0,10.0,,Run,Rush,1.0,Donovan Snyder,,,,,,,Michael Freilino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Wabash,D,Wab,1,,1.0,2.0,2.0,9.0,,Pass,Incomplete,0.0,,Liam Thompson,Incomplete,Cooper Sullivan,Ryan Hallinan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Wabash,D,Wab,1,,1.0,3.0,3.0,9.0,,Run,Rush,2.0,Derek Allen,,,,,,,Joey Muncie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Wabash,K,Wab,1,,,,4.0,7.0,,Punt Ret,Return,,,,,,,,,Donovan Snyder,,,,,,,Jaylin Epps,44,,,,,,,Joey Annee,44.0,,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Wabash,O,Den,1,,1.0,1.0,0.0,10.0,,Pass,Complete,10.0,,Drew Dawkins,Complete,Josh Aiello,,,,Clayton McPeek,Kamron Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:42,1722,0,0,0,3,3,3,,,,,,,
7,Wabash,O,Den,1,,1.0,2.0,1.0,10.0,,Run,Rush,4.0,Trey Fabrocini,,,,,,,Casey Crozier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:42,1722,0,0,0,3,3,3,,,,,,,
8,Wabash,O,Den,1,,1.0,3.0,2.0,6.0,,Pass,Incomplete,0.0,,Drew Dawkins,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:42,1722,0,0,0,3,3,3,,,,,,,
9,Wabash,O,Den,1,,1.0,4.0,3.0,6.0,,Pass,Complete,5.0,,Drew Dawkins,Complete,Josh Aiello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:42,1722,0,0,0,3,3,3,,,,,,,
10,Wabash,O,Den,1,,1.0,5.0,4.0,1.0,,Run,Rush,2.0,Trey Fabrocini,,,,,,,Clayton McPeek,Kamron Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,13:42,1722,0,0,0,3,3,3,,,,,,,
11,Wabash,O,Den,1,,1.0,6.0,1.0,10.0,,Run,Rush,4.0,Andrew Blanchard,,,,,,,David Marsh,Sean Sinovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:42,1722,0,0,0,3,3,3,,,,,,,
12,Wabash,O,Den,1,,1.0,7.0,2.0,6.0,,Run,Rush,-1.0,Andrew Blanchard,,,,,,,Clayton McPeek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:42,1722,0,0,0,3,3,3,,,,,,,
13,Wabash,O,Den,1,,1.0,8.0,3.0,7.0,,Pass,Sack,-7.0,,Drew Dawkins,Sack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:42,1722,0,0,0,3,3,3,,,,,,,
14,Wabash,K,Den,1,,,,4.0,14.0,,Punt,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Gelorme,3.0,,,,,,,,,,,,,,,,13:42,1722,0,0,0,3,3,3,,,,,,,
15,Wabash,D,Wab,1,,2.0,1.0,0.0,10.0,,Pass,Complete,15.0,,Liam Thompson,Complete,Cooper Sullivan,,,,Shaune Downie,Jeff Moore,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:41,1421,0,0,0,3,3,3,,,,,,,
16,Wabash,D,Wab,1,,2.0,2.0,1.0,10.0,,Pass,Complete,7.0,,Liam Thompson,Complete,Derek Allen,,,,Anthony Rooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:41,1421,0,0,0,3,3,3,,,,,,,
17,Wabash,D,Wab,1,,2.0,3.0,2.0,3.0,,Run,Rush,13.0,Liam Thompson,,,,,,,Ryan Hallinan,Shaune Downie,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,08:41,1421,0,0,0,3,3,3,,,,,,,
