PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Marietta,K,ONU,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Dom DiFalco,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Marietta,D,MAR,1,,1.0,1.0,0.0,10.0,-25.0,Run,Rush,3.0,Bryce Agnew,,,,,,,Jarrett Sitton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Marietta,D,MAR,1,,1.0,2.0,2.0,7.0,-28.0,Pass,Complete,2.0,,Connor Vierstra,Complete,Maguire Morris,,,,Jarrett Sitton,Josh Bever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Marietta,D,MAR,1,,1.0,3.0,3.0,5.0,-30.0,Pass,Complete,0.0,,Connor Vierstra,Complete,Bryce Agnew,,,,Adonis Ables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Marietta,K,MAR,1,,,,4.0,5.0,-30.0,Punt Ret,Out of bounds,,,,,,,,,,,,,,,,,,,,,,,,Bailey Sprague,21.0,49.0,Out of bounds,,,,,,,,,,True,,,,15:00,1800,0,0,0,3,3,3,personal foul,ONU,,,,,15.0
6,Marietta,D,MAR,1,,2.0,1.0,0.0,10.0,-45.0,Run,Rush,1.0,Bryce Agnew,,,,,,,Peyton Wilson,Jevon Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Marietta,D,MAR,1,,2.0,2.0,2.0,9.0,-46.0,Run,Rush,5.0,Bryce Agnew,,,,,,,Peyton Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Marietta,D,MAR,1,,2.0,3.0,3.0,4.0,49.0,Run,Rush,5.0,Logyn Ratliff,,,,,,,Adonis Ables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Marietta,D,MAR,1,,2.0,4.0,1.0,10.0,44.0,Pass,Incomplete,0.0,,Connor Vierstra,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Marietta,D,MAR,1,,2.0,5.0,2.0,10.0,44.0,Run,Rush,2.0,Bryce Agnew,,,,,,,Peyton Wilson,Nichal Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Marietta,D,MAR,1,,2.0,6.0,3.0,8.0,42.0,Pass,Complete,9.0,,Connor Vierstra,Complete,Bryce Agnew,,,,Jarrett Sitton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Marietta,D,MAR,1,,2.0,7.0,1.0,10.0,33.0,Pass,Complete,11.0,,Connor Vierstra,Complete,Austin Veatch,,,,Jevon Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
13,Marietta,D,MAR,1,,2.0,8.0,1.0,10.0,22.0,Run,Rush,0.0,Bryce Agnew,,,,,,,Johnny Rupp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
14,Marietta,D,MAR,1,,2.0,9.0,2.0,10.0,22.0,Run,Rush,2.0,Bryce Agnew,,,,,,,Nichal Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
15,Marietta,D,MAR,1,,2.0,10.0,3.0,8.0,20.0,Run,Rush,3.0,Logyn Ratliff,,,,,,,Josh Bever,Ed Manning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
