PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Heidelberg,K,ONU,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Dom DiFalco,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Heidelberg,D,BERG,1,,1.0,1.0,0.0,10.0,-25.0,Pass,Complete,1.0,,Drew Sims,Complete,M. Yearby,,,,Peyton Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Heidelberg,D,BERG,1,,1.0,2.0,2.0,9.0,-26.0,Run,Rush,5.0,M. Yearby,,,,,,,Josh Bever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Heidelberg,,BERG,1,,,,3.0,4.0,-31.0,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,false start,BERG,Jace Grossman,,,,5.0
5,Heidelberg,D,BERG,1,,1.0,3.0,3.0,9.0,-26.0,Pass,Complete,21.0,,Drew Sims,Complete,Theodore Tate,,,,Ed Manning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Heidelberg,D,BERG,1,,1.0,4.0,1.0,10.0,-47.0,Pass,Incomplete,0.0,,Drew Sims,Incomplete,M. Yearby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Heidelberg,D,BERG,1,,1.0,5.0,2.0,10.0,-47.0,Run,Rush,6.0,M. Yearby,,,,,,,Josh Bever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Heidelberg,D,BERG,1,,1.0,6.0,3.0,4.0,47.0,Pass,Incomplete,0.0,,Drew Sims,Incomplete,Maceo Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Heidelberg,K,BERG,1,,,,4.0,4.0,47.0,Punt Ret,,,,,,,,,,,,,,,,,,,,,,,,,Parker Smith,47.0,0.0,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Heidelberg,O,ONU,1,,1.0,1.0,0.0,10.0,-20.0,Run,Rush,6.0,Brody Hahn,,,,,,,Tyler Turek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:24,1644,0,0,0,3,3,3,,,,,,,
11,Heidelberg,O,ONU,1,,1.0,2.0,2.0,4.0,-26.0,Run,Rush,13.0,Brody Hahn,,,,,,,Griffin Pendry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:24,1644,0,0,0,3,3,3,,,,,,,
12,Heidelberg,O,ONU,1,,1.0,3.0,1.0,10.0,-39.0,Run,Rush,1.0,Brody Hahn,,,,,,,Jared Ritenour,,True,Brody Hahn,D. Richmond,BERG,E. St,St. Clair,13,40.0,,,,,,,,,,,,,,,,,,,,,,Fumble,12:24,1644,0,0,0,3,3,3,,,,,,,
13,Heidelberg,D,BERG,1,,2.0,1.0,0.0,10.0,27.0,Pass,Complete,3.0,,Drew Sims,Complete,M. Yearby,,,,Josh Bever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:08,1568,0,0,0,3,3,3,,,,,,,
14,Heidelberg,D,BERG,1,,2.0,2.0,2.0,7.0,24.0,Run,Rush,7.0,M. Yearby,,,,,,,Dalton Tjong,Gabriel Hirsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:08,1568,0,0,0,3,3,3,,,,,,,
15,Heidelberg,D,BERG,1,,2.0,3.0,1.0,10.0,17.0,Pass,Complete,0.0,,Drew Sims,Complete,M. Yearby,,,,Peyton Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:08,1568,0,0,0,3,3,3,,,,,,,
