PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,PLAY TYPE,RESULT,GN/LS,RUSHER,PASSER,PASS RESULT,PASS TARGET,BROKEN UP BY,INTERCEPTED BY,HURRIED BY,TACKLER1,TACKLER2,FUMBLE,FUMBLED BY,FORCED BY,RECOVER TEAM,RECOVERED BY,RETURNER,RETURN YDS,RETURN TO,KICKER,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Wittenberg,K,OWU,1,,,,,,,KO,,,,,,,,,,,,,,,,,,,,Nick Bowman,65.0,0.0,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Wittenberg,D,WIT,1,,1.0,1.0,0.0,10.0,25.0,Run,Rush,0.0,T.J. Weems,,,,,,,Conner Walls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Wittenberg,D,WIT,1,,1.0,2.0,2.0,10.0,25.0,Pass,Sack,-2.0,,Kaden Buza,Sack,,,,,Conner Walls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Wittenberg,D,WIT,1,,1.0,3.0,3.0,12.0,23.0,Pass,Incomplete,0.0,,Kaden Buza,Incomplete,Jay Hines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Wittenberg,K,WIT,1,,,,4.0,12.0,23.0,Punt Ret,Return,,,,,,,,,Cam Jones,,,,,,,Sam Kayser,,-36.0,,,,,,Gabe Philhower,40.0,-37.0,Return,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Wittenberg,D,WIT,1,,2.0,1.0,0.0,10.0,-36.0,Run,Rush,4.0,Bryce Anderson,,,,,,,Travis Sanders,Trevar Meese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,1712,0,0,0,3,3,3,,,,,,,
7,Wittenberg,D,WIT,1,,2.0,2.0,2.0,6.0,-40.0,Run,Rush,3.0,Bryce Anderson,,,,,,,Trevar Meese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:32,1712,0,0,0,3,3,3,,,,,,,
8,Wittenberg,D,WIT,1,,2.0,3.0,3.0,3.0,-43.0,Run,Rush,2.0,Bryce Anderson,,,,,,,Owen Albers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,13:32,1712,0,0,0,3,3,3,,,,,,,
9,Wittenberg,K,WIT,1,,,,4.0,1.0,-45.0,Punt Ret,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,Julio Novarini,40.0,15.0,Fair Catch,,,,,,,,,,,,,,13:32,1712,0,0,0,3,3,3,,,,,,,
10,Wittenberg,O,OWU,1,,1.0,1.0,0.0,10.0,-15.0,Pass,Complete,9.0,,Kaden Buza,Complete,Kenny Streb,,,,Julio Novarini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:41,1601,0,0,0,3,3,3,,,,,,,
