PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Otterbein,K,OWU,1,,,,,,,,KO,Return,,,,,,,,,,,,Cam Jones,,,,,,,Ahjay Cody,13,19.0,G. Chlebowski,59.0,6.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Otterbein,D,OTT,1,,1.0,1.0,0.0,10.0,-19.0,Coming Out,Pass,Incomplete,0.0,,,Eason Hardouin,,,Incomplete,Robert Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Otterbein,D,OTT,1,,1.0,2.0,2.0,10.0,-19.0,Coming Out,Run,Rush,14.0,Siraj Muhammad,,,,,,,,,,Isaiah Radcliff,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Otterbein,D,OTT,1,,1.0,3.0,1.0,10.0,-33.0,Gold Zone,Pass,Incomplete,0.0,,,Eason Hardouin,,,Incomplete,Damien Whaley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Otterbein,D,OTT,1,,1.0,4.0,2.0,10.0,-33.0,Gold Zone,Pass,Complete,5.0,,,Eason Hardouin,,,Complete,Jayland Desue,,,,Trevar Meese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Otterbein,D,OTT,1,,1.0,5.0,3.0,5.0,-38.0,Gold Zone,Run,Rush,11.0,Siraj Muhammad,,,,,,,,,,Drew Thornton,Isaiah Radcliff,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Otterbein,D,OTT,1,,1.0,6.0,1.0,10.0,-49.0,Go Zone,Run,Rush,3.0,Siraj Muhammad,,,,,,,,,,Tyler Yanka,Alhaji Sidibe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Otterbein,D,OTT,1,,1.0,7.0,2.0,7.0,48.0,Go Zone,Pass,Complete,5.0,,,Eason Hardouin,,,Complete,Siraj Muhammad,,,,Trevar Meese,Drew Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Otterbein,D,OTT,1,,1.0,8.0,3.0,2.0,43.0,Go Zone,Run,Rush,6.0,J. Bost-Floyd,,,,,,,,,,Drew Thornton,Alhaji Sidibe,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
10,Otterbein,D,OTT,1,,1.0,9.0,1.0,10.0,37.0,Go Zone,Pass,Incomplete,0.0,,,Eason Hardouin,,,Incomplete,Robert Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
11,Otterbein,D,OTT,1,,1.0,10.0,2.0,10.0,37.0,Go Zone,Pass,Complete,19.0,,,Eason Hardouin,,,Complete,C. Pataky,,,,Drew Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
12,Otterbein,D,OTT,1,,1.0,11.0,1.0,10.0,18.0,Red Zone High,Pass,Complete,18.0,,,Eason Hardouin,,,Complete,Armani Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,TD,15:00,1800,0,0,0,3,3,3,,,,,,,
13,Otterbein,K,OTT,1,,,,1.0,3.0,3.0,Red Zone Low,Extra Pt. Block,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caleb Meade,,,Good,,,,,,,,,10:49,1549,6,0,-6,3,3,3,,,,,,,
