PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Illinois Wesleyan,K,IWU,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Ethan Brooker,,,,,,,Seth Albin,0,-28.0,G. Chlebowski,37.0,-28.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Illinois Wesleyan,D,IWU,1,,1.0,1.0,0.0,10.0,-28.0,Gold Zone,Pass,Complete,5.0,,,Lemenager LE,,,Complete,Myles Kee,,,,Jake DelCampo,Drew Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
3,Illinois Wesleyan,D,IWU,1,,1.0,2.0,2.0,5.0,-33.0,Gold Zone,Run,Rush,4.0,Seth Albin,left,,,,,,,,,Seth Anderson,Terrell Burton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
4,Illinois Wesleyan,D,IWU,1,,1.0,3.0,3.0,1.0,-37.0,Gold Zone,Run,Rush,1.0,Jay Lemenager,middle,,,,,,,,,Terrell Burton,Trevar Meese,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
5,Illinois Wesleyan,D,IWU,1,,1.0,4.0,1.0,10.0,-38.0,Gold Zone,Pass,Complete,3.0,,,Lemenager RE,,,Complete,Pay Gerberding,,,,A.J. Hanslik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
6,Illinois Wesleyan,D,IWU,1,,1.0,5.0,2.0,7.0,-41.0,Gold Zone,Run,Rush,3.0,Seth Albin,right,,,,,,,,,Drew Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
7,Illinois Wesleyan,D,IWU,1,,1.0,6.0,3.0,4.0,-44.0,Gold Zone,Pass,Incomplete,0.0,,,Lemenager LE,,,Incomplete,Charl Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,14:53,1793,0,0,0,3,3,3,,,,,,,
8,Illinois Wesleyan,K,IWU,1,,,,4.0,4.0,-44.0,Gold Zone,Punt Rec,Return,,,,,,,,,,,,Chris Cloutier,,,,,,,Jakii Alston,3,18.0,,,,,,Jonath Rukujzo,41.0,15.0,Return,,,,,,,,,,,,,,14:53,1793,0,0,0,3,3,3,,,,,,,
9,Illinois Wesleyan,O,OWU,1,,1.0,1.0,0.0,10.0,-18.0,Coming Out,Run,Rush,0.0,Jackson Gifford,left,,,,,,,,,Joel Baer,Joshua Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:39,1599,0,0,0,3,3,3,,,,,,,
10,Illinois Wesleyan,O,OWU,1,,1.0,2.0,2.0,10.0,-18.0,Coming Out,Pass,Complete,4.0,,,Leonard LE,,,Complete,Jakii Alston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:39,1599,0,0,0,3,3,3,,,,,,,
11,Illinois Wesleyan,O,OWU,1,,1.0,3.0,3.0,6.0,-22.0,Coming Out,Pass,Complete,8.0,,,Leonard middle,,,Complete,Jakii Alston,,,,Fernand Chavez,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:39,1599,0,0,0,3,3,3,,,,,,,
12,Illinois Wesleyan,O,OWU,1,,1.0,4.0,1.0,10.0,-30.0,Gold Zone,Run,Rush,7.0,Jackson Gifford,left,,,,,,,,,Ant Wachal Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:39,1599,0,0,0,3,3,3,face mask,IWU,,,,,15.0
13,Illinois Wesleyan,,OWU,1,,,,1.0,10.0,48.0,Go Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:39,1599,0,0,0,3,3,3,false start,OWU,Brandon Planey,,,,5.0
14,Illinois Wesleyan,O,OWU,1,,1.0,5.0,1.0,15.0,-47.0,Go Zone,Run,Rush,13.0,Jackson Gifford,middle,,,,,,,,,Frank Roti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:39,1599,0,0,0,3,3,3,,,,,,,
15,Illinois Wesleyan,O,OWU,1,,1.0,6.0,2.0,2.0,40.0,Go Zone,Run,Rush,-1.0,Jackson Gifford,middle,,,,,,,,,Zach McNees,Conor Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:39,1599,0,0,0,3,3,3,,,,,,,
16,Illinois Wesleyan,O,OWU,1,,1.0,7.0,3.0,3.0,41.0,Go Zone,Run,Rush,3.0,Cam Jones,left,,,,,,,,,Joshua Klein,Zach McNees,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,11:39,1599,0,0,0,3,3,3,,,,,,,
17,Illinois Wesleyan,,OWU,1,,,,1.0,10.0,38.0,Go Zone,Penalty,Penalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:39,1599,0,0,0,3,3,3,false start,OWU,Blake Dichler,,,,5.0
18,Illinois Wesleyan,O,OWU,1,,1.0,8.0,1.0,15.0,43.0,Go Zone,Pass,Complete,4.0,,,Leonard middle,,,Complete,J.T. James,,,,Fernand Chavez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:39,1599,0,0,0,3,3,3,,,,,,,
19,Illinois Wesleyan,O,OWU,1,,1.0,9.0,2.0,11.0,39.0,Go Zone,Run,Rush,0.0,Jackson Gifford,right,,,,,,,,,Ant Wachal Jr.,Joshua Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:39,1599,0,0,0,3,3,3,,,,,,,
20,Illinois Wesleyan,O,OWU,1,,1.0,10.0,3.0,11.0,39.0,Go Zone,Pass,Complete,15.0,,,Leonard middle,,,Complete,Josh Hurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,11:39,1599,0,0,0,3,3,3,illegal block,OWU,Blake Dichler,,,,15.0
21,Illinois Wesleyan,O,OWU,1,,1.0,11.0,3.0,26.0,-46.0,Go Zone,Pass,Complete,6.0,,,Leonard LE,,,Complete,Jackson Gifford,,,,Sam Schott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,11:39,1599,0,0,0,3,3,3,,,,,,,
22,Illinois Wesleyan,K,OWU,1,,,,4.0,20.0,48.0,Go Zone,Punt,Fair Catch,,,,,,,,,,,,,,,,,,,,,,,,,,,G. Chlebowski,30.0,18.0,Fair Catch,,,,,,,,,,,,,,11:39,1599,0,0,0,3,3,3,,,,,,,
