PLAY #,OPP TEAM,ODK,OFF TEAM,QTR,OT #,SERIES,SERIES #,DN,DIST,YARD LN,FIELD ZONE,PLAY TYPE,RESULT,GN/LS,RUSHER PBP,RUSH DIRECTION,PASSER PBP,PASS DEPTH,PASS DIRECTION,PASS RESULT,PASS TARGET PBP,BROKEN UP BY PBP,INTERCEPTED BY PBP,HURRIED BY PBP,TACKLER1 PBP,TACKLER2 PBP,FUMBLE,FUMBLED BY PBP,FORCED BY PBP,RECOVER TEAM,RECOVERED BY PBP,RETURNER PBP,RETURN YDS,RETURN TO,KICKER PBP,KICK YDS,KICK TO,KICK RESULT,ON-SIDE KICK,PUNTER PBP,PUNT YDS,PUNT TO,PUNT RESULT,BLOCKED BY PBP,PK,FG DIST,FG RESULT,XP RESULT,2 PT RESULT,TAKEN BY,FIRST DOWN,TOUCHDOWN,NO PLAY,NULLIFIED,SAFETY,SERIES END,TIME STAMP,TIME LEFT,OFF SCORE,DEF SCORE,SCORE DIFF,TOL,OFF TOL,DEF TOL,PENALTY1,PEN TEAM1,AGAINST1,PENALTY2,PEN TEAM2,AGAINST2,PENALTY YDS
1,Eureka (Ill.),K,ECFB,1,,,,,,,,KO Rec,Return,,,,,,,,,,,,Michael Webb,,,,,,,Dontal Wright,28,28.0,S Bartkus,65.0,0.0,Return,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
2,Eureka (Ill.),O,OLIVET,1,,1.0,1.0,0.0,10.0,-28.0,Gold Zone,Run,Rush,17.0,N. Crowell,,,,,,,,,,Brendan Durr,Malik Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
3,Eureka (Ill.),O,OLIVET,1,,1.0,2.0,1.0,10.0,-45.0,Go Zone,Pass,Incomplete,0.0,,,Evan Ormsby,,,Incomplete,Jalen Broussard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
4,Eureka (Ill.),O,OLIVET,1,,1.0,3.0,2.0,10.0,-45.0,Go Zone,Pass,Incomplete,0.0,,,Evan Ormsby,,,Incomplete,Jalen Broussard,,,,D. Hathaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
5,Eureka (Ill.),O,OLIVET,1,,1.0,4.0,3.0,10.0,-45.0,Go Zone,Pass,Complete,38.0,,,Evan Ormsby,,,Complete,Jalen Broussard,,,,Jack Arnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
6,Eureka (Ill.),O,OLIVET,1,,1.0,5.0,1.0,10.0,17.0,Red Zone High,Run,Rush,9.0,N. Crowell,,,,,,,,,,Brendan Durr,D. Hathaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
7,Eureka (Ill.),O,OLIVET,1,,1.0,6.0,2.0,1.0,8.0,Red Zone,Run,Rush,2.0,N. Crowell,,,,,,,,,,D. Hathaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00,1800,0,0,0,3,3,3,,,,,,,
8,Eureka (Ill.),O,OLIVET,1,,1.0,7.0,1.0,6.0,6.0,Red Zone,Run,Rush,6.0,N. Crowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,Punt,15:00,1800,0,0,0,3,3,3,,,,,,,
9,Eureka (Ill.),K,OLIVET,1,,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Roose,,,Good,,,,,,,,,12:19,1639,6,0,6,3,3,3,,,,,,,
10,Eureka (Ill.),K,OLIVET,1,,,,1.0,10.0,-35.0,Gold Zone,Punt,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Roose,65.0,0.0,,,,,,,,,,,,,,,12:19,1639,7,0,7,3,3,3,,,,,,,
11,Eureka (Ill.),D,ECFB,1,,1.0,1.0,0.0,10.0,-25.0,Coming Out,Run,Rush,3.0,Peyton Doughty,,,,,,,,,,Justin McMurren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:19,1639,0,7,7,3,3,3,,,,,,,
12,Eureka (Ill.),D,ECFB,1,,1.0,2.0,2.0,7.0,-28.0,Gold Zone,Pass,Complete,13.0,,,Lukas Tinkham,,,Complete,Jack Butler,,,,Isaiah Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:19,1639,0,7,7,3,3,3,,,,,,,
13,Eureka (Ill.),D,ECFB,1,,1.0,3.0,1.0,10.0,-41.0,Gold Zone,Run,Rush,-4.0,Elston Lacy,,,,,,,,,,David Curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:19,1639,0,7,7,3,3,3,,,,,,,
14,Eureka (Ill.),D,ECFB,1,,1.0,4.0,2.0,14.0,-37.0,Gold Zone,Pass,Incomplete,0.0,,,Lukas Tinkham,,,Incomplete,,,,,Clarence Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:19,1639,0,7,7,3,3,3,,,,,,,
15,Eureka (Ill.),D,ECFB,1,,1.0,5.0,3.0,14.0,-37.0,Gold Zone,Pass,Incomplete,0.0,,,Lukas Tinkham,,,Incomplete,Kobe Newman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,12:19,1639,0,7,7,3,3,3,,,,,,,
16,Eureka (Ill.),K,ECFB,1,,,,4.0,14.0,-37.0,Gold Zone,Punt Rec,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sam Bartels,63.0,0.0,,,,,,,,,,,,,,,12:19,1639,0,7,7,3,3,3,,,,,,,
17,Eureka (Ill.),O,OLIVET,1,,2.0,1.0,0.0,10.0,-20.0,Coming Out,Pass,Incomplete,0.0,,,Evan Ormsby,,,Incomplete,Deonte Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:06,1506,7,0,7,3,3,3,,,,,,,
18,Eureka (Ill.),O,OLIVET,1,,2.0,2.0,2.0,10.0,-20.0,Coming Out,Run,Rush,4.0,Deonte Higgins,,,,,,,,,,Alex Brittain,D. Hathaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:06,1506,7,0,7,3,3,3,,,,,,,
19,Eureka (Ill.),O,OLIVET,1,,2.0,3.0,3.0,6.0,-24.0,Coming Out,Pass,Complete,13.0,,,Evan Ormsby,,,Complete,Deonte Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:06,1506,7,0,7,3,3,3,,,,,,,
20,Eureka (Ill.),O,OLIVET,1,,2.0,4.0,1.0,10.0,-37.0,Gold Zone,Pass,Complete,18.0,,,Evan Ormsby,,,Complete,Dontal Wright,,,,Jack Arnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:06,1506,7,0,7,3,3,3,,,,,,,
21,Eureka (Ill.),O,OLIVET,1,,2.0,5.0,1.0,10.0,45.0,Go Zone,Run,Rush,45.0,Dontal Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,TD,10:06,1506,7,0,7,3,3,3,,,,,,,
22,Eureka (Ill.),K,OLIVET,1,,,,,,,,Extra Pt.,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Samuel Roose,,,Good,,,,,,,,,08:08,1388,13,0,13,3,3,3,,,,,,,
23,Eureka (Ill.),K,OLIVET,1,,,,,,,,KO,Return,,,,,,,,,,,,Nick Pagano,,,,,,,,18,23.0,Samuel Roose,60.0,5.0,Return,,,,,,,,,,,,,,,,,,,08:08,1388,14,0,14,3,3,3,,,,,,,
24,Eureka (Ill.),D,ECFB,1,,2.0,1.0,0.0,10.0,-23.0,Coming Out,Pass,Sack,-2.0,,,Lukas Tinkham,,,Sack,,,,,Isaac Rowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:03,1383,0,14,14,3,3,3,,,,,,,
25,Eureka (Ill.),D,ECFB,1,,2.0,2.0,2.0,12.0,-21.0,Coming Out,Pass,Incomplete,0.0,,,Lukas Tinkham,,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:03,1383,0,14,14,3,3,3,,,,,,,
26,Eureka (Ill.),D,ECFB,1,,2.0,3.0,3.0,12.0,-21.0,Coming Out,Pass,Incomplete,0.0,,,Lukas Tinkham,,,Incomplete,Kobe Newman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punt,08:03,1383,0,14,14,3,3,3,,,,,,,
27,Eureka (Ill.),K,ECFB,1,,,,4.0,12.0,-21.0,Coming Out,Punt Rec,Return,,,,,,,,,,,,Wyatt Perkins,,,,,,,Dawson John,26,-45.0,,,,,,Sam Bartels,50.0,29.0,Return,,,,,,,,,,,,,,08:03,1383,0,14,14,3,3,3,,,,,,,
28,Eureka (Ill.),O,OLIVET,1,,3.0,1.0,0.0,10.0,45.0,Go Zone,Run,Rush,4.0,N. Crowell,,,,,,,,,,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:02,1322,14,0,14,3,3,3,,,,,,,
29,Eureka (Ill.),O,OLIVET,1,,3.0,2.0,2.0,6.0,41.0,Go Zone,Run,Rush,21.0,N. Crowell,,,,,,,,,,Andrew Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:02,1322,14,0,14,3,3,3,,,,,,,
30,Eureka (Ill.),O,OLIVET,1,,3.0,3.0,1.0,10.0,20.0,Red Zone High,Run,Rush,4.0,N. Crowell,,,,,,,,,,Brendan Durr,Andrew Peters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:02,1322,14,0,14,3,3,3,,,,,,,
